date,month,race_code,layer,model,policy,n,winner,second,third,head4_win,hit,return_yen,profit_yen,selected_comp,settle_comp,target_gap,tickets,comp_curve
2026-04-01,2026-04,202604010206,A,v283,ODDS_4610_T10.5,4,2,4,5,0,0,0.0,-10000.0,5.444213047795749,5.444213047795749,5.055786952204251,4-2-5|4-2-3|4-1-5|4-1-2,4:5.444213|6:4.744037|8:3.796179|10:2.832322
2026-04-01,2026-04,202604010206,A,v283,ODDS_2_10_T10.5,3,2,4,5,0,0,0.0,-10000.0,8.75374417755252,8.75374417755252,1.7462558224474805,4-2-5|4-2-3|4-1-5,2:13.275571|3:8.753744|4:5.444213|5:5.132364|6:4.744037|7:3.994940|8:3.796179|9:3.033539|10:2.832322
2026-04-01,2026-04,202604010206,A,v283,ODDS_2_20_T10.5,3,2,4,5,0,0,0.0,-10000.0,8.75374417755252,8.75374417755252,1.7462558224474805,4-2-5|4-2-3|4-1-5,2:13.275571|3:8.753744|4:5.444213|5:5.132364|6:4.744037|7:3.994940|8:3.796179|9:3.033539|10:2.832322|11:2.581886|12:2.540605|13:2.498675|14:2.458317|15:2.379892|16:2.366501|17:2.351747|18:2.336708|19:2.327738|20:2.312625
2026-04-01,2026-04,202604010206,A,v283,FIXED_N4,4,2,4,5,0,0,0.0,-10000.0,5.444213047795749,5.444213047795749,5.055786952204251,4-2-5|4-2-3|4-1-5|4-1-2,
2026-04-01,2026-04,202604010206,A,v283,FIXED_N10,10,2,4,5,0,0,0.0,-10000.0,2.832322209222653,2.832322209222653,7.667677790777347,4-2-5|4-2-3|4-1-5|4-1-2|4-3-5|4-3-2|4-5-2|4-5-3|4-2-1|4-1-3,
2026-04-01,2026-04,202604010206,A,v284,ODDS_4610_T10.5,4,2,4,5,0,0,0.0,-10000.0,5.444213047795749,5.444213047795749,5.055786952204251,4-2-3|4-2-5|4-1-5|4-1-2,4:5.444213|6:4.275755|8:3.724995|10:2.932765
2026-04-01,2026-04,202604010206,A,v284,ODDS_2_10_T10.5,3,2,4,5,0,0,0.0,-10000.0,8.75374417755252,8.75374417755252,1.7462558224474805,4-2-3|4-2-5|4-1-5,2:13.275571|3:8.753744|4:5.444213|5:4.588675|6:4.275755|7:4.081008|8:3.724995|9:3.639672|10:2.932765
2026-04-01,2026-04,202604010206,A,v284,ODDS_2_20_T10.5,3,2,4,5,0,0,0.0,-10000.0,8.75374417755252,8.75374417755252,1.7462558224474805,4-2-3|4-2-5|4-1-5,2:13.275571|3:8.753744|4:5.444213|5:4.588675|6:4.275755|7:4.081008|8:3.724995|9:3.639672|10:2.932765|11:2.877034|12:2.583273|13:2.567503|14:2.524910|15:2.508121|16:2.428298|17:2.351747|18:2.336322|19:2.321478|20:2.312625
2026-04-01,2026-04,202604010206,A,v284,FIXED_N4,4,2,4,5,0,0,0.0,-10000.0,5.444213047795749,5.444213047795749,5.055786952204251,4-2-3|4-2-5|4-1-5|4-1-2,
2026-04-01,2026-04,202604010206,A,v284,FIXED_N10,10,2,4,5,0,0,0.0,-10000.0,2.9327649164044827,2.9327649164044827,7.567235083595517,4-2-3|4-2-5|4-1-5|4-1-2|4-5-1|4-3-2|4-3-5|4-1-3|4-5-6|4-2-1,
