month,max_n,floor,avg_n,n_dist,fallback_n2,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
2026-04,10,3.0,8.096774193548388,"3:1,4:3,5:3,6:1,7:1,8:5,9:2,10:15",0,31,11,7,35.483870967741936,22.58064516129032,3.5918345018484357,284660.0,-25340.0,91.8258064516129
2026-05,10,3.0,7.147058823529412,"2:1,3:3,4:4,5:4,6:2,7:3,8:2,9:3,10:12",0,34,15,7,44.11764705882353,20.588235294117645,3.4276004736248353,233850.0,-106150.0,68.77941176470588
2026-06,10,3.0,7.8,"3:1,4:3,5:3,6:5,7:2,8:4,9:3,10:14",0,35,14,6,40.0,17.142857142857142,3.6787090394006667,231950.0,-118050.0,66.27142857142857
2026-04,10,4.0,6.161290322580645,"2:2,3:4,4:2,5:6,6:4,7:3,8:3,9:2,10:5",0,31,11,7,35.483870967741936,22.58064516129032,4.587161174167661,300810.0,-9190.0,97.03548387096774
2026-05,10,4.0,4.9411764705882355,"2:6,3:5,4:7,5:4,6:4,7:1,8:3,9:2,10:2",4,34,15,6,44.11764705882353,17.647058823529413,4.47560755040986,258100.0,-81900.0,75.91176470588235
2026-06,10,4.0,5.8,"2:2,3:5,4:8,5:3,6:4,7:3,8:3,9:2,10:5",0,35,14,5,40.0,14.285714285714285,4.577531553638565,226640.0,-123360.0,64.75428571428571
2026-04,10,5.0,4.645161290322581,"2:6,3:5,4:4,5:6,6:5,7:2,8:1,9:1,10:1",1,31,11,6,35.483870967741936,19.35483870967742,5.72012640457633,327150.0,17150.0,105.53225806451613
2026-05,10,5.0,3.7941176470588234,"2:10,3:12,4:1,5:5,6:1,7:2,8:3",5,34,15,6,44.11764705882353,17.647058823529413,5.434747601004944,345100.0,5100.0,101.5
2026-06,10,5.0,4.257142857142857,"2:11,3:6,4:5,5:7,6:1,8:1,10:4",4,35,14,5,40.0,14.285714285714285,5.698212078547457,266810.0,-83190.0,76.23142857142857
2026-04,10,6.0,3.774193548387097,"2:9,3:5,4:9,5:4,6:2,8:2",3,31,11,6,35.483870967741936,19.35483870967742,6.929740513207203,395850.0,85850.0,127.69354838709677
2026-05,10,6.0,3.088235294117647,"2:19,3:4,4:5,5:2,6:3,7:1",10,34,15,6,44.11764705882353,17.647058823529413,6.386078260452257,386130.0,46130.0,113.56764705882352
2026-06,10,6.0,3.5714285714285716,"2:17,3:6,4:5,5:2,7:2,9:1,10:2",7,35,14,3,40.0,8.571428571428571,6.499940934689861,183880.0,-166120.0,52.537142857142854
2026-04,10,7.0,3.161290322580645,"2:14,3:6,4:6,5:3,6:1,7:1",6,31,11,6,35.483870967741936,19.35483870967742,7.965604724973347,476240.0,166240.0,153.6258064516129
2026-05,10,7.0,2.7058823529411766,"2:24,3:1,4:4,5:5",14,34,15,5,44.11764705882353,14.705882352941178,6.995516490014772,340240.0,240.0,100.07058823529412
2026-06,10,7.0,3.0285714285714285,"2:22,3:5,4:3,5:1,6:1,7:1,8:1,9:1",12,35,14,3,40.0,8.571428571428571,7.370646859736725,220570.00000000003,-129429.99999999997,63.02000000000001
2026-04,10,8.0,2.7419354838709675,"2:18,3:4,4:8,5:1",8,31,11,6,35.483870967741936,19.35483870967742,8.776744635984043,577460.0,267460.0,186.2774193548387
2026-05,10,8.0,2.4705882352941178,"2:24,3:5,4:4,5:1",19,34,15,4,44.11764705882353,11.76470588235294,7.397417305111375,284620.0,-55380.0,83.71176470588236
2026-06,10,8.0,2.7142857142857144,"2:25,3:3,4:4,6:1,7:2",15,35,14,3,40.0,8.571428571428571,7.821699404988553,220570.00000000003,-129429.99999999997,63.02000000000001
2026-04,10,9.0,2.4193548387096775,"2:23,3:3,4:5",12,31,11,5,35.483870967741936,16.129032258064516,9.329591326638019,505690.0,195690.0,163.1258064516129
