scope,max_n,floor,avg_n,n_dist,fallback_n2,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
S+A,10,3.0,7.67,"2:1,3:5,4:10,5:10,6:8,7:6,8:11,9:8,10:41",0,100,40,20,40.0,20.0,3.566401020395693,750460.0,-249540.0,75.046
A,10,3.0,8.148936170212766,"3:1,4:6,5:2,6:3,7:2,8:5,9:6,10:22",0,47,21,12,44.680851063829785,25.53191489361702,3.738827600399817,449730.0,-20270.0,95.68723404255319
S,10,3.0,7.245283018867925,"2:1,3:4,4:4,5:8,6:5,7:4,8:6,9:2,10:19",0,53,19,8,35.84905660377358,15.09433962264151,3.4134944305807147,300730.0,-229270.0,56.741509433962264
S+A,10,4.0,5.62,"2:10,3:14,4:17,5:13,6:12,7:7,8:9,9:6,10:12",4,100,40,18,40.0,18.0,4.545862574904826,785550.0,-214450.0,78.555
A,10,4.0,6.25531914893617,"2:3,3:5,4:6,5:6,6:6,7:6,8:2,9:5,10:8",0,47,21,11,44.680851063829785,23.404255319148938,4.688467958923056,470900.0,900.0,100.19148936170212
S,10,4.0,5.056603773584905,"2:7,3:9,4:11,5:7,6:6,7:1,8:7,9:1,10:4",4,53,19,7,35.84905660377358,13.20754716981132,4.419401196624507,314650.0,-215350.0,59.367924528301884
S+A,10,5.0,4.22,"2:27,3:23,4:10,5:18,6:7,7:4,8:5,9:1,10:5",10,100,40,17,40.0,17.0,5.615427597251953,939060.0,-60940.0,93.906
A,10,5.0,4.8936170212765955,"2:8,3:8,4:6,5:10,6:6,7:2,8:2,10:5",3,47,21,10,44.680851063829785,21.27659574468085,5.698960263308239,552900.0,82900.0,117.63829787234043
S,10,5.0,3.6226415094339623,"2:19,3:15,4:4,5:8,6:1,7:2,8:3,9:1",7,53,19,7,35.84905660377358,13.20754716981132,5.541351459428456,386160.0,-143840.0,72.86037735849057
S+A,10,6.0,3.47,"2:45,3:15,4:19,5:8,6:5,7:3,8:2,9:1,10:2",20,100,40,15,40.0,15.0,6.594465494789452,965860.0,-34140.0,96.586
A,10,6.0,4.085106382978723,"2:16,3:5,4:11,5:5,6:3,7:3,8:1,9:1,10:2",5,47,21,8,44.680851063829785,17.02127659574468,6.873379093807971,536390.0,66390.0,114.12553191489361
S,10,6.0,2.9245283018867925,"2:29,3:10,4:8,5:3,6:2,8:1",15,53,19,7,35.84905660377358,13.20754716981132,6.347127020188122,429470.0,-100530.0,81.0320754716981
S+A,10,7.0,2.96,"2:60,3:12,4:13,5:9,6:2,7:2,8:1,9:1",32,100,40,14,40.0,14.000000000000002,7.4275394722546135,1037050.0,37050.0,103.705
A,10,7.0,3.425531914893617,"2:21,3:8,4:6,5:7,6:2,7:1,8:1,9:1",8,47,21,7,44.680851063829785,14.893617021276595,7.83551372546152,528830.0,58830.0,112.51702127659574
S,10,7.0,2.547169811320755,"2:39,3:4,4:7,5:2,7:1",24,53,19,7,35.84905660377358,13.20754716981132,7.065750983561695,508220.0,-21780.0,95.89056603773585
S+A,10,8.0,2.64,"2:67,3:12,4:16,5:2,6:1,7:2",42,100,40,13,40.0,13.0,7.973507512638913,1082650.0,82650.0,108.265
A,10,8.0,2.978723404255319,"2:25,3:8,4:9,5:2,6:1,7:2",14,47,21,6,44.680851063829785,12.76595744680851,8.454869215653853,534590.0,64590.0,113.74255319148936
S,10,8.0,2.339622641509434,"2:42,3:4,4:7",28,53,19,7,35.84905660377358,13.20754716981132,7.546639587323779,548060.0,18060.0,103.40754716981132
S+A,10,9.0,2.41,"2:76,3:12,4:9,5:1,6:2",53,100,40,12,40.0,12.0,8.500989446891293,1032050.0,32050.0,103.205
A,10,9.0,2.595744680851064,"2:32,3:7,4:5,5:1,6:2",18,47,21,6,44.680851063829785,12.76595744680851,9.408641412851482,566240.0,96240.0,120.47659574468085
S,10,9.0,2.2452830188679247,"2:44,3:5,4:4",35,53,19,6,35.84905660377358,11.320754716981133,7.696090533681317,465810.0,-64190.0,87.88867924528302
S+A,10,10.0,2.3,"2:80,3:12,4:7,6:1",59,100,40,11,40.0,11.0,8.852538466388857,1011590.0,11590.0,101.159
A,10,10.0,2.425531914893617,"2:35,3:6,4:5,6:1",22,47,21,5,44.680851063829785,10.638297872340425,10.004963952388405,513560.0,43560.0,109.26808510638298
S,10,10.0,2.188679245283019,"2:45,3:6,4:2",37,53,19,6,35.84905660377358,11.320754716981133,7.830576242955295,498030.0,-31970.0,93.9679245283019
S+A,20,3.0,9.6,"2:1,3:5,4:10,5:10,6:8,7:6,8:11,9:8,10:2,11:8,12:6,13:5,14:3,15:2,16:1,17:2,18:1,19:2,20:9",0,100,40,24,40.0,24.0,3.2787052575025366,768310.0,-231690.0,76.831
A,20,3.0,10.404255319148936,"3:1,4:6,5:2,6:3,7:2,8:5,9:6,10:1,11:6,13:4,14:1,15:1,16:1,17:2,19:1,20:5",0,47,21,15,44.680851063829785,31.914893617021278,3.3462473429132826,486410.0,16410.0,103.49148936170212
S,20,3.0,8.88679245283019,"2:1,3:4,4:4,5:8,6:5,7:4,8:6,9:2,10:1,11:2,12:6,13:1,14:2,15:1,18:1,19:1,20:4",0,53,19,9,35.84905660377358,16.9811320754717,3.218809445911875,281900.0,-248100.0,53.18867924528302
S+A,20,4.0,6.07,"2:10,3:14,4:17,5:13,6:12,7:7,8:9,9:6,10:3,11:1,12:3,14:1,16:1,18:1,20:2",4,100,40,20,40.0,20.0,4.456140897363278,848210.0,-151790.0,84.821
A,20,4.0,6.9787234042553195,"2:3,3:5,4:6,5:6,6:6,7:6,8:2,9:5,10:3,12:1,14:1,18:1,20:2",0,47,21,12,44.680851063829785,25.53191489361702,4.529422149244268,503760.0,33760.0,107.18297872340426
S,20,4.0,5.264150943396227,"2:7,3:9,4:11,5:7,6:6,7:1,8:7,9:1,11:1,12:2,16:1",4,53,19,8,35.84905660377358,15.09433962264151,4.391155636261269,344450.0,-185550.0,64.99056603773585
S+A,20,5.0,4.4,"2:27,3:23,4:10,5:18,6:7,7:4,8:5,9:1,10:2,13:1,15:1,20:1",10,100,40,17,40.0,17.0,5.5821892696957995,933270.0,-66730.0,93.327
A,20,5.0,5.276595744680851,"2:8,3:8,4:6,5:10,6:6,7:2,8:2,10:2,13:1,15:1,20:1",3,47,21,10,44.680851063829785,21.27659574468085,5.628240417444083,547110.0,77110.0,116.4063829787234
