n,comp_band,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
2,12-15,12,7,0,58.333333333333336,0.0,13.510062626569725,0.0,-120000.0,0.0
3,8-10,13,7,2,53.84615384615385,15.384615384615385,8.769316702187535,180280.0,50280.0,138.6769230769231
4,5-6,10,2,1,20.0,10.0,5.598693818930443,57960.00000000001,-42039.99999999999,57.96000000000001
5,5-6,19,4,2,21.052631578947366,10.526315789473683,5.347174541667702,103550.0,-86450.0,54.5
6,4-5,24,5,4,20.833333333333336,16.666666666666664,4.511391883818064,181160.0,-58840.0,75.48333333333333
7,3-4,32,10,5,31.25,15.625,3.5192353292923553,166580.0,-153420.0,52.05625
8,3-4,33,10,5,30.303030303030305,15.151515151515152,3.459682747064046,184310.0,-145690.0,55.85151515151515
9,3-4,31,9,7,29.03225806451613,22.58064516129032,3.4901202263128654,251090.0,-58910.0,80.99677419354839
10,<3,59,20,13,33.89830508474576,22.033898305084744,2.3854054709297317,310680.0,-279320.0,52.657627118644065
11,<3,61,21,14,34.42622950819672,22.950819672131146,2.308633113753085,328510.0,-281490.0,53.85409836065574
12,<3,69,25,22,36.231884057971016,31.88405797101449,2.3006727305391856,523100.0,-166900.0,75.81159420289855
13,<3,75,28,24,37.333333333333336,32.0,2.2758174364345862,550790.0,-199210.0,73.43866666666666
14,<3,80,30,26,37.5,32.5,2.248185813858032,578710.0,-221290.0,72.33875
15,<3,83,31,27,37.34939759036144,32.53012048192771,2.2239265990931814,610560.0,-219440.0,73.56144578313253
16,<3,85,31,28,36.470588235294116,32.94117647058823,2.191009239998417,601700.0,-248300.0,70.78823529411764
17,<3,86,32,31,37.2093023255814,36.04651162790697,2.157371147054317,676360.0,-183640.0,78.64651162790697
18,<3,88,34,34,38.63636363636363,38.63636363636363,2.135200223699284,739770.0,-140230.0,84.06477272727273
19,<3,89,35,35,39.325842696629216,39.325842696629216,2.1141299606719457,740650.0,-149350.0,83.21910112359551
20,<3,91,35,35,38.46153846153847,38.46153846153847,2.1092333682528825,749960.0,-160040.0,82.41318681318681
2,8-10,17,5,3,29.411764705882355,17.647058823529413,8.886816510051663,275970.0,105970.0,162.33529411764707
4,8-10,13,9,5,69.23076923076923,38.46153846153847,8.77136628374894,439470.0,309470.0,338.05384615384617
6,5-6,9,6,5,66.66666666666666,55.55555555555556,5.450685288287314,274490.0,184490.0,304.9888888888889
7,4-5,19,9,7,47.368421052631575,36.84210526315789,4.397655556107651,312390.0,122390.0,164.4157894736842
10,3-4,29,11,7,37.93103448275862,24.137931034482758,3.4590764100773064,241150.0,-48850.0,83.15517241379311
11,3-4,30,13,9,43.333333333333336,30.0,3.3399908105265217,299800.0,-200.0,99.93333333333334
12,3-4,23,10,7,43.47826086956522,30.434782608695656,3.2974731203856247,231560.0,1560.0,100.67826086956522
2,10-12,14,3,0,21.428571428571427,0.0,11.09064897682377,0.0,-140000.0,0.0
3,6-8,22,4,2,18.181818181818183,9.090909090909092,6.929562018101481,136280.0,-83720.0,61.945454545454545
4,6-8,19,5,2,26.31578947368421,10.526315789473683,6.757070675377105,135300.0,-54700.0,71.21052631578948
6,3-4,28,10,4,35.714285714285715,14.285714285714285,3.4636111216686087,143150.0,-136850.0,51.125
2,6-8,22,7,2,31.818181818181817,9.090909090909092,6.90978427568342,147070.0,-72930.0,66.85
3,4-5,17,8,3,47.05882352941176,17.647058823529413,4.462581788370896,134200.0,-35800.0,78.94117647058823
4,4-5,26,10,3,38.46153846153847,11.538461538461538,4.574699828586538,133070.0,-126930.0,51.18076923076923
5,4-5,19,6,1,31.57894736842105,5.263157894736842,4.5262145368768865,47520.00000000001,-142480.0,25.010526315789477
9,<3,51,18,11,35.294117647058826,21.568627450980394,2.399498027055512,258410.0,-251590.0,50.668627450980395
8,4-5,16,8,6,50.0,37.5,4.381957111442576,267380.0,107380.0,167.1125
13,3-4,20,9,8,45.0,40.0,3.359972275343756,278430.0,78430.0,139.215
14,3-4,15,7,6,46.666666666666664,40.0,3.334384248139612,213750.0,63750.0,142.5
15,3-4,13,7,6,53.84615384615385,46.15384615384615,3.3656192355080496,199550.0,69550.0,153.5
16,3-4,11,7,7,63.63636363636363,63.63636363636363,3.3240376090216315,229630.0,119630.0,208.75454545454545
17,3-4,11,7,7,63.63636363636363,63.63636363636363,3.3161093236796346,226210.0,116210.0,205.64545454545456
18,3-4,9,5,5,55.55555555555556,55.55555555555556,3.285172850734515,166990.0,76990.0,185.54444444444445
19,3-4,9,4,4,44.44444444444444,44.44444444444444,3.3310715366150143,135800.0,45800.0,150.88888888888889
9,4-5,12,10,5,83.33333333333334,41.66666666666667,4.356514506640807,219400.0,99400.0,182.83333333333334
3,5-6,18,5,2,27.77777777777778,11.11111111111111,5.388389890318489,105310.0,-74690.0,58.50555555555555
4,3-4,18,4,2,22.22222222222222,11.11111111111111,3.566708723500827,77950.0,-102050.0,43.30555555555556
5,<3,16,6,3,37.5,18.75,2.719674729405549,79590.0,-80410.0,49.74375
6,<3,26,9,4,34.61538461538461,15.384615384615385,2.6004937187601658,103330.0,-156670.0,39.74230769230769
7,<3,34,11,6,32.35294117647059,17.647058823529413,2.5128678436855068,148300.0,-191700.0,43.61764705882353
8,<3,40,15,11,37.5,27.500000000000004,2.4265031094003056,275330.0,-124670.0,68.8325
2,5-6,10,6,2,60.0,20.0,5.444558640464543,101110.0,1110.0,101.11
4,<3,6,4,2,66.66666666666666,33.33333333333333,2.796548650633118,58900.0,-1100.0,98.16666666666667
3,10-12,11,6,0,54.54545454545454,0.0,10.806199814685577,0.0,-110000.0,0.0
3,3-4,9,3,1,33.33333333333333,11.11111111111111,3.5212201171476583,32480.0,-57520.0,36.08888888888889
5,3-4,25,8,4,32.0,16.0,3.486560653264056,140880.0,-109120.0,56.352
20,3-4,7,4,4,57.14285714285714,57.14285714285714,3.3615567809372715,132510.0,62510.0,189.3
2,15+,15,9,3,60.0,20.0,24.363857739469342,715920.0,565920.0,477.28
3,12-15,6,5,4,83.33333333333334,66.66666666666666,13.595527418843572,561810.0,501810.0,936.35
5,6-8,16,14,8,87.5,50.0,7.0370448263197005,545520.0,385520.0,340.95
2,4-5,6,2,0,33.33333333333333,0.0,4.700231633450178,0.0,-60000.0,0.0
6,6-8,10,9,3,90.0,30.0,6.750478946787609,199910.0,99910.0,199.91
7,5-6,7,5,3,71.42857142857143,42.857142857142854,5.616695836587823,175290.0,105290.0,250.4142857142857
10,4-5,7,7,5,100.0,71.42857142857143,4.456498205818549,223480.0,153480.0,319.25714285714287
8,5-6,6,5,1,83.33333333333334,16.666666666666664,5.454147389389507,53700.0,-6300.0,89.5
11,4-5,6,5,3,83.33333333333334,50.0,4.5307285220549645,138410.0,78410.0,230.68333333333334
4,10-12,6,5,2,83.33333333333334,33.33333333333333,10.7955597682299,225390.0,165390.0,375.65
7,6-8,6,5,2,83.33333333333334,33.33333333333333,6.891359924665447,150780.0,90780.0,251.3
8,6-8,5,2,2,40.0,40.0,6.755163181302526,125940.0,75940.0,251.88
9,5-6,3,2,1,66.66666666666666,33.33333333333333,5.47527662783606,52290.0,22290.0,174.3
12,4-5,5,4,3,80.0,60.0,4.216445981381208,129840.0,79840.0,259.68
13,4-5,2,2,2,100.0,100.0,4.296980168980956,89260.0,69260.0,446.3
14,4-5,3,2,2,66.66666666666666,66.66666666666666,4.390767257734704,86770.0,56770.0,289.23333333333335
15,4-5,2,1,1,50.0,50.0,4.336250775786915,42330.0,22330.0,211.65
16,4-5,3,2,2,66.66666666666666,66.66666666666666,4.443046657036123,86160.0,56160.0,287.2
5,8-10,4,2,1,50.0,25.0,9.118150326661082,98430.0,58430.0,246.075
10,5-6,3,2,1,66.66666666666666,33.33333333333333,5.463713676141881,57900.0,27900.0,193.0
2,3-4,4,1,0,25.0,0.0,3.658701925812141,0.0,-40000.0,0.0
3,<3,1,1,0,100.0,0.0,2.535928143712575,0.0,-10000.0,0.0
3,15+,3,1,0,33.33333333333333,0.0,20.538928509085483,0.0,-30000.0,0.0
4,12-15,2,1,1,50.0,50.0,14.118036224654325,133170.0,113170.0,665.85
5,10-12,1,0,0,0.0,0.0,11.999853119446668,0.0,-10000.0,0.0
6,10-12,1,0,0,0.0,0.0,10.536472125234228,0.0,-10000.0,0.0
7,8-10,2,0,0,0.0,0.0,8.43796180668564,0.0,-20000.0,0.0
9,6-8,3,1,1,33.33333333333333,33.33333333333333,6.7728650649602,63690.0,33690.0,212.3
10,6-8,2,0,0,0.0,0.0,6.775081344779455,0.0,-20000.0,0.0
11,5-6,2,1,1,50.0,50.0,5.703975819745729,57900.0,37900.0,289.5
12,5-6,2,1,1,50.0,50.0,5.519156191419457,57900.0,37900.0,289.5
13,5-6,2,1,1,50.0,50.0,5.276265586070604,57900.0,37900.0,289.5
17,4-5,2,1,1,50.0,50.0,4.416616253702095,46320.0,26320.0,231.6
18,4-5,2,1,1,50.0,50.0,4.3261030123618,46320.0,26320.0,231.6
6,8-10,2,1,1,50.0,50.0,8.6497465679771,81060.0,61060.0,405.3
14,5-6,1,1,1,100.0,100.0,5.448815252142567,52110.0,42110.0,521.1
15,5-6,1,1,1,100.0,100.0,5.165108383790098,52110.0,42110.0,521.1
19,4-5,1,1,1,100.0,100.0,4.382550048844045,46320.0,36320.0,463.2
20,4-5,1,1,1,100.0,100.0,4.307664857134258,46320.0,36320.0,463.2
11,6-8,1,0,0,0.0,0.0,6.602190950111156,0.0,-10000.0,0.0
12,6-8,1,0,0,0.0,0.0,6.398696648076301,0.0,-10000.0,0.0
13,6-8,1,0,0,0.0,0.0,6.1888371282664,0.0,-10000.0,0.0
14,6-8,1,0,0,0.0,0.0,6.136958103318397,0.0,-10000.0,0.0
15,6-8,1,0,0,0.0,0.0,6.0865897828097815,0.0,-10000.0,0.0
16,5-6,1,0,0,0.0,0.0,5.9823174115760365,0.0,-10000.0,0.0
17,5-6,1,0,0,0.0,0.0,5.951754933321066,0.0,-10000.0,0.0
18,5-6,1,0,0,0.0,0.0,5.927341036259451,0.0,-10000.0,0.0
19,5-6,1,0,0,0.0,0.0,5.8945956951572365,0.0,-10000.0,0.0
20,5-6,1,0,0,0.0,0.0,5.849311577942926,0.0,-10000.0,0.0
