n,comp_band,month,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
2,12-15,2026-04,6,1,0,16.666666666666664,0.0,13.169858858140882,0.0,-60000.0,0.0
2,12-15,2026-05,3,3,0,100.0,0.0,13.527534241747356,0.0,-30000.0,0.0
2,12-15,2026-06,3,3,0,100.0,0.0,14.17299854824978,0.0,-30000.0,0.0
3,8-10,2026-04,5,3,1,60.0,20.0,8.457212426978382,89080.0,39080.0,178.16
3,8-10,2026-05,6,3,1,50.0,16.666666666666664,8.887741858745004,91200.0,31200.0,152.0
3,8-10,2026-06,2,1,0,50.0,0.0,9.194301920538003,0.0,-20000.0,0.0
4,5-6,2026-04,3,0,0,0.0,0.0,5.451361919092226,0.0,-30000.0,0.0
4,5-6,2026-05,1,0,0,0.0,0.0,5.9184751124309605,0.0,-10000.0,0.0
4,5-6,2026-06,6,2,1,33.33333333333333,16.666666666666664,5.619062886599466,57960.00000000001,-2039.9999999999927,96.60000000000001
5,5-6,2026-04,8,2,0,25.0,0.0,5.37181288412307,0.0,-80000.0,0.0
5,5-6,2026-05,5,1,1,20.0,20.0,5.4672839986558595,53640.0,3640.0,107.28
5,5-6,2026-06,6,1,1,16.666666666666664,16.666666666666664,5.214232204237081,49910.00000000001,-10089.999999999993,83.18333333333335
6,4-5,2026-04,7,1,0,14.285714285714285,0.0,4.53183484583617,0.0,-70000.0,0.0
6,4-5,2026-05,6,2,2,33.33333333333333,33.33333333333333,4.332028726684963,88710.0,28710.0,147.85
6,4-5,2026-06,11,2,2,18.181818181818183,18.181818181818183,4.596217175515506,92450.00000000001,-17549.999999999985,84.04545454545456
7,3-4,2026-04,10,3,0,30.0,0.0,3.5995562531894145,0.0,-100000.0,0.0
7,3-4,2026-05,12,3,3,25.0,25.0,3.4566460240249453,98210.0,-21790.0,81.84166666666667
7,3-4,2026-06,10,4,2,40.0,20.0,3.5140215717161887,68370.0,-31630.0,68.37
8,3-4,2026-04,12,5,1,41.66666666666667,8.333333333333332,3.499864495196981,38610.0,-81390.0,32.175
8,3-4,2026-05,10,2,2,20.0,20.0,3.435661782708992,73660.0,-26340.0,73.66
