floor,coverage_pct,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
3.0,94.0,94,36,16,38.297872340425535,17.02127659574468,6.112249216331476,1202310.0,262310.0,127.90531914893617
4.0,76.0,76,32,14,42.10526315789473,18.421052631578945,6.715140385686102,1124360.0,364360.0,147.94210526315788
5.0,50.0,50,22,11,44.0,22.0,7.828169475377876,991290.0,491290.0,198.258
6.0,40.0,40,20,10,50.0,25.0,8.385538389489732,933330.0,533330.0,233.3325
7.0,28.0,28,18,9,64.28571428571429,32.142857142857146,9.237731386802304,870750.0,590750.0,310.98214285714283
8.0,21.0,21,15,8,71.42857142857143,38.095238095238095,9.858913940353537,798030.0,588030.0,380.01428571428573
9.0,12.0,12,8,5,66.66666666666666,41.66666666666667,10.88037871591906,544540.0,424540.0,453.78333333333336
10.0,8.0,8,6,3,75.0,37.5,11.626178882336006,358560.0,278560.0,448.2
12.0,2.0,2,1,1,50.0,50.0,14.118036224654325,133170.0,113170.0,665.85
15.0,0.0,0,0,0,,,,0.0,0.0,
