date,month,race_code,layer,n,winner,second,third,head4_win,hit,return_yen,profit_yen,comp_odds,comp_band,tickets,venue_code,venue,floor
2026-04-01,2026-04,202604010603,S,4,4,6,2,1,0,0.0,-10000.0,8.25211933648223,8-10,4-1-6|4-1-2|4-5-1|4-5-6,06,浜名湖,6.0
2026-04-01,2026-04,202604010804,S,4,4,1,3,1,0,0.0,-10000.0,7.0760384041179725,6-8,4-1-5|4-2-5|4-2-1|4-1-6,08,常滑,6.0
2026-04-02,2026-04,202604022209,S,4,1,2,4,0,0,0.0,-10000.0,6.377841043822796,6-8,4-1-5|4-5-1|4-1-3|4-5-3,22,福岡,6.0
2026-04-03,2026-04,202604030402,A,4,5,4,2,0,0,0.0,-10000.0,6.125199105636349,6-8,4-2-1|4-2-5|4-5-1|4-5-6,04,平和島,6.0
2026-04-07,2026-04,202604072403,S,4,2,4,1,0,0,0.0,-10000.0,6.5899015073392695,6-8,4-1-2|4-5-1|4-5-2|4-1-6,24,大村,6.0
2026-04-09,2026-04,202604090703,A,4,4,5,6,1,0,0.0,-10000.0,6.363551878783764,6-8,4-6-5|4-6-1|4-2-5|4-2-1,07,蒲郡,6.0
2026-04-22,2026-04,202604222207,A,4,4,1,5,1,1,89320.0,79320.0,9.07704011220778,8-10,4-3-6|4-3-1|4-1-6|4-1-5,22,福岡,6.0
2026-04-23,2026-04,202604230507,A,4,4,5,2,1,1,83840.0,73840.0,8.428972215096893,8-10,4-5-6|4-5-2|4-3-5|4-3-6,05,多摩川,6.0
2026-04-23,2026-04,202604231808,A,4,5,6,1,0,0,0.0,-10000.0,6.391721295726902,6-8,4-6-5|4-6-3|4-1-6|4-1-5,18,徳山,6.0
2026-04-25,2026-04,202604250705,A,4,4,1,3,1,0,0.0,-10000.0,8.881432055868084,8-10,4-2-1|4-1-5|4-1-2|4-2-3,07,蒲郡,6.0
2026-04-25,2026-04,202604252307,S,4,4,2,5,1,1,96660.0,86660.0,9.489792260400888,8-10,4-2-1|4-2-5|4-5-1|4-5-6,23,唐津,6.0
2026-04-27,2026-04,202604270602,A,4,4,1,6,1,1,115830.0,105830.0,11.515090302119658,10-12,4-2-1|4-1-6|4-1-3|4-2-3,06,浜名湖,6.0
2026-04-27,2026-04,202604271607,S,4,1,2,5,0,0,0.0,-10000.0,6.221238820020315,6-8,4-6-1|4-6-2|4-1-6|4-1-2,16,児島,6.0
2026-04-28,2026-04,202604280707,S,4,4,1,5,1,1,109560.0,99560.0,10.940606144627893,10-12,4-1-5|4-3-5|4-1-6|4-3-1,07,蒲郡,6.0
2026-04-28,2026-04,202604280709,S,4,4,6,1,1,1,82250.0,72250.0,8.077318487446208,8-10,4-1-6|4-1-5|4-6-5|4-6-1,07,蒲郡,6.0
2026-04-28,2026-04,202604280806,A,4,1,4,2,0,0,0.0,-10000.0,9.564267015805305,8-10,4-1-5|4-1-3|4-2-5|4-2-1,08,常滑,6.0
2026-04-29,2026-04,202604290306,A,4,5,2,4,0,0,0.0,-10000.0,7.497322205488965,6-8,4-5-2|4-5-6|4-3-5|4-3-2,03,江戸川,6.0
2026-05-03,2026-05,202605030805,A,4,4,6,2,1,1,62580.0,52580.0,6.311589268840274,6-8,4-6-5|4-2-6|4-6-2|4-2-5,08,常滑,6.0
2026-05-04,2026-05,202605040701,A,4,4,2,1,1,1,87400.0,77400.0,8.670798888341404,8-10,4-2-1|4-2-5|4-3-1|4-3-5,07,蒲郡,6.0
2026-05-17,2026-05,202605171007,S,4,2,6,3,0,0,0.0,-10000.0,9.424014143926696,8-10,4-5-2|4-5-1|4-6-2|4-6-1,10,三国,6.0
2026-05-18,2026-05,202605181406,A,4,4,1,2,1,0,0.0,-10000.0,7.476138528818417,6-8,4-6-5|4-6-1|4-5-1|4-5-3,14,鳴門,6.0
2026-05-19,2026-05,202605191406,A,4,4,1,2,1,0,0.0,-10000.0,10.343086896777804,10-12,4-6-5|4-2-5|4-2-3|4-6-2,14,鳴門,6.0
2026-05-19,2026-05,202605191811,A,4,1,2,4,0,0,0.0,-10000.0,6.448263455311224,6-8,4-2-5|4-2-1|4-1-5|4-1-2,18,徳山,6.0
2026-05-20,2026-05,202605201505,S,4,4,3,2,1,0,0.0,-10000.0,10.857930549776,10-12,4-5-6|4-5-1|4-3-5|4-3-6,15,丸亀,6.0
2026-05-20,2026-05,202605202002,A,4,2,6,5,0,0,0.0,-10000.0,7.773591858544045,6-8,4-6-5|4-6-1|4-2-5|4-2-1,20,若松,6.0
2026-05-28,2026-05,202605280204,A,4,1,4,3,0,0,0.0,-10000.0,8.577413161110142,8-10,4-5-6|4-1-6|4-1-3|4-5-1,02,戸田,6.0
2026-05-28,2026-05,202605281008,A,4,4,6,1,1,1,72720.0,62720.0,7.384964325429959,6-8,4-2-6|4-6-5|4-2-1|4-6-1,10,三国,6.0
2026-05-31,2026-05,202605312304,S,4,2,4,3,0,0,0.0,-10000.0,7.03160819220927,6-8,4-1-3|4-2-1|4-1-5|4-2-3,23,唐津,6.0
2026-06-05,2026-06,202606050305,S,4,2,5,4,0,0,0.0,-10000.0,6.052114539971966,6-8,4-2-1|4-2-5|4-1-2|4-1-5,03,江戸川,6.0
2026-06-06,2026-06,202606060703,A,4,1,4,5,0,0,0.0,-10000.0,6.609211266954021,6-8,4-1-5|4-3-1|4-1-2|4-3-5,07,蒲郡,6.0
2026-06-06,2026-06,202606060802,A,4,1,4,5,0,0,0.0,-10000.0,14.65660744901766,12-15,4-2-5|4-6-5|4-6-2|4-2-1,08,常滑,6.0
2026-06-08,2026-06,202606080510,A,4,1,4,2,0,0,0.0,-10000.0,6.824412353813695,6-8,4-1-5|4-1-6|4-2-1|4-2-3,05,多摩川,6.0
2026-06-10,2026-06,202606100903,A,4,4,1,6,1,0,0.0,-10000.0,10.3185697691751,10-12,4-2-5|4-3-2|4-2-6|4-3-5,09,津,6.0
