floor,venue_code,venue,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct,max_drawdown_yen,max_consecutive_misses,max_consecutive_losing_bets,worst_5bet_pnl_yen,worst_10bet_pnl_yen
6.0,02,戸田,1,0,0,0.0,0.0,8.577413161110142,0.0,-10000.0,0.0,10000.0,1,1,,
6.0,03,江戸川,3,0,0,0.0,0.0,7.304659275498551,0.0,-30000.0,0.0,30000.0,3,3,,
6.0,04,平和島,1,0,0,0.0,0.0,6.125199105636349,0.0,-10000.0,0.0,10000.0,1,1,,
6.0,05,多摩川,2,1,1,50.0,50.0,7.626692284455294,83840.0,63840.0,419.2,10000.0,1,1,,
6.0,06,浜名湖,2,2,1,100.0,50.0,9.883604819300944,115830.0,95830.0,579.15,10000.0,1,1,,
6.0,07,蒲郡,6,5,3,83.33333333333334,50.0,8.257153120336895,279210.0,219210.0,465.35,20000.0,2,2,229210.0,
6.0,08,常滑,4,2,1,50.0,25.0,9.402125534445304,62580.0,22580.0,156.45,20000.0,2,2,,
6.0,09,津,3,1,0,33.33333333333333,0.0,9.498755761503206,0.0,-30000.0,0.0,30000.0,3,3,,
6.0,10,三国,2,1,1,50.0,50.0,8.404489234678326,72720.0,52720.0,363.6,10000.0,1,1,,
6.0,14,鳴門,2,2,0,100.0,0.0,8.909612712798111,0.0,-20000.0,0.0,20000.0,2,2,,
6.0,15,丸亀,1,1,0,100.0,0.0,10.857930549776,0.0,-10000.0,0.0,10000.0,1,1,,
6.0,16,児島,1,0,0,0.0,0.0,6.221238820020315,0.0,-10000.0,0.0,10000.0,1,1,,
6.0,17,宮島,1,1,0,100.0,0.0,8.346811522708887,0.0,-10000.0,0.0,10000.0,1,1,,
6.0,18,徳山,2,0,0,0.0,0.0,6.4199923755190635,0.0,-20000.0,0.0,20000.0,2,2,,
6.0,20,若松,1,0,0,0.0,0.0,7.773591858544045,0.0,-10000.0,0.0,10000.0,1,1,,
6.0,22,福岡,3,2,2,66.66666666666666,66.66666666666666,9.678115385440522,222490.0,192490.0,741.6333333333333,10000.0,1,1,,
6.0,23,唐津,4,2,1,50.0,25.0,7.9611635184553435,96660.0,56660.0,241.65,30000.0,3,3,,
6.0,24,大村,1,0,0,0.0,0.0,6.5899015073392695,0.0,-10000.0,0.0,10000.0,1,1,,
7.0,02,戸田,1,0,0,0.0,0.0,8.577413161110142,0.0,-10000.0,0.0,10000.0,1,1,,
7.0,03,江戸川,2,0,0,0.0,0.0,7.930931643261843,0.0,-20000.0,0.0,20000.0,2,2,,
7.0,05,多摩川,1,1,1,100.0,100.0,8.428972215096893,83840.0,73840.0,838.4,0.0,0,0,,
7.0,06,浜名湖,2,2,1,100.0,50.0,9.883604819300944,115830.0,95830.0,579.15,10000.0,1,1,,
7.0,07,蒲郡,4,4,3,100.0,75.0,9.142538894070896,279210.0,239210.0,698.025,10000.0,1,1,,
7.0,08,常滑,3,1,0,33.33333333333333,0.0,10.432304289646979,0.0,-30000.0,0.0,30000.0,3,3,,
7.0,09,津,3,1,0,33.33333333333333,0.0,9.498755761503206,0.0,-30000.0,0.0,30000.0,3,3,,
7.0,10,三国,2,1,1,50.0,50.0,8.404489234678326,72720.0,52720.0,363.6,10000.0,1,1,,
7.0,14,鳴門,2,2,0,100.0,0.0,8.909612712798111,0.0,-20000.0,0.0,20000.0,2,2,,
7.0,15,丸亀,1,1,0,100.0,0.0,10.857930549776,0.0,-10000.0,0.0,10000.0,1,1,,
7.0,17,宮島,1,1,0,100.0,0.0,8.346811522708887,0.0,-10000.0,0.0,10000.0,1,1,,
7.0,20,若松,1,0,0,0.0,0.0,7.773591858544045,0.0,-10000.0,0.0,10000.0,1,1,,
7.0,22,福岡,2,2,2,100.0,100.0,11.328252556249385,222490.0,202490.0,1112.45,0.0,0,0,,
7.0,23,唐津,3,2,1,66.66666666666666,33.33333333333333,8.464880620305715,96660.0,66660.0,322.2,20000.0,2,2,,
8.0,02,戸田,1,0,0,0.0,0.0,8.577413161110142,0.0,-10000.0,0.0,10000.0,1,1,,
8.0,03,江戸川,1,0,0,0.0,0.0,8.364541081034721,0.0,-10000.0,0.0,10000.0,1,1,,
8.0,05,多摩川,1,1,1,100.0,100.0,8.428972215096893,83840.0,73840.0,838.4,0.0,0,0,,
8.0,06,浜名湖,2,2,1,100.0,50.0,9.883604819300944,115830.0,95830.0,579.15,10000.0,1,1,,
8.0,07,蒲郡,4,4,3,100.0,75.0,9.142538894070896,279210.0,239210.0,698.025,10000.0,1,1,,
8.0,08,常滑,2,0,0,0.0,0.0,12.110437232411481,0.0,-20000.0,0.0,20000.0,2,2,,
8.0,09,津,2,1,0,50.0,0.0,10.558322358039025,0.0,-20000.0,0.0,20000.0,2,2,,
8.0,10,三国,1,0,0,0.0,0.0,9.424014143926696,0.0,-10000.0,0.0,10000.0,1,1,,
8.0,14,鳴門,1,1,0,100.0,0.0,10.343086896777804,0.0,-10000.0,0.0,10000.0,1,1,,
8.0,15,丸亀,1,1,0,100.0,0.0,10.857930549776,0.0,-10000.0,0.0,10000.0,1,1,,
8.0,17,宮島,1,1,0,100.0,0.0,8.346811522708887,0.0,-10000.0,0.0,10000.0,1,1,,
8.0,22,福岡,2,2,2,100.0,100.0,11.328252556249385,222490.0,202490.0,1112.45,0.0,0,0,,
8.0,23,唐津,2,2,1,100.0,50.0,9.181516834353936,96660.0,76660.0,483.3,10000.0,1,1,,
