model,score,scope,R,auc,brier,logloss
HGB_V109_FULL_POST,p_raw,pooled_Feb-Jun,21692,0.7100837898400851,0.2141157090905982,0.6174955123557352
HGB_V109_FULL_POST,p_cal,pooled_Feb-Jun,21692,0.7095877216727511,0.21421828248052294,0.617728117327588
HGB_V109_FULL_POST,p_raw,2026-02,4041,0.7135805563759372,0.21322061161162856,0.6159664620896413
HGB_V109_FULL_POST,p_cal,2026-02,4041,0.7135805563759372,0.21404893265525543,0.6179827959438136
HGB_V109_FULL_POST,p_raw,2026-03,4528,0.7125348092700567,0.21421050906037306,0.6172228700090101
HGB_V109_FULL_POST,p_cal,2026-03,4528,0.7125348092700567,0.21418547420279826,0.6171784825168143
HGB_V109_FULL_POST,p_raw,2026-04,4185,0.716408096196163,0.2116320291304133,0.6115590628299368
HGB_V109_FULL_POST,p_cal,2026-04,4185,0.716408096196163,0.2114837751168725,0.6111954605578733
HGB_V109_FULL_POST,p_raw,2026-05,4550,0.7047108570555027,0.21651328848092866,0.6226906941566775
HGB_V109_FULL_POST,p_cal,2026-05,4550,0.7047108570555027,0.21643886247463767,0.6225368377873252
HGB_V109_FULL_POST,p_raw,2026-06,4388,0.7061678561334086,0.21472488161948292,0.6194598197263903
HGB_V109_FULL_POST,p_cal,2026-06,4388,0.7061678561334086,0.21471353609699936,0.6193049360660721
LR_ABS_POST,p_raw,pooled_Feb-Jun,21692,0.6973065244730114,0.21785075933422066,0.6257942498833561
LR_ABS_POST,p_cal,pooled_Feb-Jun,21692,0.6973317246705687,0.21794058663077412,0.626060625424231
LR_ABS_POST,p_raw,2026-02,4041,0.6980128012627533,0.21769470183206574,0.6257048609715135
LR_ABS_POST,p_cal,2026-02,4041,0.6980128012627533,0.21798532947959257,0.6265872614222612
LR_ABS_POST,p_raw,2026-03,4528,0.6989048445350333,0.2179015410665072,0.6257377181644052
LR_ABS_POST,p_cal,2026-03,4528,0.6989048445350333,0.21805215888180896,0.6261612167874134
LR_ABS_POST,p_raw,2026-04,4185,0.7003897271724956,0.21608840278729338,0.6217990165791929
LR_ABS_POST,p_cal,2026-04,4185,0.7003897271724956,0.21610622769083626,0.6218606677167654
LR_ABS_POST,p_raw,2026-05,4550,0.6925890741529357,0.22034199811511535,0.6310935962905453
LR_ABS_POST,p_cal,2026-05,4550,0.6925890741529357,0.2203876732043328,0.6312461002317711
LR_ABS_POST,p_raw,2026-06,4388,0.6977223478424722,0.21703968695004414,0.6242503167569605
LR_ABS_POST,p_cal,2026-06,4388,0.6977223478424722,0.21699631663286773,0.6241005750301806
LR_ABS_THREAT_POST,p_raw,pooled_Feb-Jun,21692,0.7124802761810964,0.21319407085990197,0.6153987966221495
LR_ABS_THREAT_POST,p_cal,pooled_Feb-Jun,21692,0.7125160087027778,0.21323975510492466,0.6155316218932787
LR_ABS_THREAT_POST,p_raw,2026-02,4041,0.7157104601555113,0.21243867997373514,0.6141836773937626
LR_ABS_THREAT_POST,p_cal,2026-02,4041,0.7157104601555113,0.21231018806782695,0.6139822244882323
LR_ABS_THREAT_POST,p_raw,2026-03,4528,0.712145584618189,0.21401635564177282,0.6166742120445348
LR_ABS_THREAT_POST,p_cal,2026-03,4528,0.712145584618189,0.214271649509094,0.6172994409960476
LR_ABS_THREAT_POST,p_raw,2026-04,4185,0.7193943563956566,0.2103870867431382,0.6087988262347954
LR_ABS_THREAT_POST,p_cal,2026-04,4185,0.7193943563956566,0.21033966087203898,0.6086734793516182
LR_ABS_THREAT_POST,p_raw,2026-05,4550,0.7104050746645827,0.21439682699484136,0.6179645860575005
LR_ABS_THREAT_POST,p_cal,2026-05,4550,0.7104050746645827,0.21450700834022154,0.6182830325234768
LR_ABS_THREAT_POST,p_raw,2026-06,4388,0.7066725803520957,0.21447117140533742,0.6188358408130291
LR_ABS_THREAT_POST,p_cal,2026-06,4388,0.7066725803520957,0.21448288515935907,0.6188221501945329
LR_V109_FULL_POST,p_raw,pooled_Feb-Jun,21692,0.7126685339517249,0.21313832928871165,0.6153165696958766
LR_V109_FULL_POST,p_cal,pooled_Feb-Jun,21692,0.7126877414718009,0.2131728036728047,0.6154184954885472
LR_V109_FULL_POST,p_raw,2026-02,4041,0.7158896480521382,0.21230323821571986,0.6138399016965187
LR_V109_FULL_POST,p_cal,2026-02,4041,0.7158896480521382,0.21218397536568723,0.6136463356857838
LR_V109_FULL_POST,p_raw,2026-03,4528,0.7124091447473807,0.21397965490188647,0.6167086111441008
LR_V109_FULL_POST,p_cal,2026-03,4528,0.7124091447473807,0.21422225429816494,0.6173366063955447
LR_V109_FULL_POST,p_raw,2026-04,4185,0.7193377503029004,0.21044429863617267,0.6089201365626891
LR_V109_FULL_POST,p_cal,2026-04,4185,0.7193377503029004,0.21037564576776827,0.6087426097707817
LR_V109_FULL_POST,p_raw,2026-05,4550,0.7103495032500503,0.2144132291700108,0.6180188095656793
LR_V109_FULL_POST,p_cal,2026-05,4550,0.7103495032500503,0.21449780219745113,0.6182582296198907
LR_V109_FULL_POST,p_raw,2026-06,4388,0.7071322999946162,0.21428664389000363,0.6185385234248262
LR_V109_FULL_POST,p_cal,2026-06,4388,0.7071322999946162,0.2142943408885902,0.6184936739314183
