model,score,rule,quantile,R,heads,head_rate,wilson_lo,wilson_hi,months_covered,worst_month_head_rate,min_month_R
HGB_V109_FULL_POST,p_cal,training_OOF_q0.900,0.9,2120,1718,0.810377358490566,0.7931349772033922,0.826496961204447,5,0.7683823529411765,114
HGB_V109_FULL_POST,p_cal,training_OOF_q0.950,0.95,1004,839,0.8356573705179283,0.8114630255100126,0.8572929520310064,5,0.7938144329896907,15
HGB_V109_FULL_POST,p_cal,training_OOF_q0.975,0.975,482,408,0.8464730290456431,0.8115613927819953,0.8759056686143991,4,0.7925925925925926,92
HGB_V109_FULL_POST,p_cal,training_OOF_q0.990,0.99,182,154,0.8461538461538461,0.7866340668788138,0.8913631937946987,4,0.8269230769230769,28
HGB_V109_FULL_POST,p_cal,training_OOF_q0.995,0.995,76,66,0.868421052631579,0.7744588056311938,0.9269311843208103,4,0.84,15
LR_ABS_POST,p_cal,training_OOF_q0.900,0.9,2405,1877,0.7804573804573804,0.763473880441501,0.7965463712277122,5,0.7722095671981777,426
LR_ABS_POST,p_cal,training_OOF_q0.950,0.95,1189,958,0.8057190916736754,0.7822605259026967,0.8272085654204291,5,0.784688995215311,169
LR_ABS_POST,p_cal,training_OOF_q0.975,0.975,622,518,0.8327974276527331,0.801448146568639,0.8600612407770346,5,0.8136645962732919,86
LR_ABS_POST,p_cal,training_OOF_q0.990,0.99,246,211,0.8577235772357723,0.8085588037960338,0.8958879314686343,5,0.8181818181818182,28
LR_ABS_POST,p_cal,training_OOF_q0.995,0.995,115,98,0.8521739130434782,0.775970508393773,0.9056098155419282,5,0.75,12
LR_ABS_THREAT_POST,p_cal,training_OOF_q0.900,0.9,2331,1889,0.8103818103818103,0.7939626880507634,0.8257796051715206,5,0.788135593220339,316
LR_ABS_THREAT_POST,p_cal,training_OOF_q0.950,0.95,1232,1036,0.8409090909090909,0.8194297111312284,0.8602691240264567,5,0.7894736842105263,158
LR_ABS_THREAT_POST,p_cal,training_OOF_q0.975,0.975,635,542,0.8535433070866142,0.8239181574692751,0.878916628533589,5,0.784,81
LR_ABS_THREAT_POST,p_cal,training_OOF_q0.990,0.99,264,220,0.8333333333333334,0.7836656037146046,0.8734395389131573,5,0.75,31
LR_ABS_THREAT_POST,p_cal,training_OOF_q0.995,0.995,134,115,0.8582089552238806,0.7891423611607532,0.9073099313594385,5,0.7878787878787878,19
LR_V109_FULL_POST,p_cal,training_OOF_q0.900,0.9,2340,1899,0.8115384615384615,0.7951871171636128,0.8268686087102669,5,0.7845188284518828,320
LR_V109_FULL_POST,p_cal,training_OOF_q0.950,0.95,1226,1029,0.8393148450244698,0.8177030747169312,0.8588068884435336,5,0.7791666666666667,165
LR_V109_FULL_POST,p_cal,training_OOF_q0.975,0.975,639,545,0.8528951486697965,0.8233237351534729,0.8782489369441991,5,0.7950819672131147,74
LR_V109_FULL_POST,p_cal,training_OOF_q0.990,0.99,255,215,0.8431372549019608,0.7934493244916875,0.8826402045865226,5,0.7735849056603774,27
LR_V109_FULL_POST,p_cal,training_OOF_q0.995,0.995,134,114,0.8507462686567164,0.7806868625803948,0.9012560071789596,5,0.7647058823529411,18
