model,score,bin,R,heads,mean_pred,head_rate,wilson_lo,wilson_hi
HGB_V109_FULL_POST,p_raw,"[0.0, 0.5)",7677,2628,0.3579180323312592,0.34232121922626024,0.33178851321343605,0.3530116466414821
HGB_V109_FULL_POST,p_raw,"[0.5, 0.6)",3479,1910,0.5519078375284606,0.5490083357286577,0.5324286791888595,0.5654798831249315
HGB_V109_FULL_POST,p_raw,"[0.6, 0.7)",4623,2964,0.6523089248122769,0.6411421155094095,0.6272032847548525,0.6548465783352528
HGB_V109_FULL_POST,p_raw,"[0.7, 0.75)",2521,1802,0.7245628605570227,0.71479571598572,0.6968542306476517,0.7320835928408176
HGB_V109_FULL_POST,p_raw,"[0.75, 0.8)",1918,1464,0.7735674330649106,0.7632950990615224,0.7437577834332825,0.7817798437026049
HGB_V109_FULL_POST,p_raw,"[0.8, 0.85)",1055,873,0.8211320148400499,0.8274881516587678,0.8035116189633317,0.8490884414551706
HGB_V109_FULL_POST,p_raw,"[0.85, 0.9)",388,330,0.8702912486778279,0.8505154639175257,0.8116076406761948,0.8825506569644502
HGB_V109_FULL_POST,p_raw,"[0.9, 0.95)",31,27,0.9107530959756688,0.8709677419354839,0.7114759374369357,0.9486571562537085
HGB_V109_FULL_POST,p_cal,"[0.0, 0.5)",7839,2707,0.35691665097973974,0.3453246587574946,0.3348771808791131,0.35592365798361203
HGB_V109_FULL_POST,p_cal,"[0.5, 0.6)",3558,1989,0.5519811691733367,0.5590219224283305,0.5426526579313079,0.5752638762142236
HGB_V109_FULL_POST,p_cal,"[0.6, 0.7)",4716,3045,0.6521484232064,0.6456743002544529,0.6319096269464374,0.6592018461798886
HGB_V109_FULL_POST,p_cal,"[0.7, 0.75)",2431,1754,0.7242228896446793,0.7215137803373097,0.7033560750706366,0.7389725193018449
HGB_V109_FULL_POST,p_cal,"[0.75, 0.8)",1803,1368,0.7733314994102082,0.7587354409317804,0.7384498234492051,0.7779208827050353
