model,score,rule,cut,R,heads,head_rate,wilson_lo,wilson_hi,months_covered,worst_month_head_rate,min_month_R
HGB_V109_FULL_POST,p_raw,>=0.700,0.7,5913,4496,0.7603585320480297,0.7493115789312884,0.7710674140548927,5,0.748135874067937,929
HGB_V109_FULL_POST,p_raw,>=0.750,0.75,3392,2694,0.7942216981132075,0.780287733241154,0.8074900014394191,5,0.7806691449814126,401
HGB_V109_FULL_POST,p_raw,>=0.800,0.8,1474,1230,0.8344640434192673,0.8146258066912981,0.8525634876101489,5,0.7873417721518987,110
HGB_V109_FULL_POST,p_raw,>=0.820,0.82,931,790,0.8485499462943072,0.8240929586425715,0.8701424048796197,5,0.8053435114503816,52
HGB_V109_FULL_POST,p_raw,>=0.840,0.84,545,467,0.8568807339449541,0.8249788355190808,0.883786863114276,5,0.8076923076923077,14
HGB_V109_FULL_POST,p_raw,>=0.860,0.86,300,252,0.84,0.7942563251514081,0.8771464544159004,4,0.8181818181818182,55
HGB_V109_FULL_POST,p_raw,>=0.880,0.88,134,117,0.8731343283582089,0.8062097442091152,0.919261393832751,4,0.813953488372093,24
HGB_V109_FULL_POST,p_raw,>=0.900,0.9,31,27,0.8709677419354839,0.7114759374369357,0.9486571562537085,4,0.8,5
HGB_V109_FULL_POST,p_raw,>=0.920,0.92,6,6,1.0,0.6096657120978346,1.0,4,1.0,1
HGB_V109_FULL_POST,p_raw,>=0.940,0.94,0,0,,,,0,,0
HGB_V109_FULL_POST,p_raw,>=0.950,0.95,0,0,,,,0,,0
HGB_V109_FULL_POST,p_raw,>=0.960,0.96,0,0,,,,0,,0
HGB_V109_FULL_POST,p_raw,>=0.970,0.97,0,0,,,,0,,0
HGB_V109_FULL_POST,p_raw,>=0.980,0.98,0,0,,,,0,,0
HGB_V109_FULL_POST,p_cal,>=0.700,0.7,5579,4257,0.7630399713210253,0.751703484050033,0.7740144718777326,5,0.7540983606557377,768
HGB_V109_FULL_POST,p_cal,>=0.750,0.75,3148,2503,0.7951080050825922,0.7806527495457681,0.8088439063853957,5,0.7749326145552561,294
HGB_V109_FULL_POST,p_cal,>=0.800,0.8,1345,1135,0.8438661710037175,0.8234910716377288,0.862282629897763,5,0.7994428969359332,58
HGB_V109_FULL_POST,p_cal,>=0.820,0.82,844,711,0.8424170616113744,0.8162915957955763,0.8654396335358716,5,0.7957446808510639,16
HGB_V109_FULL_POST,p_cal,>=0.840,0.84,510,434,0.8509803921568627,0.8174544983808452,0.8792584543295834,5,0.7941176470588235,1
HGB_V109_FULL_POST,p_cal,>=0.860,0.86,286,243,0.8496503496503497,0.8036089749683645,0.8864234338311195,4,0.8243243243243243,57
HGB_V109_FULL_POST,p_cal,>=0.880,0.88,125,110,0.88,0.8114261894188212,0.9259141113628507,4,0.8333333333333334,25
HGB_V109_FULL_POST,p_cal,>=0.900,0.9,32,28,0.875,0.7193169451834978,0.9502986561251991,4,0.75,8
HGB_V109_FULL_POST,p_cal,>=0.920,0.92,5,5,1.0,0.5655175352168251,1.0,4,1.0,1
HGB_V109_FULL_POST,p_cal,>=0.940,0.94,0,0,,,,0,,0
HGB_V109_FULL_POST,p_cal,>=0.950,0.95,0,0,,,,0,,0
HGB_V109_FULL_POST,p_cal,>=0.960,0.96,0,0,,,,0,,0
HGB_V109_FULL_POST,p_cal,>=0.970,0.97,0,0,,,,0,,0
HGB_V109_FULL_POST,p_cal,>=0.980,0.98,0,0,,,,0,,0
LR_ABS_POST,p_raw,>=0.700,0.7,5486,4126,0.7520962449872403,0.7404963682076312,0.7633433183748991,5,0.7434377646062659,946
LR_ABS_POST,p_raw,>=0.750,0.75,3267,2529,0.7741046831955923,0.7594482987965802,0.7881172199081227,5,0.753968253968254,535
LR_ABS_POST,p_raw,>=0.800,0.8,1375,1109,0.8065454545454546,0.7848244729213336,0.8265583619993739,5,0.7802197802197802,201
LR_ABS_POST,p_raw,>=0.820,0.82,846,699,0.8262411347517731,0.7992492889065915,0.8502836260514502,5,0.8113207547169812,117
LR_ABS_POST,p_raw,>=0.840,0.84,474,397,0.8375527426160337,0.8016553404112065,0.8680228427873703,5,0.8035714285714286,61
LR_ABS_POST,p_raw,>=0.860,0.86,212,182,0.8584905660377359,0.805175873914583,0.8990447185077045,5,0.8269230769230769,24
LR_ABS_POST,p_raw,>=0.880,0.88,69,60,0.8695652173913043,0.7703170006041271,0.9298337216039652,5,0.8095238095238095,5
LR_ABS_POST,p_raw,>=0.900,0.9,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,5,0.5,1
LR_ABS_POST,p_raw,>=0.920,0.92,1,1,1.0,0.20654931437723745,1.0,1,1.0,1
LR_ABS_POST,p_raw,>=0.940,0.94,0,0,,,,0,,0
LR_ABS_POST,p_raw,>=0.950,0.95,0,0,,,,0,,0
LR_ABS_POST,p_raw,>=0.960,0.96,0,0,,,,0,,0
LR_ABS_POST,p_raw,>=0.970,0.97,0,0,,,,0,,0
LR_ABS_POST,p_raw,>=0.980,0.98,0,0,,,,0,,0
LR_ABS_POST,p_cal,>=0.700,0.7,5701,4283,0.7512717067181196,0.7398839561603029,0.7623210605225362,5,0.7409691629955947,1047
LR_ABS_POST,p_cal,>=0.750,0.75,3545,2728,0.7695345557122708,0.7553842393849343,0.7831013543431776,5,0.74235807860262,648
LR_ABS_POST,p_cal,>=0.800,0.8,1621,1304,0.8044417026526836,0.784423141848969,0.8230207380704676,5,0.7857142857142857,252
LR_ABS_POST,p_cal,>=0.820,0.82,1040,851,0.8182692307692307,0.7936752692677326,0.8405206561823936,5,0.7951219512195122,147
LR_ABS_POST,p_cal,>=0.840,0.84,602,504,0.8372093023255814,0.8055966803766386,0.8645456383585348,5,0.810126582278481,78
LR_ABS_POST,p_cal,>=0.860,0.86,310,261,0.8419354838709677,0.7971738714494149,0.8783264298703072,5,0.8111111111111111,36
LR_ABS_POST,p_cal,>=0.880,0.88,116,101,0.8706896551724138,0.7975686759498692,0.9200460864728124,5,0.8214285714285714,5
LR_ABS_POST,p_cal,>=0.900,0.9,27,25,0.9259259259259259,0.7663040731697686,0.9794453459390113,4,0.8571428571428571,2
LR_ABS_POST,p_cal,>=0.920,0.92,5,4,0.8,0.37553462976252533,0.9637758913675698,2,0.5,2
