variant,month,features,train,test,oof
PRE_LR_RECOVERED,2026-02,524,13435,4072,4963
PRE_LR_RECOVERED,2026-03,524,17507,4567,9035
PRE_LR_RECOVERED,2026-04,524,22074,4204,13602
PRE_LR_RECOVERED,2026-05,524,26278,4590,17806
PRE_LR_RECOVERED,2026-06,524,30868,4427,22396
PRE_HGB_RECOVERED,2026-02,524,13435,4072,4963
PRE_HGB_RECOVERED,2026-03,524,17507,4567,9035
PRE_HGB_RECOVERED,2026-04,524,22074,4204,13602
PRE_HGB_RECOVERED,2026-05,524,26278,4590,17806
PRE_HGB_RECOVERED,2026-06,524,30868,4427,22396
POST_LR_RECOVERED,2026-02,558,12999,3198,4649
POST_LR_RECOVERED,2026-03,558,16197,3660,7847
POST_LR_RECOVERED,2026-04,558,19857,3404,11507
POST_LR_RECOVERED,2026-05,558,23261,4307,14911
POST_LR_RECOVERED,2026-06,558,27568,4380,19218
POST_HGB_RECOVERED,2026-02,558,12999,3198,4649
POST_HGB_RECOVERED,2026-03,558,16197,3660,7847
POST_HGB_RECOVERED,2026-04,558,19857,3404,11507
POST_HGB_RECOVERED,2026-05,558,23261,4307,14911
POST_HGB_RECOVERED,2026-06,558,27568,4380,19218
