variant,month,features,train,test,oof
HGB_STATIC6,2026-02,83,13435,4072,4963
HGB_STATIC6,2026-03,83,17507,4567,9035
HGB_STATIC6,2026-04,83,22074,4204,13602
HGB_STATIC6,2026-05,83,26278,4590,17806
HGB_STATIC6,2026-06,83,30868,4427,22396
HGB_STATIC9,2026-02,125,13435,4072,4963
HGB_STATIC9,2026-03,125,17507,4567,9035
HGB_STATIC9,2026-04,125,22074,4204,13602
HGB_STATIC9,2026-05,125,26278,4590,17806
HGB_STATIC9,2026-06,125,30868,4427,22396
HGB_STATIC9_PLAYER,2026-02,196,13435,4072,4963
HGB_STATIC9_PLAYER,2026-03,196,17507,4567,9035
HGB_STATIC9_PLAYER,2026-04,196,22074,4204,13602
HGB_STATIC9_PLAYER,2026-05,196,26278,4590,17806
HGB_STATIC9_PLAYER,2026-06,196,30868,4427,22396
HGB_FULL_PRE,2026-02,524,13435,4072,4963
HGB_FULL_PRE,2026-03,524,17507,4567,9035
HGB_FULL_PRE,2026-04,524,22074,4204,13602
HGB_FULL_PRE,2026-05,524,26278,4590,17806
HGB_FULL_PRE,2026-06,524,30868,4427,22396
