variant,month,selector,cut,R,heads,head_rate
HGB_FULL_PRE,2026-02,OOF_q0.900,0.9755885678501723,350,348,0.9942857142857143
HGB_FULL_PRE,2026-02,OOF_q0.950,0.9872376233771791,41,41,1.0
HGB_FULL_PRE,2026-02,OOF_q0.975,0.9902192023809786,1,1,1.0
HGB_FULL_PRE,2026-02,p_cal>=0.90,0.9,924,893,0.9664502164502164
HGB_FULL_PRE,2026-02,p_cal>=0.94,0.94,550,542,0.9854545454545455
HGB_FULL_PRE,2026-02,p_cal>=0.95,0.95,469,465,0.9914712153518124
HGB_FULL_PRE,2026-02,p_cal>=0.96,0.96,411,409,0.9951338199513382
HGB_FULL_PRE,2026-02,p_cal>=0.97,0.97,378,376,0.9947089947089947
HGB_FULL_PRE,2026-02,p_cal>=0.98,0.98,284,282,0.9929577464788732
HGB_FULL_PRE,2026-03,OOF_q0.900,0.9774380574549157,402,401,0.9975124378109452
HGB_FULL_PRE,2026-03,OOF_q0.950,0.9880558403854969,238,237,0.9957983193277311
HGB_FULL_PRE,2026-03,OOF_q0.975,0.9905989998863782,114,114,1.0
HGB_FULL_PRE,2026-03,p_cal>=0.90,0.9,1026,997,0.9717348927875243
HGB_FULL_PRE,2026-03,p_cal>=0.94,0.94,652,643,0.9861963190184049
HGB_FULL_PRE,2026-03,p_cal>=0.95,0.95,559,554,0.9910554561717353
HGB_FULL_PRE,2026-03,p_cal>=0.96,0.96,494,490,0.9919028340080972
HGB_FULL_PRE,2026-03,p_cal>=0.97,0.97,432,429,0.9930555555555556
HGB_FULL_PRE,2026-03,p_cal>=0.98,0.98,378,377,0.9973544973544973
HGB_FULL_PRE,2026-04,OOF_q0.900,0.978186036440903,404,402,0.995049504950495
HGB_FULL_PRE,2026-04,OOF_q0.950,0.9899859770168179,131,131,1.0
HGB_FULL_PRE,2026-04,OOF_q0.975,0.9921562805369852,4,4,1.0
HGB_FULL_PRE,2026-04,p_cal>=0.90,0.9,1072,1026,0.957089552238806
HGB_FULL_PRE,2026-04,p_cal>=0.94,0.94,681,671,0.9853157121879589
HGB_FULL_PRE,2026-04,p_cal>=0.95,0.95,596,589,0.988255033557047
HGB_FULL_PRE,2026-04,p_cal>=0.96,0.96,520,515,0.9903846153846154
HGB_FULL_PRE,2026-04,p_cal>=0.97,0.97,456,452,0.9912280701754386
HGB_FULL_PRE,2026-04,p_cal>=0.98,0.98,387,387,1.0
HGB_FULL_PRE,2026-05,OOF_q0.900,0.9741149301966656,220,205,0.9318181818181818
HGB_FULL_PRE,2026-05,OOF_q0.950,0.9874510499416262,73,71,0.9726027397260274
HGB_FULL_PRE,2026-05,OOF_q0.975,0.989807218157094,13,13,1.0
HGB_FULL_PRE,2026-05,p_cal>=0.90,0.9,618,537,0.8689320388349514
HGB_FULL_PRE,2026-05,p_cal>=0.94,0.94,379,339,0.8944591029023746
HGB_FULL_PRE,2026-05,p_cal>=0.95,0.95,324,293,0.904320987654321
HGB_FULL_PRE,2026-05,p_cal>=0.96,0.96,275,253,0.92
HGB_FULL_PRE,2026-05,p_cal>=0.97,0.97,244,224,0.9180327868852459
HGB_FULL_PRE,2026-05,p_cal>=0.98,0.98,165,157,0.9515151515151515
HGB_FULL_PRE,2026-06,OOF_q0.900,0.9251166304101437,48,37,0.7708333333333334
HGB_FULL_PRE,2026-06,OOF_q0.950,0.9560842042366822,1,1,1.0
HGB_FULL_PRE,2026-06,OOF_q0.975,0.9617703711750856,0,0,
HGB_FULL_PRE,2026-06,p_cal>=0.90,0.9,91,69,0.7582417582417582
HGB_FULL_PRE,2026-06,p_cal>=0.94,0.94,20,16,0.8
HGB_FULL_PRE,2026-06,p_cal>=0.95,0.95,9,9,1.0
HGB_FULL_PRE,2026-06,p_cal>=0.96,0.96,0,0,
HGB_FULL_PRE,2026-06,p_cal>=0.97,0.97,0,0,
HGB_FULL_PRE,2026-06,p_cal>=0.98,0.98,0,0,
HGB_STATIC6,2026-02,OOF_q0.900,0.7550024816318288,211,161,0.7630331753554502
HGB_STATIC6,2026-02,OOF_q0.950,0.787852498101939,68,57,0.8382352941176471
HGB_STATIC6,2026-02,OOF_q0.975,0.8114479509798194,27,24,0.8888888888888888
HGB_STATIC6,2026-02,p_cal>=0.90,0.9,0,0,
HGB_STATIC6,2026-02,p_cal>=0.94,0.94,0,0,
HGB_STATIC6,2026-02,p_cal>=0.95,0.95,0,0,
HGB_STATIC6,2026-02,p_cal>=0.96,0.96,0,0,
HGB_STATIC6,2026-02,p_cal>=0.97,0.97,0,0,
HGB_STATIC6,2026-02,p_cal>=0.98,0.98,0,0,
HGB_STATIC6,2026-03,OOF_q0.900,0.7567776992666634,344,279,0.811046511627907
HGB_STATIC6,2026-03,OOF_q0.950,0.7901446546431984,130,106,0.8153846153846154
HGB_STATIC6,2026-03,OOF_q0.975,0.8131977302977483,56,49,0.875
HGB_STATIC6,2026-03,p_cal>=0.90,0.9,0,0,
HGB_STATIC6,2026-03,p_cal>=0.94,0.94,0,0,
HGB_STATIC6,2026-03,p_cal>=0.95,0.95,0,0,
HGB_STATIC6,2026-03,p_cal>=0.96,0.96,0,0,
HGB_STATIC6,2026-03,p_cal>=0.97,0.97,0,0,
HGB_STATIC6,2026-03,p_cal>=0.98,0.98,0,0,
HGB_STATIC6,2026-04,OOF_q0.900,0.7515360997815845,398,327,0.821608040201005
HGB_STATIC6,2026-04,OOF_q0.950,0.7832584859661423,163,138,0.8466257668711656
HGB_STATIC6,2026-04,OOF_q0.975,0.8081291756575936,62,55,0.8870967741935484
HGB_STATIC6,2026-04,p_cal>=0.90,0.9,0,0,
HGB_STATIC6,2026-04,p_cal>=0.94,0.94,0,0,
HGB_STATIC6,2026-04,p_cal>=0.95,0.95,0,0,
HGB_STATIC6,2026-04,p_cal>=0.96,0.96,0,0,
HGB_STATIC6,2026-04,p_cal>=0.97,0.97,0,0,
HGB_STATIC6,2026-04,p_cal>=0.98,0.98,0,0,
HGB_STATIC6,2026-05,OOF_q0.900,0.7547242753883514,388,304,0.7835051546391752
HGB_STATIC6,2026-05,OOF_q0.950,0.7855810624313997,138,114,0.8260869565217391
HGB_STATIC6,2026-05,OOF_q0.975,0.8090769341970506,40,37,0.925
HGB_STATIC6,2026-05,p_cal>=0.90,0.9,0,0,
HGB_STATIC6,2026-05,p_cal>=0.94,0.94,0,0,
HGB_STATIC6,2026-05,p_cal>=0.95,0.95,0,0,
HGB_STATIC6,2026-05,p_cal>=0.96,0.96,0,0,
