feature,coverage,auc,auc_abs,mean_head,mean_loss
rel_meet_win_1vavg,1.0,0.8161051719115746,0.8161051719115746,0.17986694044911797,-0.07275068404002104
rel_meet_win_1vbest,1.0,0.7980643400215438,0.7980643400215438,-0.006465347855182577,-0.3467785671345097
attack23_meet_win,1.0,0.2145815973716918,0.7854184026283082,-0.11076019091134115,0.20174999068216298
b1_meet_win,1.0,0.7847671201880859,0.7847671201880859,0.31217207065558533,0.0927909774533667
rel_meet_win_1v2,1.0,0.7666426593411169,0.7666426593411169,0.1807622505114408,-0.09023609578910527
rel_meet_win_1v3,1.0,0.7650546141705017,0.7650546141705017,0.17901977923155565,-0.09013236313877926
rel_meet_win_1v4,1.0,0.7540113163109857,0.7540113163109857,0.17988395740866464,-0.07627533039998668
rel_meet_win_1v5,1.0,0.742174446257258,0.742174446257258,0.1804831450604227,-0.05919596099095029
rel_meet_win_1v6,1.0,0.7261867676381759,0.7261867676381759,0.17918557003350627,-0.04791366988128369
rel_meet_p2_1vavg,1.0,0.7084338519563539,0.7084338519563539,0.17705092354332452,-0.02645502475933273
rel_meet_p2_1vbest,1.0,0.6944004308733023,0.6944004308733023,-0.11158914123368903,-0.34837545786980556
b1_meet_p2,1.0,0.6881816082453593,0.6881816082453593,0.4717695231896711,0.28596657046091817
rel_wr_1vbest,1.0,0.6844883166815922,0.6844883166815922,-0.10129806494477203,-0.250592524697016
attack23_meet_p2,1.0,0.32147890859944106,0.6785210914005589,-0.03241341495846936,0.1856175627791882
b1_wr,1.0,0.6740162204568076,0.6740162204568076,0.5749801511502366,0.444515531113148
rel_wr_1vavg,1.0,0.672014509038309,0.672014509038309,0.12443222323727267,-0.0019977594459720956
b1_pl_all_win,1.0,0.670303504984104,0.670303504984104,0.1739477671795151,0.13180415970501375
rel_pl_all_p2_1vbest,1.0,0.668953207105583,0.668953207105583,-0.055731283307917746,-0.12499815893208759
rel_pl_all_win_1vavg,1.0,0.6682600615531115,0.6682600615531115,0.0382462387730318,-0.003938419545258124
rel_pl_all_win_1vbest,1.0,0.6674118799671953,0.6674118799671953,-0.04227209799712766,-0.09237936737169629
rel_meet_p2_1v3,1.0,0.666775788182514,0.666775788182514,0.16363048383852305,-0.04554791459007774
b1_pl_all_p2,1.0,0.6661287009344681,0.6661287009344681,0.33173629238845953,0.2723825927933824
rel_meet_p2_1v4,1.0,0.6638260859739171,0.6638260859739171,0.17645598917503244,-0.03623662749082853
attack23_wr,1.0,0.3372869255761659,0.6627130744238341,-0.004317913794535338,0.13893288522252775
rel_meet_p2_1v2,1.0,0.6604441478714234,0.6604441478714234,0.15585682576796273,-0.04585826215065445
rel_pl_all_p2_1vavg,1.0,0.660207288674447,0.660207288674447,0.05787810784624916,-0.0007652791036412967
rel_pl_frame_win_1vavg,1.0,0.6597273155534492,0.6597273155534492,0.37479387405212705,0.28500349743209297
rel_grade_1vbest,1.0,0.6594682159173051,0.6594682159173051,-0.12317913794535337,-0.308038496791934
rel_grade_1vavg,1.0,0.6581765111714458,0.6581765111714458,0.14614234698114778,0.0008640391078521477
rel_pl_frame_win_1vbest,1.0,0.6572923109849609,0.6572923109849609,0.2874976511700591,0.1936592447370565
rel_meet_p2_1v5,1.0,0.6563147762306062,0.6563147762306062,0.1883304618127307,-0.013182718651707347
b1_pl_frame_win,1.0,0.6553608478902907,0.6553608478902907,0.4567846176119347,0.3686422066388714
rel_pl_frame_win_1v5,1.0,0.6536234208918151,0.6536234208918151,0.39578866930192613,0.3059418859445938
rel_pl_frame_win_1v6,1.0,0.653018086801385,0.653018086801385,0.415801450749166,0.3269806786571488
rel_pl_recent_p2_1vbest,1.0,0.6522316785744575,0.6522316785744575,-0.08946270202993337,-0.1777130867700429
rel_pl_frame_win_1v4,1.0,0.6519266052143751,0.6519266052143751,0.36739445684427485,0.27738061114878404
b1_pl_recent_p2,1.0,0.6516228555389212,0.6516228555389212,0.39231601540625954,0.3168534457699222
b1_grade,1.0,0.6512685225029643,0.6512685225029643,0.7309484262104475,0.5790538751400346
rel_pl_frame_win_1v3,1.0,0.6497464035932701,0.6497464035932701,0.35111764859805317,0.26068459403680855
rel_pl_frame_win_1v2,1.0,0.6488547391787702,0.6488547391787702,0.3438671447672151,0.2540297173731298
rel_meet_p2_1v6,1.0,0.6470888973655453,0.6470888973655453,0.2009808571223736,0.0085503990866044
rel_pl_recent_p2_1vavg,1.0,0.6461598230014589,0.6461598230014589,0.07255084353620476,-0.00232031608591613
rel_pl_frame_p2_1vavg,1.0,0.6442544360710608,0.6442544360710608,0.37121614812698556,0.29424357995104333
b1_pl_frame_p2,1.0,0.643814165030859,0.643814165030859,0.5906422625154234,0.5148202486685757
attack23_grade,1.0,0.3612721164124554,0.6387278835875446,-0.019750851258201144,0.1511151848457073
rel_wr_1v3,1.0,0.6360966818914081,0.6360966818914081,0.10921235777759322,-0.02176168652612282
rel_pl_frame_p2_1vbest,1.0,0.6359986531064862,0.6359986531064862,0.21081038686085057,0.1287399297042641
rel_wr_1v2,1.0,0.635876235538016,0.635876235538016,0.1047599036624865,-0.025978816580099807
rel_pl_all_win_1v3,1.0,0.6329562845158696,0.6329562845158696,0.0343253638761237,-0.009015683024203887
