variant,month,features,train,test,oof
CLEAN_STATIC6,2026-02,83,13435,4072,4963
CLEAN_STATIC6,2026-03,83,17507,4567,9035
CLEAN_STATIC6,2026-04,83,22074,4204,13602
CLEAN_STATIC6,2026-05,83,26278,4590,17806
CLEAN_STATIC6,2026-06,83,30868,4427,22396
CLEAN_STATIC6_PLAYER,2026-02,154,13435,4072,4963
CLEAN_STATIC6_PLAYER,2026-03,154,17507,4567,9035
CLEAN_STATIC6_PLAYER,2026-04,154,22074,4204,13602
CLEAN_STATIC6_PLAYER,2026-05,154,26278,4590,17806
CLEAN_STATIC6_PLAYER,2026-06,154,30868,4427,22396
CLEAN_STATIC6_PRIOR_EX,2026-02,411,13435,4072,4963
CLEAN_STATIC6_PRIOR_EX,2026-03,411,17507,4567,9035
CLEAN_STATIC6_PRIOR_EX,2026-04,411,22074,4204,13602
CLEAN_STATIC6_PRIOR_EX,2026-05,411,26278,4590,17806
CLEAN_STATIC6_PRIOR_EX,2026-06,411,30868,4427,22396
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-02,482,13435,4072,4963
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-03,482,17507,4567,9035
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-04,482,22074,4204,13602
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-05,482,26278,4590,17806
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-06,482,30868,4427,22396
