variant,month,selector,cut,R,heads,head_rate
CLEAN_STATIC6,2026-02,OOF_q0.900,0.7550024816318288,211,161,0.7630331753554502
CLEAN_STATIC6,2026-02,OOF_q0.950,0.787852498101939,68,57,0.8382352941176471
CLEAN_STATIC6,2026-02,OOF_q0.975,0.8114479509798194,27,24,0.8888888888888888
CLEAN_STATIC6,2026-03,OOF_q0.900,0.7567776992666635,344,279,0.811046511627907
CLEAN_STATIC6,2026-03,OOF_q0.950,0.7901446546431984,130,106,0.8153846153846154
CLEAN_STATIC6,2026-03,OOF_q0.975,0.8131977302977483,56,49,0.875
CLEAN_STATIC6,2026-04,OOF_q0.900,0.7515360997815845,398,327,0.821608040201005
CLEAN_STATIC6,2026-04,OOF_q0.950,0.7832584859661423,163,138,0.8466257668711656
CLEAN_STATIC6,2026-04,OOF_q0.975,0.8081291756575936,62,55,0.8870967741935484
CLEAN_STATIC6,2026-05,OOF_q0.900,0.7547242753883514,388,304,0.7835051546391752
CLEAN_STATIC6,2026-05,OOF_q0.950,0.7855810624313997,138,114,0.8260869565217391
CLEAN_STATIC6,2026-05,OOF_q0.975,0.8090769341970506,40,37,0.925
CLEAN_STATIC6,2026-06,OOF_q0.900,0.7543845714847917,466,368,0.7896995708154506
CLEAN_STATIC6,2026-06,OOF_q0.950,0.7841065261471053,210,172,0.819047619047619
CLEAN_STATIC6,2026-06,OOF_q0.975,0.8061788304426777,99,82,0.8282828282828283
CLEAN_STATIC6_PLAYER,2026-02,OOF_q0.900,0.7592130605889997,171,135,0.7894736842105263
CLEAN_STATIC6_PLAYER,2026-02,OOF_q0.950,0.795991268899279,42,35,0.8333333333333334
CLEAN_STATIC6_PLAYER,2026-02,OOF_q0.975,0.8260844117493636,6,6,1.0
CLEAN_STATIC6_PLAYER,2026-03,OOF_q0.900,0.7539873756988611,406,327,0.8054187192118226
CLEAN_STATIC6_PLAYER,2026-03,OOF_q0.950,0.7889118898665488,147,116,0.7891156462585034
CLEAN_STATIC6_PLAYER,2026-03,OOF_q0.975,0.8181310579283768,50,45,0.9
CLEAN_STATIC6_PLAYER,2026-04,OOF_q0.900,0.7516347203168907,399,322,0.8070175438596491
CLEAN_STATIC6_PLAYER,2026-04,OOF_q0.950,0.78322661736057,169,138,0.8165680473372781
CLEAN_STATIC6_PLAYER,2026-04,OOF_q0.975,0.809845273751289,55,51,0.9272727272727272
CLEAN_STATIC6_PLAYER,2026-05,OOF_q0.900,0.7550837272823845,534,418,0.7827715355805244
CLEAN_STATIC6_PLAYER,2026-05,OOF_q0.950,0.7860709826291106,239,192,0.803347280334728
CLEAN_STATIC6_PLAYER,2026-05,OOF_q0.975,0.810735897423931,89,78,0.8764044943820225
CLEAN_STATIC6_PLAYER,2026-06,OOF_q0.900,0.7556046944581511,474,379,0.79957805907173
CLEAN_STATIC6_PLAYER,2026-06,OOF_q0.950,0.7851949378336212,213,176,0.8262910798122066
CLEAN_STATIC6_PLAYER,2026-06,OOF_q0.975,0.8077011321690455,93,78,0.8387096774193549
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-02,OOF_q0.900,0.7686535648045008,162,129,0.7962962962962963
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-02,OOF_q0.950,0.80168104896628,47,35,0.7446808510638298
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-02,OOF_q0.975,0.8283571441446612,14,10,0.7142857142857143
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-03,OOF_q0.900,0.7656989900897767,389,312,0.8020565552699229
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-03,OOF_q0.950,0.8007925603476069,138,115,0.8333333333333334
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-03,OOF_q0.975,0.8251836170085722,46,37,0.8043478260869565
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-04,OOF_q0.900,0.7629178266575373,392,319,0.8137755102040817
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-04,OOF_q0.950,0.7959801677357357,141,121,0.8581560283687943
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-04,OOF_q0.975,0.8187187557964449,48,43,0.8958333333333334
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-05,OOF_q0.900,0.7645942625646678,443,356,0.8036117381489842
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-05,OOF_q0.950,0.7951630290050228,168,139,0.8273809523809523
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-05,OOF_q0.975,0.8168863032783309,46,37,0.8043478260869565
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-06,OOF_q0.900,0.7639965267996285,479,387,0.8079331941544885
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-06,OOF_q0.950,0.7927700234019254,215,180,0.8372093023255814
CLEAN_STATIC6_PLAYER_PRIOR_EX,2026-06,OOF_q0.975,0.8130269682011946,92,75,0.8152173913043478
CLEAN_STATIC6_PRIOR_EX,2026-02,OOF_q0.900,0.7683758656798433,200,158,0.79
CLEAN_STATIC6_PRIOR_EX,2026-02,OOF_q0.950,0.7967290957504773,88,71,0.8068181818181818
CLEAN_STATIC6_PRIOR_EX,2026-02,OOF_q0.975,0.8199769545245181,33,27,0.8181818181818182
CLEAN_STATIC6_PRIOR_EX,2026-03,OOF_q0.900,0.7667022607238603,353,288,0.8158640226628895
CLEAN_STATIC6_PRIOR_EX,2026-03,OOF_q0.950,0.8004854873339527,116,96,0.8275862068965517
CLEAN_STATIC6_PRIOR_EX,2026-03,OOF_q0.975,0.8249523297267671,37,31,0.8378378378378378
CLEAN_STATIC6_PRIOR_EX,2026-04,OOF_q0.900,0.7622358160379287,414,335,0.8091787439613527
CLEAN_STATIC6_PRIOR_EX,2026-04,OOF_q0.950,0.7949374009024869,176,147,0.8352272727272727
CLEAN_STATIC6_PRIOR_EX,2026-04,OOF_q0.975,0.8175064694150347,74,64,0.8648648648648649
CLEAN_STATIC6_PRIOR_EX,2026-05,OOF_q0.900,0.7639367461824772,481,389,0.8087318087318087
CLEAN_STATIC6_PRIOR_EX,2026-05,OOF_q0.950,0.795664744554301,211,172,0.8151658767772512
CLEAN_STATIC6_PRIOR_EX,2026-05,OOF_q0.975,0.817148440342961,95,80,0.8421052631578947
CLEAN_STATIC6_PRIOR_EX,2026-06,OOF_q0.900,0.7637035611302272,463,374,0.8077753779697624
CLEAN_STATIC6_PRIOR_EX,2026-06,OOF_q0.950,0.7945466199447629,204,166,0.8137254901960784
CLEAN_STATIC6_PRIOR_EX,2026-06,OOF_q0.975,0.8155737389751192,84,66,0.7857142857142857
