variant,selector,R,heads,head_rate,months_with_bets,worst_month,min_month_R
CLEAN_STATIC6,OOF_q0.900,1807,1439,0.7963475373547316,5,0.7630331753554502,211
CLEAN_STATIC6,OOF_q0.950,709,587,0.8279266572637518,5,0.8153846153846154,68
CLEAN_STATIC6,OOF_q0.975,284,247,0.8697183098591549,5,0.8282828282828283,27
CLEAN_STATIC6_PLAYER,OOF_q0.900,1984,1581,0.796875,5,0.7827715355805244,171
CLEAN_STATIC6_PLAYER,OOF_q0.950,810,657,0.8111111111111111,5,0.7891156462585034,42
CLEAN_STATIC6_PLAYER,OOF_q0.975,293,258,0.8805460750853242,5,0.8387096774193549,6
CLEAN_STATIC6_PLAYER_PRIOR_EX,OOF_q0.900,1865,1503,0.8058981233243968,5,0.7962962962962963,162
CLEAN_STATIC6_PLAYER_PRIOR_EX,OOF_q0.950,709,590,0.8321579689703809,5,0.7446808510638298,47
CLEAN_STATIC6_PLAYER_PRIOR_EX,OOF_q0.975,246,202,0.8211382113821138,5,0.7142857142857143,14
CLEAN_STATIC6_PRIOR_EX,OOF_q0.900,1911,1544,0.8079539508110937,5,0.79,200
CLEAN_STATIC6_PRIOR_EX,OOF_q0.950,795,652,0.820125786163522,5,0.8068181818181818,88
CLEAN_STATIC6_PRIOR_EX,OOF_q0.975,323,268,0.8297213622291022,5,0.7857142857142857,33
