date,month,races,coherent_self_slot_ge4,all6_self_result_slot
2026-02-02,2026-02,132,132,132
2026-02-05,2026-02,120,120,120
2026-02-04,2026-02,132,132,132
2026-02-01,2026-02,167,167,167
2026-02-08,2026-02,156,144,144
2026-02-03,2026-02,132,132,132
2026-02-07,2026-02,144,144,144
2026-02-06,2026-02,144,144,144
2026-02-09,2026-02,144,144,144
2026-02-13,2026-02,128,128,128
2026-02-14,2026-02,154,154,154
2026-02-12,2026-02,127,127,127
2026-02-19,2026-02,131,131,131
2026-02-18,2026-02,121,121,121
2026-02-16,2026-02,129,129,129
2026-02-15,2026-02,153,153,153
2026-02-17,2026-02,132,132,132
2026-02-11,2026-02,157,157,157
2026-02-21,2026-02,143,143,143
2026-02-20,2026-02,129,129,129
2026-02-22,2026-02,172,172,172
2026-02-25,2026-02,175,175,175
2026-02-26,2026-02,175,175,175
2026-02-27,2026-02,154,154,154
2026-02-24,2026-02,164,164,164
2026-02-23,2026-02,173,162,162
2026-02-28,2026-02,144,139,139
2026-03-01,2026-03,145,145,145
2026-03-03,2026-03,154,154,154
2026-03-02,2026-03,168,161,161
2026-03-07,2026-03,120,114,114
2026-03-05,2026-03,141,141,141
2026-03-06,2026-03,130,130,130
2026-03-08,2026-03,132,125,125
2026-03-09,2026-03,132,132,132
2026-03-12,2026-03,170,170,170
2026-03-10,2026-03,133,127,127
2026-03-11,2026-03,155,155,154
2026-03-13,2026-03,154,154,154
2026-03-14,2026-03,152,152,152
2026-03-04,2026-03,143,138,138
2026-02-10,2026-02,168,168,168
2026-03-16,2026-03,130,130,130
2026-03-17,2026-03,117,117,117
2026-03-19,2026-03,180,180,180
2026-03-15,2026-03,152,152,152
2026-03-20,2026-03,192,192,191
2026-03-22,2026-03,169,169,169
2026-03-18,2026-03,132,132,132
2026-03-21,2026-03,180,180,180
2026-03-24,2026-03,142,142,142
2026-03-23,2026-03,156,156,156
2026-03-25,2026-03,131,131,131
2026-03-27,2026-03,131,131,131
2026-03-28,2026-03,167,167,167
2026-03-26,2026-03,97,97,97
2026-03-30,2026-03,168,164,164
2026-04-02,2026-04,120,108,108
2026-03-31,2026-03,156,153,153
2026-04-03,2026-04,121,121,121
2026-03-29,2026-03,178,178,178
2026-04-01,2026-04,97,97,97
2026-04-04,2026-04,113,101,101
2026-04-05,2026-04,137,137,137
2026-04-07,2026-04,127,127,127
2026-04-06,2026-04,138,138,138
2026-04-08,2026-04,120,120,120
2026-04-09,2026-04,120,114,114
2026-04-10,2026-04,120,120,120
2026-04-15,2026-04,131,131,131
2026-04-13,2026-04,131,131,131
2026-04-12,2026-04,130,130,130
2026-04-11,2026-04,108,108,108
2026-04-14,2026-04,142,142,142
2026-04-17,2026-04,144,144,144
2026-04-20,2026-04,155,155,155
2026-04-16,2026-04,133,128,128
2026-04-19,2026-04,167,167,167
2026-04-18,2026-04,166,166,166
2026-04-21,2026-04,154,154,154
2026-04-22,2026-04,142,142,142
2026-04-24,2026-04,154,154,154
2026-04-23,2026-04,143,143,143
2026-04-25,2026-04,182,182,182
2026-04-27,2026-04,190,190,190
2026-04-26,2026-04,179,179,179
2026-04-29,2026-04,155,15,15
2026-04-30,2026-04,161,161,161
2026-05-02,2026-05,174,174,174
2026-05-01,2026-05,176,168,168
2026-05-03,2026-05,199,195,195
2026-05-05,2026-05,204,204,204
2026-05-04,2026-05,210,180,180
2026-05-06,2026-05,207,27,27
2026-05-09,2026-05,130,0,0
2026-05-10,2026-05,129,1,1
2026-05-11,2026-05,142,1,1
2026-05-08,2026-05,132,0,0
2026-05-13,2026-05,166,0,0
2026-05-12,2026-05,167,167,167
2026-05-14,2026-05,168,0,0
2026-05-15,2026-05,156,149,149
2026-05-16,2026-05,144,0,0
2026-05-20,2026-05,144,0,0
2026-05-19,2026-05,132,0,0
2026-05-17,2026-05,120,0,0
2026-05-22,2026-05,132,0,0
2026-05-23,2026-05,156,0,0
2026-05-24,2026-05,144,0,0
2026-05-25,2026-05,144,0,0
2026-05-26,2026-05,132,0,0
2026-05-30,2026-05,180,81,81
2026-05-28,2026-05,144,0,0
2026-05-29,2026-05,168,0,0
2026-05-27,2026-05,144,0,0
2026-06-01,2026-06,144,0,0
2026-06-03,2026-06,108,0,0
2026-04-28,2026-04,164,159,159
2026-06-05,2026-06,132,0,0
2026-05-31,2026-05,192,0,0
2026-06-06,2026-06,132,0,0
2026-06-02,2026-06,144,0,0
2026-06-04,2026-06,144,0,0
2026-06-07,2026-06,156,0,0
2026-05-18,2026-05,120,0,0
2026-06-08,2026-06,144,0,0
2026-05-21,2026-05,132,0,0
2026-06-10,2026-06,144,0,0
2026-06-11,2026-06,144,0,0
2026-05-07,2026-05,144,0,0
2026-06-12,2026-06,144,0,0
2026-06-13,2026-06,156,0,0
2026-06-14,2026-06,144,0,0
2026-06-17,2026-06,0,0,0
2026-06-09,2026-06,144,0,0
2026-06-18,2026-06,156,0,0
2026-06-16,2026-06,144,0,0
2026-06-15,2026-06,132,0,0
2026-06-21,2026-06,192,0,0
2026-06-19,2026-06,144,0,0
2026-06-22,2026-06,168,0,0
2026-06-20,2026-06,168,0,0
2026-06-27,2026-06,168,0,0
2026-06-24,2026-06,180,0,0
2026-06-25,2026-06,192,0,0
2026-06-23,2026-06,144,0,0
2026-06-28,2026-06,192,0,0
2026-06-29,2026-06,180,0,0
2026-06-30,2026-06,168,0,0
2026-06-26,2026-06,180,0,0
