rule,head_q,guard_q,conf_cut,month,R,heads,head_rate,hit5,trifecta5_rate,head_wilson_lo,tri5_wilson_lo,avg_top5_mass
HGB_q0.950,0.95,,0.0,2026-02,65,53,0.8153846153846154,29,0.4461538461538462,0.7044600616636223,0.33169527476665517,0.6956481886253879
HGB_q0.950,0.95,,0.0,2026-03,139,121,0.8705035971223022,70,0.5035971223021583,0.8045854090649949,0.4215067720228692,0.6708921833842245
HGB_q0.950,0.95,,0.0,2026-04,162,138,0.8518518518518519,79,0.4876543209876543,0.7890239989405776,0.41186525068453234,0.6069124617609162
HGB_q0.950,0.95,,0.0,2026-05,222,190,0.8558558558558559,114,0.5135135135135135,0.803596341986906,0.4480967614544488,0.5893022957633997
HGB_q0.950,0.95,,0.0,2026-06,210,163,0.7761904761904762,81,0.38571428571428573,0.7151459113177603,0.3224940856009437,0.6024024707962973
HGB_q0.950,0.95,,0.45,2026-02,65,53,0.8153846153846154,29,0.4461538461538462,0.7044600616636223,0.33169527476665517,0.6956481886253879
HGB_q0.950,0.95,,0.45,2026-03,139,121,0.8705035971223022,70,0.5035971223021583,0.8045854090649949,0.4215067720228692,0.6708921833842245
HGB_q0.950,0.95,,0.45,2026-04,162,138,0.8518518518518519,79,0.4876543209876543,0.7890239989405776,0.41186525068453234,0.6069124617609162
HGB_q0.950,0.95,,0.45,2026-05,220,188,0.8545454545454545,114,0.5181818181818182,0.8018759890455022,0.45241138258715186,0.590936073691846
HGB_q0.950,0.95,,0.45,2026-06,208,162,0.7788461538461539,81,0.3894230769230769,0.7176737443973231,0.3257341890551967,0.603944046703585
HGB_q0.950,0.95,,0.5,2026-02,63,51,0.8095238095238095,29,0.4603174603174603,0.6959321285012545,0.3430886457604498,0.7021567628821471
HGB_q0.950,0.95,,0.5,2026-03,138,121,0.8768115942028986,70,0.5072463768115942,0.8115661883561323,0.4247743233744895,0.672407565014882
HGB_q0.950,0.95,,0.5,2026-04,156,133,0.8525641025641025,78,0.5,0.7884789138447561,0.4224872084146511,0.6117077692380821
HGB_q0.950,0.95,,0.5,2026-05,198,170,0.8585858585858586,102,0.5151515151515151,0.8032084179566921,0.4459158585881442,0.603350964227355
HGB_q0.950,0.95,,0.5,2026-06,196,154,0.7857142857142857,79,0.4030612244897959,0.7230678650101168,0.33689178294561417,0.6115383890924049
HGB_q0.950,0.95,,0.55,2026-02,62,50,0.8064516129032258,29,0.46774193548387094,0.6914820382117386,0.34908832973334164,0.7046499557366421
HGB_q0.950,0.95,,0.55,2026-03,136,119,0.875,69,0.5073529411764706,0.8089254333305298,0.42428913921204614,0.6744519655089527
HGB_q0.950,0.95,,0.55,2026-04,130,115,0.8846153846153846,71,0.5461538461538461,0.8183363179804783,0.46047273824046614,0.6287981710800328
HGB_q0.950,0.95,,0.55,2026-05,153,132,0.8627450980392157,81,0.5294117647058824,0.7992779748182122,0.45057297400727353,0.6262086285308932
HGB_q0.950,0.95,,0.55,2026-06,159,128,0.8050314465408805,70,0.44025157232704404,0.7365625888926903,0.36540282334136087,0.6305818177910261
HGB_q0.950,0.95,,0.6,2026-02,59,48,0.8135593220338984,28,0.4745762711864407,0.6962104955303725,0.35265876715068556,0.7114782951437983
HGB_q0.950,0.95,,0.6,2026-03,122,110,0.9016393442622951,63,0.5163934426229508,0.8359226807162072,0.4285798342234588,0.6861861290870525
HGB_q0.950,0.95,,0.6,2026-04,86,76,0.8837209302325582,49,0.5697674418604651,0.7990278882092989,0.46436203379906343,0.6543196962478854
HGB_q0.950,0.95,,0.6,2026-05,100,84,0.84,53,0.53,0.7557973061072976,0.4328885697009936,0.6504951135930281
HGB_q0.950,0.95,,0.6,2026-06,101,82,0.8118811881188119,52,0.5148514851485149,0.7247785721409385,0.41863926595785556,0.6600290964541994
HGB_q0.950,0.95,,0.65,2026-02,47,38,0.8085106382978723,21,0.44680851063829785,0.6745599542033822,0.31410966265495277,0.7346764504167302
HGB_q0.950,0.95,,0.65,2026-03,85,78,0.9176470588235294,49,0.5764705882352941,0.839640154666247,0.47036350207487576,0.712507250941504
HGB_q0.950,0.95,,0.65,2026-04,37,33,0.8918918918918919,20,0.5405405405405406,0.7529146845587398,0.3838404689217949,0.6966812010918394
HGB_q0.950,0.95,,0.65,2026-05,42,34,0.8095238095238095,20,0.47619047619047616,0.6669922598996131,0.3335960123070547,0.6862578499575513
HGB_q0.950,0.95,,0.65,2026-06,54,43,0.7962962962962963,28,0.5185185185185185,0.6709769331166456,0.3885170019812708,0.6923990499529934
HGB_q0.950,0.95,,0.7,2026-02,32,27,0.84375,17,0.53125,0.682458504024696,0.3644951711897464,0.7617023565567109
HGB_q0.950,0.95,,0.7,2026-03,48,43,0.8958333333333334,28,0.5833333333333334,0.7783257830561368,0.4428133228397628,0.7432306236335856
HGB_q0.950,0.95,,0.7,2026-04,14,12,0.8571428571428571,8,0.5714285714285714,0.6005862050302965,0.3259064457965074,0.7351070946023055
HGB_q0.950,0.95,,0.7,2026-05,10,6,0.6,4,0.4,0.31267376973365824,0.16818032970623614,0.7351730113501486
HGB_q0.950,0.95,,0.7,2026-06,20,15,0.75,10,0.5,0.531299122381256,0.29929800819821234,0.7262718024904911
HGB_q0.950,0.95,,0.75,2026-02,18,13,0.7222222222222222,9,0.5,0.4912734343970254,0.29031021505169974,0.7900640642143439
HGB_q0.950,0.95,,0.75,2026-03,17,15,0.8823529411764706,9,0.5294117647058824,0.6566364940511412,0.30963235060004424,0.7835714320595485
HGB_q0.950,0.95,,0.75,2026-04,4,3,0.75,2,0.5,0.30064184258240184,0.15003898915214947,0.7741737677641947
HGB_q0.950,0.95,,0.75,2026-05,3,2,0.6666666666666666,1,0.3333333333333333,0.2076596008020477,0.06149194472039621,0.7785035434133526
HGB_q0.950,0.95,,0.75,2026-06,2,2,1.0,1,0.5,0.34238022750665303,0.09453120573423074,0.7662449076535216
HGB_q0.975,0.975,,0.0,2026-02,14,12,0.8571428571428571,3,0.21428571428571427,0.6005862050302965,0.07571386712693184,0.6963457909184181
HGB_q0.975,0.975,,0.0,2026-03,47,40,0.851063829787234,26,0.5531914893617021,0.7231437757640644,0.41245459838218734,0.6753047900949795
HGB_q0.975,0.975,,0.0,2026-04,69,63,0.9130434782608695,40,0.5797101449275363,0.8229850166105782,0.46207405427966053,0.5947350283059765
HGB_q0.975,0.975,,0.0,2026-05,87,74,0.8505747126436781,41,0.47126436781609193,0.7609539966071731,0.36982264609147514,0.5941994066765888
HGB_q0.975,0.975,,0.0,2026-06,97,77,0.7938144329896907,30,0.30927835051546393,0.7028707214143316,0.22604158272349342,0.5980790656135608
