rule,head_q,guard_q,conf_cut,month,R,heads,head_rate,hit5,trifecta5_rate,head_wilson_lo,tri5_wilson_lo,avg_top5_mass
HGB_q0.950,0.95,,0.0,2026-02,66,57,0.8636363636363636,29,0.4393939393939394,0.7607040702832047,0.3262812091954944,0.41648340200909073
HGB_q0.950,0.95,,0.0,2026-03,93,79,0.8494623655913979,47,0.5053763440860215,0.7630419028021121,0.40558509572190393,0.42438911321551925
HGB_q0.950,0.95,,0.0,2026-04,168,138,0.8214285714285714,94,0.5595238095238095,0.756530966267392,0.4839554939660739,0.4128043676766411
HGB_q0.950,0.95,,0.0,2026-05,281,228,0.8113879003558719,137,0.4875444839857651,0.761564454129429,0.4296649631024977,0.41834269490229886
HGB_q0.950,0.95,,0.0,2026-06,233,185,0.7939914163090128,102,0.43776824034334766,0.737495341027351,0.3755867236458807,0.4126402799317437
HGB_q0.950,0.95,,0.45,2026-02,18,16,0.8888888888888888,9,0.5,0.672002348698212,0.29031021505169974,0.48560694299225393
HGB_q0.950,0.95,,0.45,2026-03,29,26,0.896551724137931,18,0.6206896551724138,0.736149189092262,0.4400254420598852,0.48738411367869255
HGB_q0.950,0.95,,0.45,2026-04,37,29,0.7837837837837838,22,0.5945945945945946,0.6280485160803084,0.43485964730229365,0.47884387698748826
HGB_q0.950,0.95,,0.45,2026-05,69,55,0.7971014492753623,41,0.5942028985507246,0.6877595975522071,0.476358878348368,0.48472738542997684
HGB_q0.950,0.95,,0.45,2026-06,51,40,0.7843137254901961,30,0.5882352941176471,0.6537364041400255,0.4516533720637157,0.47510716774323836
HGB_q0.950,0.95,,0.5,2026-02,5,5,1.0,3,0.6,0.5655175352168251,0.2307242812760128,0.515900767117743
HGB_q0.950,0.95,,0.5,2026-03,10,8,0.8,6,0.6,0.49016247153664183,0.31267376973365824,0.5253887421705473
HGB_q0.950,0.95,,0.5,2026-04,8,7,0.875,5,0.625,0.5291118177871464,0.30574239460262737,0.5148418129878547
HGB_q0.950,0.95,,0.5,2026-05,21,15,0.7142857142857143,10,0.47619047619047616,0.5004361928391441,0.2834400610153417,0.5221899348165583
HGB_q0.950,0.95,,0.5,2026-06,7,5,0.7142857142857143,5,0.7142857142857143,0.35893445183261935,0.35893445183261935,0.5165132679922987
HGB_q0.950,0.95,,0.55,2026-02,0,0,,0,,,,
HGB_q0.950,0.95,,0.55,2026-03,1,1,1.0,1,1.0,0.20654931437723745,0.20654931437723745,0.5792356211838698
HGB_q0.950,0.95,,0.55,2026-04,0,0,,0,,,,
HGB_q0.950,0.95,,0.55,2026-05,4,4,1.0,3,0.75,0.5101091635454027,0.30064184258240184,0.5551817100572117
HGB_q0.950,0.95,,0.55,2026-06,0,0,,0,,,,
HGB_q0.950,0.95,,0.6,2026-02,0,0,,0,,,,
HGB_q0.950,0.95,,0.6,2026-03,0,0,,0,,,,
HGB_q0.950,0.95,,0.6,2026-04,0,0,,0,,,,
HGB_q0.950,0.95,,0.6,2026-05,0,0,,0,,,,
HGB_q0.950,0.95,,0.6,2026-06,0,0,,0,,,,
HGB_q0.950,0.95,,0.65,2026-02,0,0,,0,,,,
HGB_q0.950,0.95,,0.65,2026-03,0,0,,0,,,,
HGB_q0.950,0.95,,0.65,2026-04,0,0,,0,,,,
HGB_q0.950,0.95,,0.65,2026-05,0,0,,0,,,,
HGB_q0.950,0.95,,0.65,2026-06,0,0,,0,,,,
