rule,head_q,guard_q,conf_cut,R,heads,head_rate,hit5,trifecta5_rate,months,worst_head_month,worst_tri5_month,min_month_R,head_wilson_lo,head_wilson_hi,tri5_wilson_lo,tri5_wilson_hi
HGB_q0.950,0.95,,0.0,841,687,0.816884661117717,409,0.4863258026159334,5,0.7939914163090128,0.43776824034334766,66,0.7893242900855011,0.8415633095169255,0.45268496369047184,0.5200909935499487
HGB_q0.950,0.95,,0.45,204,166,0.8137254901960784,120,0.5882352941176471,5,0.7837837837837838,0.5,18,0.7546808622182913,0.8611731677056721,0.519675977194626,0.6535329687214888
HGB_q0.950,0.95,,0.5,51,40,0.7843137254901961,29,0.5686274509803921,5,0.7142857142857143,0.47619047619047616,5,0.6537364041400255,0.8750606159176724,0.43265302109302245,0.6949876389209046
HGB_q0.950,0.95,,0.55,5,5,1.0,4,0.8,2,1.0,0.75,1,0.5655175352168251,1.0,0.37553462976252533,0.9637758913675698
HGB_q0.950,0.95,,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.950,0.95,,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.950,0.95,,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.950,0.95,,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.975,0.975,,0.0,341,285,0.8357771260997068,161,0.47214076246334313,5,0.75,0.25,14,0.792756012951584,0.8713172709950319,0.41975959171396826,0.5251426249018147
HGB_q0.975,0.975,,0.45,75,63,0.84,46,0.6133333333333333,5,0.6,0.2,4,0.7408329231474533,0.9060348639642386,0.5001747668382223,0.715447828865675
HGB_q0.975,0.975,,0.5,21,16,0.7619047619047619,9,0.42857142857142855,4,0.5,0.0,2,0.5490882631704924,0.8937198697736354,0.24469968925375957,0.6345344563069328
HGB_q0.975,0.975,,0.55,3,3,1.0,2,0.6666666666666666,1,1.0,0.6666666666666666,3,0.4385029682449546,1.0,0.2076596008020477,0.9385080552796037
HGB_q0.975,0.975,,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.975,0.975,,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.975,0.975,,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.975,0.975,,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.985,0.985,,0.0,156,140,0.8974358974358975,71,0.4551282051282051,5,0.75,0.0,3,0.8398912623851182,0.9358774331389879,0.3789990542629741,0.5334141575326913
HGB_q0.985,0.985,,0.45,29,26,0.896551724137931,15,0.5172413793103449,5,0.5,0.0,1,0.736149189092262,0.9641851086493229,0.34431021881994717,0.6861390984731652
HGB_q0.985,0.985,,0.5,7,7,1.0,2,0.2857142857142857,4,1.0,0.0,1,0.6456695649333126,1.0,0.08221892400405678,0.6410655481673808
HGB_q0.985,0.985,,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.985,0.985,,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.985,0.985,,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.985,0.985,,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.985,0.985,,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.990,0.99,,0.0,93,84,0.9032258064516129,43,0.46236559139784944,4,0.6666666666666666,0.3333333333333333,3,0.8262133606698858,0.9482483307722633,0.3645462130759074,0.5631706957228254
HGB_q0.990,0.99,,0.45,15,13,0.8666666666666667,9,0.6,3,0.6666666666666666,0.5,2,0.6211801716767764,0.9626387408969346,0.357468301206246,0.8017550385865841
HGB_q0.990,0.99,,0.5,5,5,1.0,2,0.4,3,1.0,0.0,1,0.5655175352168251,1.0,0.11762077423264783,0.769275718723987
HGB_q0.990,0.99,,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.990,0.99,,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.990,0.99,,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.990,0.99,,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.990,0.99,,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.995,0.995,,0.0,29,27,0.9310344827586207,18,0.6206896551724138,4,0.875,0.0,1,0.7803541984972431,0.9808787338305667,0.4400254420598852,0.7731197789919015
HGB_q0.995,0.995,,0.45,5,5,1.0,5,1.0,3,1.0,1.0,1,0.5655175352168251,1.0,0.5655175352168251,1.0
HGB_q0.995,0.995,,0.5,1,1,1.0,1,1.0,1,1.0,1.0,1,0.20654931437723745,1.0,0.20654931437723745,1.0
HGB_q0.995,0.995,,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.995,0.995,,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.995,0.995,,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.995,0.995,,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.995,0.995,,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,321,270,0.8411214953271028,151,0.470404984423676,5,0.7333333333333333,0.2,14,0.7971299623081406,0.877045066935536,0.41647628232001205,0.5250336466497147
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,72,60,0.8333333333333334,44,0.6111111111111112,5,0.6,0.2,4,0.7308929306946451,0.9020062875743832,0.49562354994215396,0.7153428561475221
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,21,16,0.7619047619047619,9,0.42857142857142855,4,0.5,0.0,2,0.5490882631704924,0.8937198697736354,0.24469968925375957,0.6345344563069328
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,3,3,1.0,2,0.6666666666666666,1,1.0,0.6666666666666666,3,0.4385029682449546,1.0,0.2076596008020477,0.9385080552796037
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.0,252,213,0.8452380952380952,113,0.44841269841269843,5,0.7857142857142857,0.21428571428571427,11,0.7954338023623044,0.8846748899585422,0.3882414806509474,0.510133082565478
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.45,52,43,0.8269230769230769,29,0.5576923076923077,5,0.3333333333333333,0.0,3,0.702691358755192,0.9061752560868979,0.42339761787202884,0.6840494318059871
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.5,15,12,0.8,5,0.3333333333333333,4,0.5,0.0,2,0.5481455128483065,0.9295245065301844,0.15176324439714725,0.5828645226148023
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.55,1,1,1.0,0,0.0,1,1.0,0.0,1,0.20654931437723745,1.0,0.0,0.7934506856227626
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.0,165,141,0.8545454545454545,73,0.44242424242424244,5,0.7272727272727273,0.18181818181818182,11,0.7926916115058602,0.9002661538274244,0.36880582194311406,0.518662575139515
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.45,31,25,0.8064516129032258,17,0.5483870967741935,5,0.3333333333333333,0.0,3,0.6371974218820453,0.908129916384139,0.37772167637354503,0.7083826401947998
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.5,10,9,0.9,4,0.4,4,0.5,0.0,1,0.5958499732047615,0.9821237869049271,0.16818032970623614,0.6873262302663417
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.55,1,1,1.0,0,0.0,1,1.0,0.0,1,0.20654931437723745,1.0,0.0,0.7934506856227626
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.65,0,0,,0,,0,,,0,,,,
