strategy,alpha,R,hits,hit_rate,worst_month,min_month_R,months
TOP2XTOP2,0.2,204,102,0.5,0.4444444444444444,18,5
JOINT,0.2,204,78,0.38235294117647056,0.3333333333333333,18,5
SECOND1X3,0.2,204,86,0.4215686274509804,0.3333333333333333,18,5
SECOND3X1,0.2,204,76,0.37254901960784315,0.2777777777777778,18,5
HYBRID,0.2,204,79,0.3872549019607843,0.2777777777777778,18,5
TOP2XTOP2,0.3,204,102,0.5,0.4444444444444444,18,5
JOINT,0.3,204,89,0.4362745098039216,0.4057971014492754,18,5
SECOND1X3,0.3,204,86,0.4215686274509804,0.3333333333333333,18,5
SECOND3X1,0.3,204,76,0.37254901960784315,0.2777777777777778,18,5
HYBRID,0.3,204,91,0.44607843137254904,0.3333333333333333,18,5
TOP2XTOP2,0.4,204,102,0.5,0.4444444444444444,18,5
JOINT,0.4,204,101,0.4950980392156863,0.4444444444444444,18,5
SECOND1X3,0.4,204,86,0.4215686274509804,0.3333333333333333,18,5
SECOND3X1,0.4,204,76,0.37254901960784315,0.2777777777777778,18,5
HYBRID,0.4,204,100,0.49019607843137253,0.4444444444444444,18,5
TOP2XTOP2,0.5,204,102,0.5,0.4444444444444444,18,5
JOINT,0.5,204,97,0.47549019607843135,0.4444444444444444,18,5
SECOND1X3,0.5,204,86,0.4215686274509804,0.3333333333333333,18,5
SECOND3X1,0.5,204,76,0.37254901960784315,0.2777777777777778,18,5
HYBRID,0.5,204,102,0.5,0.4444444444444444,18,5
TOP2XTOP2,0.6,204,102,0.5,0.4444444444444444,18,5
JOINT,0.6,204,98,0.4803921568627451,0.3888888888888889,18,5
SECOND1X3,0.6,204,86,0.4215686274509804,0.3333333333333333,18,5
SECOND3X1,0.6,204,76,0.37254901960784315,0.2777777777777778,18,5
HYBRID,0.6,204,102,0.5,0.4444444444444444,18,5
TOP2XTOP2,0.7,204,102,0.5,0.4444444444444444,18,5
JOINT,0.7,204,94,0.46078431372549017,0.3333333333333333,18,5
SECOND1X3,0.7,204,86,0.4215686274509804,0.3333333333333333,18,5
SECOND3X1,0.7,204,76,0.37254901960784315,0.2777777777777778,18,5
HYBRID,0.7,204,102,0.5,0.4444444444444444,18,5
TOP2XTOP2,0.8,204,102,0.5,0.4444444444444444,18,5
JOINT,0.8,204,93,0.45588235294117646,0.3333333333333333,18,5
SECOND1X3,0.8,204,86,0.4215686274509804,0.3333333333333333,18,5
SECOND3X1,0.8,204,76,0.37254901960784315,0.2777777777777778,18,5
HYBRID,0.8,204,102,0.5,0.4444444444444444,18,5
