config,month,R,hits,hit_rate
BASE,2026-02,18,8,0.4444444444444444
BASE,2026-03,29,16,0.5517241379310345
BASE,2026-04,37,19,0.5135135135135135
BASE,2026-05,69,33,0.4782608695652174
BASE,2026-06,51,26,0.5098039215686274
AUG_s3_t0.1,2026-02,18,8,0.4444444444444444
AUG_s3_t0.1,2026-03,29,17,0.5862068965517241
AUG_s3_t0.1,2026-04,37,18,0.4864864864864865
AUG_s3_t0.1,2026-05,69,34,0.4927536231884058
AUG_s3_t0.1,2026-06,51,27,0.5294117647058824
AUG_s3_t0.3,2026-02,18,8,0.4444444444444444
AUG_s3_t0.3,2026-03,29,17,0.5862068965517241
AUG_s3_t0.3,2026-04,37,18,0.4864864864864865
AUG_s3_t0.3,2026-05,69,34,0.4927536231884058
AUG_s3_t0.3,2026-06,51,27,0.5294117647058824
AUG_s3_t1,2026-02,18,8,0.4444444444444444
AUG_s3_t1,2026-03,29,17,0.5862068965517241
AUG_s3_t1,2026-04,37,18,0.4864864864864865
AUG_s3_t1,2026-05,69,34,0.4927536231884058
AUG_s3_t1,2026-06,51,27,0.5294117647058824
AUG_s10_t0.1,2026-02,18,8,0.4444444444444444
AUG_s10_t0.1,2026-03,29,17,0.5862068965517241
AUG_s10_t0.1,2026-04,37,18,0.4864864864864865
AUG_s10_t0.1,2026-05,69,34,0.4927536231884058
AUG_s10_t0.1,2026-06,51,27,0.5294117647058824
AUG_s10_t0.3,2026-02,18,8,0.4444444444444444
AUG_s10_t0.3,2026-03,29,17,0.5862068965517241
AUG_s10_t0.3,2026-04,37,18,0.4864864864864865
AUG_s10_t0.3,2026-05,69,34,0.4927536231884058
AUG_s10_t0.3,2026-06,51,27,0.5294117647058824
AUG_s10_t1,2026-02,18,8,0.4444444444444444
AUG_s10_t1,2026-03,29,17,0.5862068965517241
AUG_s10_t1,2026-04,37,18,0.4864864864864865
AUG_s10_t1,2026-05,69,34,0.4927536231884058
AUG_s10_t1,2026-06,51,27,0.5294117647058824
AUG_s30_t0.1,2026-02,18,8,0.4444444444444444
AUG_s30_t0.1,2026-03,29,17,0.5862068965517241
AUG_s30_t0.1,2026-04,37,18,0.4864864864864865
AUG_s30_t0.1,2026-05,69,34,0.4927536231884058
AUG_s30_t0.1,2026-06,51,27,0.5294117647058824
AUG_s30_t0.3,2026-02,18,8,0.4444444444444444
AUG_s30_t0.3,2026-03,29,17,0.5862068965517241
AUG_s30_t0.3,2026-04,37,18,0.4864864864864865
AUG_s30_t0.3,2026-05,69,34,0.4927536231884058
AUG_s30_t0.3,2026-06,51,27,0.5294117647058824
AUG_s30_t1,2026-02,18,8,0.4444444444444444
AUG_s30_t1,2026-03,29,17,0.5862068965517241
AUG_s30_t1,2026-04,37,18,0.4864864864864865
AUG_s30_t1,2026-05,69,34,0.4927536231884058
AUG_s30_t1,2026-06,51,27,0.5294117647058824
