config,month,R,hits,hit_rate
BASE,2026-02,18,8,0.4444444444444444
BASE,2026-03,29,16,0.5517241379310345
BASE,2026-04,37,19,0.5135135135135135
BASE,2026-05,69,33,0.4782608695652174
BASE,2026-06,51,26,0.5098039215686274
AUG_s3_t0.1,2026-02,18,8,0.4444444444444444
AUG_s3_t0.1,2026-03,29,15,0.5172413793103449
AUG_s3_t0.1,2026-04,37,18,0.4864864864864865
AUG_s3_t0.1,2026-05,69,33,0.4782608695652174
AUG_s3_t0.1,2026-06,51,25,0.49019607843137253
AUG_s3_t0.3,2026-02,18,8,0.4444444444444444
AUG_s3_t0.3,2026-03,29,15,0.5172413793103449
AUG_s3_t0.3,2026-04,37,18,0.4864864864864865
AUG_s3_t0.3,2026-05,69,33,0.4782608695652174
AUG_s3_t0.3,2026-06,51,25,0.49019607843137253
AUG_s3_t1,2026-02,18,8,0.4444444444444444
AUG_s3_t1,2026-03,29,15,0.5172413793103449
AUG_s3_t1,2026-04,37,18,0.4864864864864865
AUG_s3_t1,2026-05,69,33,0.4782608695652174
AUG_s3_t1,2026-06,51,25,0.49019607843137253
AUG_s10_t0.1,2026-02,18,8,0.4444444444444444
AUG_s10_t0.1,2026-03,29,15,0.5172413793103449
AUG_s10_t0.1,2026-04,37,18,0.4864864864864865
AUG_s10_t0.1,2026-05,69,33,0.4782608695652174
AUG_s10_t0.1,2026-06,51,25,0.49019607843137253
AUG_s10_t0.3,2026-02,18,8,0.4444444444444444
AUG_s10_t0.3,2026-03,29,15,0.5172413793103449
AUG_s10_t0.3,2026-04,37,18,0.4864864864864865
AUG_s10_t0.3,2026-05,69,33,0.4782608695652174
AUG_s10_t0.3,2026-06,51,25,0.49019607843137253
AUG_s10_t1,2026-02,18,8,0.4444444444444444
AUG_s10_t1,2026-03,29,15,0.5172413793103449
AUG_s10_t1,2026-04,37,18,0.4864864864864865
AUG_s10_t1,2026-05,69,33,0.4782608695652174
AUG_s10_t1,2026-06,51,25,0.49019607843137253
AUG_s30_t0.1,2026-02,18,8,0.4444444444444444
AUG_s30_t0.1,2026-03,29,16,0.5517241379310345
AUG_s30_t0.1,2026-04,37,18,0.4864864864864865
AUG_s30_t0.1,2026-05,69,33,0.4782608695652174
AUG_s30_t0.1,2026-06,51,25,0.49019607843137253
AUG_s30_t0.3,2026-02,18,8,0.4444444444444444
AUG_s30_t0.3,2026-03,29,16,0.5517241379310345
AUG_s30_t0.3,2026-04,37,18,0.4864864864864865
AUG_s30_t0.3,2026-05,69,33,0.4782608695652174
AUG_s30_t0.3,2026-06,51,25,0.49019607843137253
AUG_s30_t1,2026-02,18,8,0.4444444444444444
AUG_s30_t1,2026-03,29,16,0.5517241379310345
AUG_s30_t1,2026-04,37,18,0.4864864864864865
AUG_s30_t1,2026-05,69,33,0.4782608695652174
AUG_s30_t1,2026-06,51,25,0.49019607843137253
