config,families,R,hits,hit_rate,worst_month,delta
V300,none,249,124,0.4979919678714859,0.46875,0.0
ONLY_ST_EDGE,ST_EDGE,249,124,0.4979919678714859,0.46875,0.0
ONLY_WALL,WALL,249,123,0.4939759036144578,0.46875,-0.004016064257028107
ONLY_MOTOR,MOTOR,249,124,0.4979919678714859,0.46875,0.0
ONLY_STMOTOR,STMOTOR,249,124,0.4979919678714859,0.46875,0.0
ONLY_TURN_FORM,TURN_FORM,249,122,0.4899598393574297,0.4375,-0.008032128514056214
COMBO_ST_EDGE_MOTOR,MOTOR+ST_EDGE,249,124,0.4979919678714859,0.46875,0.0
COMBO_ST_EDGE_STMOTOR,STMOTOR+ST_EDGE,249,124,0.4979919678714859,0.46875,0.0
COMBO_MOTOR_STMOTOR,MOTOR+STMOTOR,249,124,0.4979919678714859,0.46875,0.0
COMBO_ST_EDGE_MOTOR_STMOTOR,MOTOR+STMOTOR+ST_EDGE,249,124,0.4979919678714859,0.46875,0.0
