config,month,R,hits,hit_rate
V300,2026-02,20,10,0.5
V300,2026-03,28,17,0.6071428571428571
V300,2026-04,46,24,0.5217391304347826
V300,2026-05,91,43,0.4725274725274725
V300,2026-06,64,30,0.46875
ONLY_ST_EDGE,2026-02,20,10,0.5
ONLY_ST_EDGE,2026-03,28,17,0.6071428571428571
ONLY_ST_EDGE,2026-04,46,24,0.5217391304347826
ONLY_ST_EDGE,2026-05,91,43,0.4725274725274725
ONLY_ST_EDGE,2026-06,64,30,0.46875
ONLY_WALL,2026-02,20,10,0.5
ONLY_WALL,2026-03,28,16,0.5714285714285714
ONLY_WALL,2026-04,46,24,0.5217391304347826
ONLY_WALL,2026-05,91,43,0.4725274725274725
ONLY_WALL,2026-06,64,30,0.46875
ONLY_MOTOR,2026-02,20,10,0.5
ONLY_MOTOR,2026-03,28,17,0.6071428571428571
ONLY_MOTOR,2026-04,46,24,0.5217391304347826
ONLY_MOTOR,2026-05,91,43,0.4725274725274725
ONLY_MOTOR,2026-06,64,30,0.46875
ONLY_STMOTOR,2026-02,20,10,0.5
ONLY_STMOTOR,2026-03,28,17,0.6071428571428571
ONLY_STMOTOR,2026-04,46,24,0.5217391304347826
ONLY_STMOTOR,2026-05,91,43,0.4725274725274725
ONLY_STMOTOR,2026-06,64,30,0.46875
ONLY_TURN_FORM,2026-02,20,10,0.5
ONLY_TURN_FORM,2026-03,28,17,0.6071428571428571
ONLY_TURN_FORM,2026-04,46,25,0.5434782608695652
ONLY_TURN_FORM,2026-05,91,42,0.46153846153846156
ONLY_TURN_FORM,2026-06,64,28,0.4375
COMBO_ST_EDGE_MOTOR,2026-02,20,10,0.5
COMBO_ST_EDGE_MOTOR,2026-03,28,17,0.6071428571428571
COMBO_ST_EDGE_MOTOR,2026-04,46,24,0.5217391304347826
COMBO_ST_EDGE_MOTOR,2026-05,91,43,0.4725274725274725
COMBO_ST_EDGE_MOTOR,2026-06,64,30,0.46875
COMBO_ST_EDGE_STMOTOR,2026-02,20,10,0.5
COMBO_ST_EDGE_STMOTOR,2026-03,28,17,0.6071428571428571
COMBO_ST_EDGE_STMOTOR,2026-04,46,24,0.5217391304347826
COMBO_ST_EDGE_STMOTOR,2026-05,91,43,0.4725274725274725
COMBO_ST_EDGE_STMOTOR,2026-06,64,30,0.46875
COMBO_MOTOR_STMOTOR,2026-02,20,10,0.5
COMBO_MOTOR_STMOTOR,2026-03,28,17,0.6071428571428571
COMBO_MOTOR_STMOTOR,2026-04,46,24,0.5217391304347826
COMBO_MOTOR_STMOTOR,2026-05,91,43,0.4725274725274725
COMBO_MOTOR_STMOTOR,2026-06,64,30,0.46875
COMBO_ST_EDGE_MOTOR_STMOTOR,2026-02,20,10,0.5
COMBO_ST_EDGE_MOTOR_STMOTOR,2026-03,28,17,0.6071428571428571
COMBO_ST_EDGE_MOTOR_STMOTOR,2026-04,46,24,0.5217391304347826
COMBO_ST_EDGE_MOTOR_STMOTOR,2026-05,91,43,0.4725274725274725
COMBO_ST_EDGE_MOTOR_STMOTOR,2026-06,64,30,0.46875
