config,month,R,hits,head_rate
BASE,2026-02,18,16,0.8888888888888888
BASE,2026-03,29,26,0.896551724137931
BASE,2026-04,37,29,0.7837837837837838
BASE,2026-05,69,55,0.7971014492753623
BASE,2026-06,51,40,0.7843137254901961
ONLY_ST_EDGE,2026-02,18,16,0.8888888888888888
ONLY_ST_EDGE,2026-03,29,24,0.8275862068965517
ONLY_ST_EDGE,2026-04,37,32,0.8648648648648649
ONLY_ST_EDGE,2026-05,69,57,0.8260869565217391
ONLY_ST_EDGE,2026-06,51,39,0.7647058823529411
ONLY_WALL_INNER,2026-02,18,18,1.0
ONLY_WALL_INNER,2026-03,29,27,0.9310344827586207
ONLY_WALL_INNER,2026-04,37,33,0.8918918918918919
ONLY_WALL_INNER,2026-05,69,56,0.8115942028985508
ONLY_WALL_INNER,2026-06,51,41,0.803921568627451
ONLY_MOTOR,2026-02,18,16,0.8888888888888888
ONLY_MOTOR,2026-03,29,26,0.896551724137931
ONLY_MOTOR,2026-04,37,29,0.7837837837837838
ONLY_MOTOR,2026-05,69,55,0.7971014492753623
ONLY_MOTOR,2026-06,51,40,0.7843137254901961
ONLY_TURN_FORM,2026-02,18,18,1.0
ONLY_TURN_FORM,2026-03,29,29,1.0
ONLY_TURN_FORM,2026-04,37,37,1.0
ONLY_TURN_FORM,2026-05,69,61,0.8840579710144928
ONLY_TURN_FORM,2026-06,51,34,0.6666666666666666
ONLY_STMOTOR,2026-02,18,16,0.8888888888888888
ONLY_STMOTOR,2026-03,29,27,0.9310344827586207
ONLY_STMOTOR,2026-04,37,30,0.8108108108108109
ONLY_STMOTOR,2026-05,69,60,0.8695652173913043
ONLY_STMOTOR,2026-06,51,40,0.7843137254901961
