config,month,R,hits,head_rate
BASE,2026-02,18,16,0.8888888888888888
BASE,2026-03,29,26,0.896551724137931
BASE,2026-04,37,29,0.7837837837837838
BASE,2026-05,69,55,0.7971014492753623
BASE,2026-06,51,40,0.7843137254901961
TURN_FORM,2026-02,18,18,1.0
TURN_FORM,2026-03,29,29,1.0
TURN_FORM,2026-04,37,37,1.0
TURN_FORM,2026-05,69,61,0.8840579710144928
TURN_FORM,2026-06,51,34,0.6666666666666666
PLUS_TURN_FORM_WALL_INNER,2026-02,18,18,1.0
PLUS_TURN_FORM_WALL_INNER,2026-03,29,29,1.0
PLUS_TURN_FORM_WALL_INNER,2026-04,37,37,1.0
PLUS_TURN_FORM_WALL_INNER,2026-05,69,61,0.8840579710144928
PLUS_TURN_FORM_WALL_INNER,2026-06,51,34,0.6666666666666666
PLUS_TURN_FORM_STMOTOR,2026-02,18,18,1.0
PLUS_TURN_FORM_STMOTOR,2026-03,29,29,1.0
PLUS_TURN_FORM_STMOTOR,2026-04,37,37,1.0
PLUS_TURN_FORM_STMOTOR,2026-05,69,62,0.8985507246376812
PLUS_TURN_FORM_STMOTOR,2026-06,51,35,0.6862745098039216
PLUS_TURN_FORM_ST_EDGE,2026-02,18,18,1.0
PLUS_TURN_FORM_ST_EDGE,2026-03,29,29,1.0
PLUS_TURN_FORM_ST_EDGE,2026-04,37,37,1.0
PLUS_TURN_FORM_ST_EDGE,2026-05,69,62,0.8985507246376812
PLUS_TURN_FORM_ST_EDGE,2026-06,51,33,0.6470588235294118
PLUS_TURN_FORM_WALL_INNER_STMOTOR,2026-02,18,18,1.0
PLUS_TURN_FORM_WALL_INNER_STMOTOR,2026-03,29,29,1.0
PLUS_TURN_FORM_WALL_INNER_STMOTOR,2026-04,37,37,1.0
PLUS_TURN_FORM_WALL_INNER_STMOTOR,2026-05,69,61,0.8840579710144928
PLUS_TURN_FORM_WALL_INNER_STMOTOR,2026-06,51,33,0.6470588235294118
PLUS_TURN_FORM_WALL_INNER_ST_EDGE,2026-02,18,18,1.0
PLUS_TURN_FORM_WALL_INNER_ST_EDGE,2026-03,29,28,0.9655172413793104
PLUS_TURN_FORM_WALL_INNER_ST_EDGE,2026-04,37,37,1.0
PLUS_TURN_FORM_WALL_INNER_ST_EDGE,2026-05,69,61,0.8840579710144928
PLUS_TURN_FORM_WALL_INNER_ST_EDGE,2026-06,51,35,0.6862745098039216
PLUS_TURN_FORM_STMOTOR_ST_EDGE,2026-02,18,18,1.0
PLUS_TURN_FORM_STMOTOR_ST_EDGE,2026-03,29,28,0.9655172413793104
PLUS_TURN_FORM_STMOTOR_ST_EDGE,2026-04,37,37,1.0
PLUS_TURN_FORM_STMOTOR_ST_EDGE,2026-05,69,62,0.8985507246376812
PLUS_TURN_FORM_STMOTOR_ST_EDGE,2026-06,51,34,0.6666666666666666
PLUS_TURN_FORM_WALL_INNER_STMOTOR_ST_EDGE,2026-02,18,18,1.0
PLUS_TURN_FORM_WALL_INNER_STMOTOR_ST_EDGE,2026-03,29,29,1.0
PLUS_TURN_FORM_WALL_INNER_STMOTOR_ST_EDGE,2026-04,37,37,1.0
PLUS_TURN_FORM_WALL_INNER_STMOTOR_ST_EDGE,2026-05,69,62,0.8985507246376812
PLUS_TURN_FORM_WALL_INNER_STMOTOR_ST_EDGE,2026-06,51,34,0.6666666666666666
