month,config,available_features,meeting_features
2026-02,V304_FULL,114,9
2026-02,STRICT_TURN_FORM,102,0
2026-02,STRICT_TURN_FORM_STMOTOR,105,0
2026-03,V304_FULL,114,9
2026-03,STRICT_TURN_FORM,102,0
2026-03,STRICT_TURN_FORM_STMOTOR,105,0
2026-04,V304_FULL,114,9
2026-04,STRICT_TURN_FORM,102,0
2026-04,STRICT_TURN_FORM_STMOTOR,105,0
2026-05,V304_FULL,114,9
2026-05,STRICT_TURN_FORM,102,0
2026-05,STRICT_TURN_FORM_STMOTOR,105,0
2026-06,V304_FULL,114,9
2026-06,STRICT_TURN_FORM,102,0
2026-06,STRICT_TURN_FORM_STMOTOR,105,0
