config,month,R,hits,head_rate
BASE,2026-02,18,16,0.8888888888888888
BASE,2026-03,29,26,0.896551724137931
BASE,2026-04,37,29,0.7837837837837838
BASE,2026-05,69,55,0.7971014492753623
BASE,2026-06,51,40,0.7843137254901961
V304_FULL,2026-02,18,18,1.0
V304_FULL,2026-03,29,29,1.0
V304_FULL,2026-04,37,37,1.0
V304_FULL,2026-05,69,62,0.8985507246376812
V304_FULL,2026-06,51,35,0.6862745098039216
STRICT_TURN_FORM,2026-02,18,16,0.8888888888888888
STRICT_TURN_FORM,2026-03,29,24,0.8275862068965517
STRICT_TURN_FORM,2026-04,37,29,0.7837837837837838
STRICT_TURN_FORM,2026-05,69,58,0.8405797101449275
STRICT_TURN_FORM,2026-06,51,41,0.803921568627451
STRICT_TURN_FORM_STMOTOR,2026-02,18,13,0.7222222222222222
STRICT_TURN_FORM_STMOTOR,2026-03,29,24,0.8275862068965517
STRICT_TURN_FORM_STMOTOR,2026-04,37,31,0.8378378378378378
STRICT_TURN_FORM_STMOTOR,2026-05,69,59,0.855072463768116
STRICT_TURN_FORM_STMOTOR,2026-06,51,41,0.803921568627451
