config,R,hits,rate,worst_month,delta_vs_strict,feature
BASE,204,166,0.8137254901960784,0.7837837837837838,-0.009803921568627416,
STRICT_SAFE,204,168,0.8235294117647058,0.7222222222222222,0.0,
FULL_ALL9,204,181,0.8872549019607843,0.6862745098039216,0.06372549019607843,
ADD_01,204,182,0.8921568627450981,0.7647058823529411,0.06862745098039225,v303_turn_form_b1_minus_b2_meet_win
ADD_02,204,181,0.8872549019607843,0.7843137254901961,0.06372549019607843,v303_turn_form_b1_minus_b3_meet_win
ADD_03,204,175,0.8578431372549019,0.6666666666666666,0.03431372549019607,v303_turn_form_b1_minus_b4_meet_win
ADD_04,204,174,0.8529411764705882,0.6862745098039216,0.02941176470588236,v303_turn_form_b1_minus_b5_meet_win
ADD_05,204,180,0.8823529411764706,0.7647058823529411,0.05882352941176472,v303_turn_form_b1_minus_b6_meet_win
ADD_06,204,181,0.8872549019607843,0.6862745098039216,0.06372549019607843,v303_turn_form_b1_minus_maxopp_meet_win
ADD_07,204,167,0.8186274509803921,0.7931034482758621,-0.004901960784313708,v303_stmotor_b1v2_meet_st_strength_motor
ADD_08,204,169,0.8284313725490197,0.7837837837837838,0.004901960784313819,v303_stmotor_b1v3_meet_st_strength_motor
ADD_09,204,169,0.8284313725490197,0.7777777777777778,0.004901960784313819,v303_stmotor_b1v4_meet_st_strength_motor
