config,month,R,hits,rate
BASE,2026-02,18,16,0.8888888888888888
BASE,2026-03,29,26,0.896551724137931
BASE,2026-04,37,29,0.7837837837837838
BASE,2026-05,69,55,0.7971014492753623
BASE,2026-06,51,40,0.7843137254901961
STRICT_SAFE,2026-02,18,13,0.7222222222222222
STRICT_SAFE,2026-03,29,24,0.8275862068965517
STRICT_SAFE,2026-04,37,31,0.8378378378378378
STRICT_SAFE,2026-05,69,59,0.855072463768116
STRICT_SAFE,2026-06,51,41,0.803921568627451
FULL_ALL9,2026-02,18,18,1.0
FULL_ALL9,2026-03,29,29,1.0
FULL_ALL9,2026-04,37,37,1.0
FULL_ALL9,2026-05,69,62,0.8985507246376812
FULL_ALL9,2026-06,51,35,0.6862745098039216
ADD_01,2026-02,18,18,1.0
ADD_01,2026-03,29,29,1.0
ADD_01,2026-04,37,36,0.972972972972973
ADD_01,2026-05,69,60,0.8695652173913043
ADD_01,2026-06,51,39,0.7647058823529411
ADD_02,2026-02,18,18,1.0
ADD_02,2026-03,29,28,0.9655172413793104
ADD_02,2026-04,37,36,0.972972972972973
ADD_02,2026-05,69,59,0.855072463768116
ADD_02,2026-06,51,40,0.7843137254901961
ADD_03,2026-02,18,18,1.0
ADD_03,2026-03,29,28,0.9655172413793104
ADD_03,2026-04,37,36,0.972972972972973
ADD_03,2026-05,69,59,0.855072463768116
ADD_03,2026-06,51,34,0.6666666666666666
ADD_04,2026-02,18,18,1.0
ADD_04,2026-03,29,27,0.9310344827586207
ADD_04,2026-04,37,36,0.972972972972973
ADD_04,2026-05,69,58,0.8405797101449275
ADD_04,2026-06,51,35,0.6862745098039216
ADD_05,2026-02,18,18,1.0
ADD_05,2026-03,29,29,1.0
ADD_05,2026-04,37,35,0.9459459459459459
ADD_05,2026-05,69,59,0.855072463768116
ADD_05,2026-06,51,39,0.7647058823529411
ADD_06,2026-02,18,18,1.0
ADD_06,2026-03,29,29,1.0
ADD_06,2026-04,37,37,1.0
ADD_06,2026-05,69,62,0.8985507246376812
ADD_06,2026-06,51,35,0.6862745098039216
ADD_07,2026-02,18,15,0.8333333333333334
ADD_07,2026-03,29,23,0.7931034482758621
ADD_07,2026-04,37,31,0.8378378378378378
ADD_07,2026-05,69,57,0.8260869565217391
ADD_07,2026-06,51,41,0.803921568627451
ADD_08,2026-02,18,16,0.8888888888888888
ADD_08,2026-03,29,23,0.7931034482758621
ADD_08,2026-04,37,29,0.7837837837837838
ADD_08,2026-05,69,59,0.855072463768116
ADD_08,2026-06,51,42,0.8235294117647058
ADD_09,2026-02,18,14,0.7777777777777778
ADD_09,2026-03,29,25,0.8620689655172413
ADD_09,2026-04,37,31,0.8378378378378378
ADD_09,2026-05,69,57,0.8260869565217391
ADD_09,2026-06,51,42,0.8235294117647058
