config,month,R,hits,rate
BASE,2026-02,18,16,0.8888888888888888
BASE,2026-03,29,26,0.896551724137931
BASE,2026-04,37,29,0.7837837837837838
BASE,2026-05,69,55,0.7971014492753623
BASE,2026-06,51,40,0.7843137254901961
STRICT_SAFE,2026-02,18,13,0.7222222222222222
STRICT_SAFE,2026-03,29,24,0.8275862068965517
STRICT_SAFE,2026-04,37,31,0.8378378378378378
STRICT_SAFE,2026-05,69,59,0.855072463768116
STRICT_SAFE,2026-06,51,41,0.803921568627451
CAUSAL_ONLY,2026-02,18,12,0.6666666666666666
CAUSAL_ONLY,2026-03,29,24,0.8275862068965517
CAUSAL_ONLY,2026-04,37,33,0.8918918918918919
CAUSAL_ONLY,2026-05,69,55,0.7971014492753623
CAUSAL_ONLY,2026-06,51,40,0.7843137254901961
STRICT_PLUS_CAUSAL,2026-02,18,15,0.8333333333333334
STRICT_PLUS_CAUSAL,2026-03,29,27,0.9310344827586207
STRICT_PLUS_CAUSAL,2026-04,37,32,0.8648648648648649
STRICT_PLUS_CAUSAL,2026-05,69,57,0.8260869565217391
STRICT_PLUS_CAUSAL,2026-06,51,40,0.7843137254901961
