date,month,race_code,venue,race,head_hit,actual_combo,test_month,opp_mass,p_head,tickets,exact3
2026-02-01,2026-02,202602012102,21,2,0,4-1-6,2026-02,0.4427085342690462,0.8130273914889198,1-2-4|1-4-2|1-4-3,0
2026-02-01,2026-02,202602012104,21,4,1,1-2-3,2026-02,0.4195416368719031,0.8241212914102811,1-2-3|1-2-4|1-3-2,1
2026-02-02,2026-02,202602020612,06,12,1,1-3-4,2026-02,0.42653291789137016,0.8131372318074328,1-3-4|1-3-2|1-2-3,1
2026-02-02,2026-02,202602020711,07,11,1,1-2-5,2026-02,0.39445969979446205,0.8371905791090793,1-2-3|1-2-4|1-3-2,0
2026-02-02,2026-02,202602021001,10,1,1,1-3-5,2026-02,0.4943265050859008,0.8123068393877423,1-2-3|1-3-2|1-2-5,0
2026-02-02,2026-02,202602021308,13,8,1,1-2-4,2026-02,0.4211184678119484,0.8259633623838595,1-3-4|1-3-2|1-4-3,0
2026-02-04,2026-02,202602040405,04,5,1,1-5-3,2026-02,0.4361926679255102,0.8144473986060614,1-3-2|1-2-3|1-3-5,0
2026-02-04,2026-02,202602040612,06,12,1,1-5-6,2026-02,0.4829336874421797,0.8087023779472956,1-2-4|1-2-3|1-3-2,0
2026-02-05,2026-02,202602050405,04,5,0,2-1-3,2026-02,0.39726505977222104,0.8429517877073327,1-2-3|1-2-4|1-3-2,0
2026-02-06,2026-02,202602060106,01,6,0,4-2-3,2026-02,0.4155001722860187,0.8330946194397851,1-2-3|1-2-4|1-3-2,0
2026-02-07,2026-02,202602071803,18,3,1,1-2-3,2026-02,0.4189753063581929,0.8219981705108599,1-2-3|1-3-2|1-2-4,1
2026-02-09,2026-02,202602091611,16,11,1,1-2-3,2026-02,0.39999398812276643,0.809126874029763,1-2-3|1-3-2|1-3-4,1
2026-02-10,2026-02,202602102008,20,8,1,1-2-3,2026-02,0.4053936900201731,0.8254337949787476,1-2-3|1-3-2|1-2-5,1
2026-02-10,2026-02,202602102303,23,3,1,1-3-4,2026-02,0.5000828119250492,0.8327340025543195,1-3-2|1-3-4|1-2-3,1
2026-02-11,2026-02,202602110612,06,12,1,1-2-6,2026-02,0.4357357890518242,0.8632754130943513,1-2-3|1-3-2|1-3-6,0
2026-02-11,2026-02,202602111305,13,5,1,1-6-2,2026-02,0.3808789667673374,0.8138556847397821,1-3-4|1-2-4|1-3-2,0
2026-02-11,2026-02,202602111611,16,11,1,1-2-4,2026-02,0.3970414448608277,0.8280119062558076,1-4-2|1-4-3|1-2-4,1
2026-02-11,2026-02,202602112009,20,9,1,1-3-4,2026-02,0.46618471655814087,0.8509271084858343,1-2-3|1-2-6|1-3-2,0
2026-02-12,2026-02,202602121512,15,12,1,1-2-5,2026-02,0.46077706514727623,0.8198693611509094,1-2-5|1-2-4|1-4-2,1
2026-02-13,2026-02,202602130604,06,4,1,1-5-2,2026-02,0.4023802231267999,0.8444891448397321,1-3-4|1-3-5|1-4-3,0
2026-02-13,2026-02,202602132105,21,5,1,1-5-3,2026-02,0.4635094482909999,0.8302610355754546,1-2-3|1-2-5|1-3-2,0
2026-02-14,2026-02,202602140106,01,6,1,1-3-6,2026-02,0.45818020664947706,0.840235163654374,1-3-2|1-3-4|1-2-3,0
