q,conf,R,head_hits,head_rate,exact3_hits,exact3_rate,worst_head_month,worst_exact3_month
0.7,0.3,6589,4902,0.7439672180907573,2063,0.3130975868872363,0.7377675840978594,0.3015759312320917
0.7,0.325,6442,4793,0.7440235951567836,2038,0.3163613784538963,0.738404452690167,0.3048245614035088
0.7,0.35,5957,4438,0.745005875440658,1946,0.32667450058754405,0.7303465765004227,0.3096168881939015
0.7,0.375,4954,3699,0.7466693580944691,1699,0.3429551877270892,0.7290794979079498,0.3361266294227188
0.7,0.4,3608,2689,0.7452882483370288,1309,0.3628048780487805,0.7205882352941176,0.35074626865671643
0.7,0.425,2397,1768,0.7375886524822695,912,0.3804755944931164,0.699228791773779,0.3496143958868895
0.7,0.45,1448,1072,0.7403314917127072,606,0.4185082872928177,0.7094339622641509,0.40948275862068967
0.7,0.475,762,549,0.7204724409448819,322,0.4225721784776903,0.6942675159235668,0.3724137931034483
0.7,0.5,353,259,0.7337110481586402,165,0.46742209631728043,0.6551724137931034,0.3793103448275862
0.71,0.3,6371,4752,0.7458797676973787,1996,0.31329461622979127,0.74,0.3038999264164827
0.71,0.325,6227,4643,0.7456238959370484,1971,0.3165248113056046,0.7398452611218569,0.30705705705705705
0.71,0.35,5760,4301,0.7467013888888889,1882,0.3267361111111111,0.7316209034543845,0.31219903691813805
0.71,0.375,4799,3586,0.7472390081266931,1647,0.3431964992706814,0.7268041237113402,0.33872502378686964
0.71,0.4,3507,2617,0.7462218420302252,1274,0.36327345309381237,0.7206106870229008,0.3518987341772152
0.71,0.425,2332,1720,0.7375643224699828,889,0.3812178387650086,0.6933333333333334,0.344
0.71,0.45,1405,1041,0.7409252669039146,591,0.4206405693950178,0.7098039215686275,0.40540540540540543
0.71,0.475,735,530,0.7210884353741497,313,0.42585034013605444,0.6928104575163399,0.38028169014084506
0.71,0.5,340,248,0.7294117647058823,158,0.4647058823529412,0.6666666666666666,0.38596491228070173
0.72,0.3,6151,4597,0.74735815314583,1927,0.3132823931068119,0.7409579667644184,0.30158730158730157
