date,month,race_code,venue,race,head_hit,actual_combo,actual2,actual3,second_rank,third_rank_given_actual2,second_top1,second_top2,second_top3,third_top1_given_actual2,third_top2_given_actual2,third_top3_given_actual2,pred_second,third_rank_when_second_correct,tickets,exact3
2026-02-01,2026-02,202602012102,21,2,0,4-1-6,1,6,,,0,0,0,0,0,0,2,,1-2-4|1-4-2|1-4-3,0
2026-02-01,2026-02,202602012104,21,4,1,1-2-3,2,3,1.0,1.0,1,1,1,1,1,1,2,1.0,1-2-3|1-2-4|1-3-2,1
2026-02-02,2026-02,202602020612,06,12,1,1-3-4,3,4,1.0,1.0,1,1,1,1,1,1,3,1.0,1-3-4|1-3-2|1-2-3,1
2026-02-02,2026-02,202602020711,07,11,1,1-2-5,2,5,1.0,3.0,1,1,1,0,0,1,2,3.0,1-2-3|1-2-4|1-3-2,0
2026-02-02,2026-02,202602021001,10,1,1,1-3-5,3,5,2.0,2.0,0,1,1,0,1,1,2,,1-2-3|1-3-2|1-2-5,0
2026-02-02,2026-02,202602021308,13,8,1,1-2-4,2,4,3.0,2.0,0,0,1,0,1,1,3,,1-3-4|1-3-2|1-4-3,0
2026-02-04,2026-02,202602040405,04,5,1,1-5-3,5,3,4.0,1.0,0,0,0,1,1,1,3,,1-3-2|1-2-3|1-3-5,0
2026-02-04,2026-02,202602040612,06,12,1,1-5-6,5,6,4.0,4.0,0,0,0,0,0,0,2,,1-2-4|1-2-3|1-3-2,0
2026-02-05,2026-02,202602050405,04,5,0,2-1-3,1,3,,,0,0,0,0,0,0,2,,1-2-3|1-2-4|1-3-2,0
2026-02-06,2026-02,202602060106,01,6,0,4-2-3,2,3,,,0,0,0,0,0,0,2,,1-2-3|1-2-4|1-3-2,0
2026-02-07,2026-02,202602071803,18,3,1,1-2-3,2,3,1.0,1.0,1,1,1,1,1,1,2,1.0,1-2-3|1-3-2|1-2-4,1
2026-02-09,2026-02,202602091611,16,11,1,1-2-3,2,3,2.0,1.0,0,1,1,1,1,1,3,,1-2-3|1-3-2|1-3-4,1
2026-02-10,2026-02,202602102008,20,8,1,1-2-3,2,3,1.0,1.0,1,1,1,1,1,1,2,1.0,1-2-3|1-3-2|1-2-5,1
2026-02-10,2026-02,202602102303,23,3,1,1-3-4,3,4,1.0,2.0,1,1,1,0,1,1,3,2.0,1-3-2|1-3-4|1-2-3,1
2026-02-11,2026-02,202602110612,06,12,1,1-2-6,2,6,2.0,2.0,0,1,1,0,1,1,3,,1-2-3|1-3-2|1-3-6,0
2026-02-11,2026-02,202602111305,13,5,1,1-6-2,6,2,5.0,2.0,0,0,0,0,1,1,3,,1-3-4|1-2-4|1-3-2,0
2026-02-11,2026-02,202602111611,16,11,1,1-2-4,2,4,2.0,1.0,0,1,1,1,1,1,4,,1-4-2|1-4-3|1-2-4,1
2026-02-11,2026-02,202602112009,20,9,1,1-3-4,3,4,2.0,4.0,0,1,1,0,0,0,2,,1-2-3|1-2-6|1-3-2,0
2026-02-12,2026-02,202602121512,15,12,1,1-2-5,2,5,1.0,1.0,1,1,1,1,1,1,2,1.0,1-2-5|1-2-4|1-4-2,1
2026-02-13,2026-02,202602130604,06,4,1,1-5-2,5,2,4.0,3.0,0,0,0,0,0,1,3,,1-3-4|1-3-5|1-4-3,0
2026-02-13,2026-02,202602132105,21,5,1,1-5-3,5,3,3.0,2.0,0,0,1,0,1,1,2,,1-2-3|1-2-5|1-3-2,0
2026-02-14,2026-02,202602140106,01,6,1,1-3-6,3,6,1.0,4.0,1,1,1,0,0,0,3,4.0,1-3-2|1-3-4|1-2-3,0
2026-02-14,2026-02,202602140611,06,11,1,1-6-3,6,3,4.0,2.0,0,0,0,0,1,1,2,,1-2-3|1-2-6|1-3-2,0
2026-02-14,2026-02,202602141701,17,1,1,1-2-5,2,5,1.0,3.0,1,1,1,0,0,1,2,3.0,1-2-3|1-3-2|1-2-4,0
2026-02-14,2026-02,202602141904,19,4,1,1-2-3,2,3,2.0,1.0,0,1,1,1,1,1,3,,1-3-2|1-3-4|1-2-3,1
2026-02-14,2026-02,202602141908,19,8,1,1-4-3,4,3,3.0,2.0,0,0,1,0,1,1,2,,1-2-4|1-2-3|1-3-2,0
2026-02-15,2026-02,202602151804,18,4,0,2-3-1,3,1,,,0,0,0,0,0,0,3,,1-3-6|1-3-2|1-2-3,0
2026-02-16,2026-02,202602160707,07,7,1,1-3-4,3,4,2.0,1.0,0,1,1,1,1,1,4,,1-4-3|1-3-4|1-4-2,1
2026-02-16,2026-02,202602161803,18,3,1,1-2-3,2,3,1.0,1.0,1,1,1,1,1,1,2,1.0,1-2-3|1-2-4|1-3-2,1
2026-02-16,2026-02,202602161804,18,4,1,1-3-5,3,5,2.0,2.0,0,1,1,0,1,1,2,,1-2-5|1-2-3|1-3-2,0
2026-02-17,2026-02,202602171701,17,1,1,1-3-5,3,5,1.0,2.0,1,1,1,0,1,1,3,2.0,1-3-2|1-2-3|1-3-5,1
2026-02-17,2026-02,202602172312,23,12,1,1-2-3,2,3,1.0,2.0,1,1,1,0,1,1,2,2.0,1-2-5|1-2-3|1-3-2,1
2026-02-18,2026-02,202602180801,08,1,1,1-2-3,2,3,2.0,1.0,0,1,1,1,1,1,3,,1-3-2|1-2-3|1-3-5,1
2026-02-18,2026-02,202602180806,08,6,1,1-2-4,2,4,1.0,2.0,1,1,1,0,1,1,2,2.0,1-2-3|1-2-4|1-3-2,1
2026-02-18,2026-02,202602181104,11,4,0,6-1-2,1,2,,,0,0,0,0,0,0,2,,1-2-5|1-5-2|1-2-3,0
2026-02-18,2026-02,202602181605,16,5,1,1-4-2,4,2,2.0,2.0,0,1,1,0,1,1,3,,1-3-4|1-3-2|1-4-3,0
2026-02-19,2026-02,202602191312,13,12,0,6-2-4,2,4,,,0,0,0,0,0,0,2,,1-2-5|1-2-4|1-5-2,0
2026-02-19,2026-02,202602192304,23,4,1,1-3-6,3,6,4.0,2.0,0,0,0,0,1,1,2,,1-2-4|1-2-6|1-4-2,0
2026-02-19,2026-02,202602192405,24,5,1,1-3-6,3,6,1.0,1.0,1,1,1,1,1,1,3,1.0,1-3-6|1-3-2|1-2-3,1
2026-02-20,2026-02,202602201308,13,8,1,1-2-6,2,6,2.0,3.0,0,1,1,0,0,1,3,,1-3-2|1-3-6|1-2-3,0
2026-02-20,2026-02,202602201309,13,9,1,1-4-3,4,3,4.0,3.0,0,0,0,0,0,1,2,,1-2-5|1-2-3|1-5-2,0
2026-02-20,2026-02,202602201706,17,6,1,1-3-2,3,2,1.0,2.0,1,1,1,0,1,1,3,2.0,1-3-4|1-3-2|1-2-3,1
2026-02-20,2026-02,202602202410,24,10,0,2-1-5,1,5,,,0,0,0,0,0,0,2,,1-2-5|1-2-3|1-5-2,0
2026-02-21,2026-02,202602211306,13,6,1,1-3-2,3,2,3.0,2.0,0,0,1,0,1,1,4,,1-4-3|1-4-2|1-2-4,0
2026-02-21,2026-02,202602211804,18,4,0,4-1-2,1,2,,,0,0,0,0,0,0,2,,1-2-4|1-2-3|1-4-2,0
2026-02-22,2026-02,202602220604,06,4,1,1-2-3,2,3,1.0,1.0,1,1,1,1,1,1,2,1.0,1-2-3|1-2-4|1-4-2,1
2026-02-22,2026-02,202602221701,17,1,1,1-4-6,4,6,3.0,2.0,0,0,1,0,1,1,2,,1-2-6|1-2-4|1-3-2,0
2026-02-22,2026-02,202602222401,24,1,0,3-6-2,6,2,,,0,0,0,0,0,0,4,,1-6-4|1-4-6|1-4-2,0
2026-02-23,2026-02,202602231811,18,11,1,1-3-2,3,2,4.0,1.0,0,0,0,1,1,1,2,,1-2-5|1-2-4|1-5-2,0
2026-02-23,2026-02,202602232407,24,7,1,1-2-3,2,3,1.0,1.0,1,1,1,1,1,1,2,1.0,1-2-3|1-3-2|1-2-4,1
2026-02-24,2026-02,202602240405,04,5,1,1-2-4,2,4,2.0,2.0,0,1,1,0,1,1,3,,1-3-2|1-2-3|1-3-4,0
2026-02-24,2026-02,202602241112,11,12,1,1-3-2,3,2,3.0,1.0,0,0,1,1,1,1,2,,1-2-4|1-2-6|1-4-2,0
2026-02-24,2026-02,202602241210,12,10,1,1-4-3,4,3,2.0,3.0,0,1,1,0,0,1,2,,1-2-4|1-2-3|1-4-2,0
2026-02-24,2026-02,202602241701,17,1,1,1-4-2,4,2,1.0,3.0,1,1,1,0,0,1,4,3.0,1-4-3|1-3-4|1-4-5,0
2026-02-25,2026-02,202602250711,07,11,1,1-2-3,2,3,2.0,1.0,0,1,1,1,1,1,3,,1-2-3|1-3-2|1-3-4,1
2026-02-25,2026-02,202602251412,14,12,1,1-2-6,2,6,1.0,3.0,1,1,1,0,0,1,2,3.0,1-2-3|1-2-5|1-5-2,0
2026-02-26,2026-02,202602260106,01,6,1,1-3-2,3,2,2.0,1.0,0,1,1,1,1,1,2,,1-2-3|1-2-4|1-3-2,1
