outer_weight,month,n_features,n_pair_rows
1.0,2026-02,170,59600
1.0,2026-03,203,77664
1.0,2026-04,203,97744
1.0,2026-05,203,116304
1.0,2026-06,203,137128
1.5,2026-02,170,59600
1.5,2026-03,203,77664
1.5,2026-04,203,97744
1.5,2026-05,203,116304
1.5,2026-06,203,137128
2.0,2026-02,170,59600
2.0,2026-03,203,77664
2.0,2026-04,203,97744
2.0,2026-05,203,116304
2.0,2026-06,203,137128
3.0,2026-02,170,59600
3.0,2026-03,203,77664
3.0,2026-04,203,97744
3.0,2026-05,203,116304
3.0,2026-06,203,137128
4.0,2026-02,170,59600
4.0,2026-03,203,77664
4.0,2026-04,203,97744
4.0,2026-05,203,116304
4.0,2026-06,203,137128
