outer_weight,month,n_features,n_train_races
1.0,2026-02,170,7450
1.0,2026-03,203,9708
1.0,2026-04,203,12218
1.0,2026-05,203,14538
1.0,2026-06,203,17141
1.5,2026-02,170,7450
1.5,2026-03,203,9708
1.5,2026-04,203,12218
1.5,2026-05,203,14538
1.5,2026-06,203,17141
2.0,2026-02,170,7450
2.0,2026-03,203,9708
2.0,2026-04,203,12218
2.0,2026-05,203,14538
2.0,2026-06,203,17141
3.0,2026-02,170,7450
3.0,2026-03,203,9708
3.0,2026-04,203,12218
3.0,2026-05,203,14538
3.0,2026-06,203,17141
4.0,2026-02,170,7450
4.0,2026-03,203,9708
4.0,2026-04,203,12218
4.0,2026-05,203,14538
4.0,2026-06,203,17141
