R,head_hits,exact3_hits,exact3_rate,pair_top1,pair_top2,pair_top3,pair_top5,worst_month_pair_top3,config,mode,l2,min_features,max_features,delta_vs_factorized_exact3_pp
345,290,133,0.3855072463768116,0.21379310344827587,0.3413793103448276,0.4586206896551724,0.6068965517241379,0.36,ALL_P0.1,ALL,0.1,247,247,-1.1594202898550732
345,290,134,0.3884057971014493,0.21379310344827587,0.3413793103448276,0.46206896551724136,0.6068965517241379,0.36,ALL_P0.3,ALL,0.3,247,247,-0.8695652173913049
345,290,134,0.3884057971014493,0.21379310344827587,0.3413793103448276,0.46206896551724136,0.6068965517241379,0.36,ALL_P1,ALL,1.0,247,247,-0.8695652173913049
345,290,133,0.3855072463768116,0.21379310344827587,0.3413793103448276,0.4586206896551724,0.6068965517241379,0.36,ALL_P3,ALL,3.0,247,247,-1.1594202898550732
345,290,129,0.3739130434782609,0.2103448275862069,0.3413793103448276,0.44482758620689655,0.6103448275862069,0.3466666666666667,DROPSTART_P0.1,DROP_START,0.1,221,221,-2.3188405797101463
345,290,129,0.3739130434782609,0.20689655172413793,0.3413793103448276,0.44482758620689655,0.6103448275862069,0.3466666666666667,DROPSTART_P0.3,DROP_START,0.3,221,221,-2.3188405797101463
345,290,129,0.3739130434782609,0.20689655172413793,0.3413793103448276,0.44482758620689655,0.6103448275862069,0.3466666666666667,DROPSTART_P1,DROP_START,1.0,221,221,-2.3188405797101463
345,290,133,0.3855072463768116,0.21379310344827587,0.3413793103448276,0.4586206896551724,0.6068965517241379,0.36,COMPACT_P0.1,COMPACT,0.1,246,246,-1.1594202898550732
345,290,134,0.3884057971014493,0.21379310344827587,0.3413793103448276,0.46206896551724136,0.6068965517241379,0.36,COMPACT_P0.3,COMPACT,0.3,246,246,-0.8695652173913049
345,290,133,0.3855072463768116,0.21379310344827587,0.3413793103448276,0.4586206896551724,0.6103448275862069,0.36,COMPACT_P1,COMPACT,1.0,246,246,-1.1594202898550732
