strategy,alpha,R,head_hits,hits,hit_rate,worst_month,delta_vs_factorized_pp
TOP2XTOP2,0.2,345,290,132,0.3826086956521739,0.31746031746031744,-1.4492753623188415
JOINT,0.2,345,290,109,0.3159420289855073,0.25396825396825395,-8.115942028985506
SECOND1X3,0.2,345,290,121,0.3507246376811594,0.1875,-4.637681159420293
SECOND3X1,0.2,345,290,107,0.3101449275362319,0.2727272727272727,-8.695652173913043
HYBRID,0.2,345,290,118,0.34202898550724636,0.2698412698412698,-5.507246376811597
TOP2XTOP2,0.3,345,290,132,0.3826086956521739,0.31746031746031744,-1.4492753623188415
JOINT,0.3,345,290,119,0.34492753623188405,0.2857142857142857,-5.21739130434783
SECOND1X3,0.3,345,290,121,0.3507246376811594,0.1875,-4.637681159420293
SECOND3X1,0.3,345,290,107,0.3101449275362319,0.2727272727272727,-8.695652173913043
HYBRID,0.3,345,290,128,0.3710144927536232,0.30158730158730157,-2.608695652173915
TOP2XTOP2,0.4,345,290,133,0.3855072463768116,0.30158730158730157,-1.1594202898550732
JOINT,0.4,345,290,128,0.3710144927536232,0.2857142857142857,-2.608695652173915
SECOND1X3,0.4,345,290,121,0.3507246376811594,0.1875,-4.637681159420293
SECOND3X1,0.4,345,290,107,0.3101449275362319,0.2727272727272727,-8.695652173913043
HYBRID,0.4,345,290,131,0.37971014492753624,0.358695652173913,-1.7391304347826098
TOP2XTOP2,0.5,345,290,137,0.39710144927536234,0.3333333333333333,0.0
JOINT,0.5,345,290,134,0.3884057971014493,0.31521739130434784,-0.8695652173913049
SECOND1X3,0.5,345,290,121,0.3507246376811594,0.1875,-4.637681159420293
SECOND3X1,0.5,345,290,107,0.3101449275362319,0.2727272727272727,-8.695652173913043
HYBRID,0.5,345,290,137,0.39710144927536234,0.34782608695652173,0.0
TOP2XTOP2,0.6,345,290,137,0.39710144927536234,0.3333333333333333,0.0
JOINT,0.6,345,290,133,0.3855072463768116,0.3333333333333333,-1.1594202898550732
SECOND1X3,0.6,345,290,121,0.3507246376811594,0.1875,-4.637681159420293
SECOND3X1,0.6,345,290,107,0.3101449275362319,0.2727272727272727,-8.695652173913043
HYBRID,0.6,345,290,138,0.4,0.34782608695652173,0.2898550724637683
TOP2XTOP2,0.7,345,290,137,0.39710144927536234,0.3333333333333333,0.0
JOINT,0.7,345,290,131,0.37971014492753624,0.25,-1.7391304347826098
SECOND1X3,0.7,345,290,121,0.3507246376811594,0.1875,-4.637681159420293
SECOND3X1,0.7,345,290,107,0.3101449275362319,0.2727272727272727,-8.695652173913043
HYBRID,0.7,345,290,139,0.4028985507246377,0.34782608695652173,0.5797101449275366
TOP2XTOP2,0.8,345,290,137,0.39710144927536234,0.3333333333333333,0.0
JOINT,0.8,345,290,131,0.37971014492753624,0.25,-1.7391304347826098
SECOND1X3,0.8,345,290,121,0.3507246376811594,0.1875,-4.637681159420293
SECOND3X1,0.8,345,290,107,0.3101449275362319,0.2727272727272727,-8.695652173913043
HYBRID,0.8,345,290,138,0.4,0.34782608695652173,0.2898550724637683
