period,date,race_code,model,target,prior1,prior2,has2
train,2026-06-01,202606010102,4カドまくり,0,0.4568131868131868,0.5549230769230769,1
train,2026-06-01,202606010103,4カドまくり,0,0.23527472527472523,0.31632967032967035,1
train,2026-06-01,202606010105,3まくり,0,0.7826373626373626,0.8386373626373627,1
train,2026-06-01,202606010105,3まくり差し,0,0.8726373626373627,0.8966373626373626,1
train,2026-06-01,202606010107,3まくり差し,0,0.6631868131868132,0.5678021978021978,1
train,2026-06-01,202606010109,3まくり差し,0,0.36681318681318675,0.4729230769230769,1
train,2026-06-01,202606010110,3まくり,0,0.6494505494505494,0.5896703296703296,1
train,2026-06-01,202606010110,3まくり差し,0,0.5294505494505494,0.5176703296703297,1
train,2026-06-01,202606010111,4カドまくり,0,0.6673626373626373,0.6235824175824176,1
train,2026-06-01,202606010506,4カドまくり,0,0.6331269674711437,0.6421259181532004,1
train,2026-06-01,202606010508,4カドまくり,0,0.7623399790136411,0.6952780692549843,1
train,2026-06-01,202606010512,3まくり,0,0.2878121720881427,0.5094994753410282,1
train,2026-06-01,202606010512,3まくり差し,0,0.39281217208814273,0.5464994753410283,1
train,2026-06-01,202606010806,3まくり,0,0.6781217208814271,0.6304365162644281,1
train,2026-06-01,202606010806,3まくり差し,0,0.698121720881427,0.6784365162644281,1
train,2026-06-01,202606010808,4カドまくり,0,0.5359391395592864,0.5024386149003147,1
train,2026-06-01,202606010903,3まくり,0,0.23218782791185727,0.19124973767051412,1
train,2026-06-01,202606010903,3まくり差し,0,0.28718782791185726,0.24024973767051416,1
train,2026-06-01,202606010911,3まくり,0,0.39109653725078697,0.40222140608604406,1
train,2026-06-01,202606010911,3まくり差し,0,0.5360965372507871,0.5572214060860441,1
train,2026-06-01,202606010912,3まくり,0,0.7857817418677859,0.8120944386149003,1
train,2026-06-01,202606010912,3まくり差し,0,0.8757817418677859,0.8740944386149003,1
train,2026-06-01,202606011104,3まくり,0,0.9299999999999999,0.7259391395592864,1
train,2026-06-01,202606011104,3まくり差し,0,0.97,0.7359391395592865,1
train,2026-06-01,202606011107,3まくり,1,0.6656243441762854,0.6543126967471143,1
train,2026-06-01,202606011107,3まくり差し,0,0.5956243441762854,0.6563126967471145,1
train,2026-06-01,202606011111,4カドまくり,0,0.5068730325288562,0.573748163693599,1
