date,race_code,model,target,history_score,cutoff
2026-08-27,202608270909,3まくり,0,0.8558,0.5253
2026-08-28,202608280903,3まくり,0,0.9442,0.5253
2026-08-28,202608281007,3まくり,0,0.6595,0.5253
2026-08-28,202608281103,3まくり,0,0.5716,0.5253
2026-08-28,202608281404,3まくり,0,0.7162,0.5253
2026-08-29,202608290512,3まくり,0,0.5402,0.5253
2026-08-29,202608291110,3まくり,0,0.5391,0.5253
2026-08-29,202608291309,3まくり,0,0.5900,0.5253
2026-08-29,202608291707,3まくり,0,0.7483,0.5253
2026-08-31,202608310403,3まくり,0,0.5639,0.5253
2026-08-31,202608310506,3まくり,0,0.7908,0.5253
2026-09-01,202609010507,3まくり,0,0.5475,0.5253
2026-09-02,202609020506,3まくり,0,0.6794,0.5253
2026-08-28,202608280704,3まくり差し,0,0.6075,0.5430
2026-09-01,202609010602,3まくり差し,0,0.6902,0.5430
2026-08-28,202608280912,4カドまくり,0,0.8107,0.5885
2026-08-28,202608281304,4カドまくり,0,0.8192,0.5885
2026-08-28,202608281306,4カドまくり,0,0.9832,0.5885
2026-08-28,202608281307,4カドまくり,0,0.5943,0.5885
2026-08-29,202608290408,4カドまくり,0,0.8601,0.5885
2026-08-30,202608300511,4カドまくり,0,0.6824,0.5885
2026-08-31,202608310705,4カドまくり,0,0.7818,0.5885
2026-08-31,202608310804,4カドまくり,1,0.6414,0.5885
2026-09-01,202609010802,4カドまくり,0,0.6750,0.5885
2026-09-01,202609010804,4カドまくり,0,0.6050,0.5885
2026-09-02,202609020608,4カドまくり,0,0.7052,0.5885
2026-09-02,202609021204,4カドまくり,0,0.7231,0.5885
2026-09-02,202609021803,4カドまくり,0,0.8165,0.5885
2026-08-28,202608281001,5頭展開,0,0.5348,0.5000
2026-08-28,202608281106,5頭展開,0,0.6822,0.5000
2026-08-29,202608290409,5頭展開,0,0.5275,0.5000
2026-08-29,202608290711,5頭展開,0,0.8131,0.5000
2026-08-30,202608300703,5頭展開,0,0.9355,0.5000
2026-08-30,202608300710,5頭展開,0,0.7063,0.5000
2026-08-31,202608310804,5頭展開,0,0.5140,0.5000
2026-08-31,202608312109,5頭展開,1,0.6887,0.5000
2026-09-01,202609010702,5頭展開,0,0.7165,0.5000
2026-09-01,202609010804,5頭展開,0,0.5020,0.5000
2026-09-01,202609010806,5頭展開,0,0.5500,0.5000
2026-09-01,202609010812,5頭展開,0,0.5500,0.5000
2026-09-01,202609011907,5頭展開,0,0.8009,0.5000
2026-09-02,202609020510,5頭展開,0,0.5941,0.5000
2026-09-02,202609020804,5頭展開,0,0.5060,0.5000
2026-09-02,202609021603,5頭展開,1,0.6207,0.5000
2026-09-02,202609021803,5頭展開,0,0.5858,0.5000
