date,race_code,model,target,history_pct,history_adjust,band,winner,trifecta_payout,head_hit,payout_missing
2026-08-20,202608201105,3まくり,0,0.1989,-1.205,低,1,450,0,0
2026-08-20,202608201301,3まくり,0,0.9436,1.774,高,3,1610,1,0
2026-08-20,202608201608,3まくり,1,0.3343,-0.663,中,3,6850,1,0
2026-08-20,202608201609,3まくり,0,0.2863,-0.855,低,3,13640,1,0
2026-08-20,202608201902,3まくり,0,0.0733,-1.707,低,1,1290,0,0
2026-08-20,202608202307,3まくり,0,0.5726,0.291,中,3,1540,1,0
2026-08-21,202608210605,3まくり,1,0.5726,0.291,中,3,1180,1,0
2026-08-21,202608210707,3まくり,0,0.5726,0.291,中,1,430,0,0
2026-08-21,202608211301,3まくり,0,0.7701,1.08,高,3,2150,1,0
2026-08-21,202608212303,3まくり,0,0.1763,-1.295,低,1,2440,0,0
2026-08-21,202608212310,3まくり,1,0.8068,1.227,高,3,1630,1,0
2026-08-22,202608220406,3まくり,1,0.7574,1.03,高,3,15490,1,0
2026-08-22,202608220407,3まくり,0,0.9845,1.938,高,1,10150,0,0
2026-08-22,202608222202,3まくり,0,0.5726,0.291,中,3,5190,1,0
2026-08-22,202608222406,3まくり,0,0.9351,1.74,高,1,620,0,0
2026-08-23,202608230303,3まくり,0,0.7024,0.81,高,3,1780,1,0
2026-08-23,202608231610,3まくり,0,0.0339,-1.865,低,4,4660,0,0
2026-08-23,202608231811,3まくり,1,0.5726,0.291,中,3,8530,1,0
2026-08-23,202608232101,3まくり,1,0.8322,1.329,高,3,2360,1,0
2026-08-23,202608232112,3まくり,0,0.2849,-0.86,低,3,4750,1,0
2026-08-23,202608232207,3まくり,0,0.9182,1.673,高,1,1780,0,0
2026-08-24,202608240711,3まくり,0,0.6164,0.465,中,1,720,0,0
2026-08-24,202608241504,3まくり,0,0.5726,0.291,中,1,810,0,0
2026-08-24,202608241803,3まくり,1,0.3018,-0.793,中,3,7410,1,0
2026-08-24,202608241810,3まくり,0,0.3004,-0.798,中,3,3590,1,0
2026-08-24,202608242111,3まくり,0,0.1396,-1.441,低,1,3010,0,0
2026-08-25,202608251009,3まくり,0,0.2172,-1.131,低,4,2610,0,0
2026-08-25,202608251301,3まくり,0,0.0945,-1.622,低,3,1140,1,0
2026-08-25,202608251304,3まくり,0,0.6093,0.437,中,6,18670,0,0
2026-08-25,202608251810,3まくり,0,0.1551,-1.379,低,4,8910,0,0
2026-08-26,202608260606,3まくり,0,0.8984,1.594,高,1,1290,0,0
2026-08-26,202608260904,3まくり,0,0.6671,0.669,中,3,4720,1,0
2026-08-26,202608261102,3まくり,0,0.5726,0.291,中,5,5740,0,0
2026-08-26,202608261106,3まくり,0,0.3597,-0.561,中,4,4510,0,0
2026-08-26,202608261301,3まくり,0,1.0,2.0,高,2,7690,0,0
2026-08-26,202608261806,3まくり,1,0.1622,-1.351,低,3,10940,1,0
2026-08-20,202608201301,3まくり差し,1,0.9878,1.951,高,3,1610,1,0
2026-08-20,202608202402,3まくり差し,0,0.1656,-1.338,低,3,350,1,0
2026-08-21,202608212409,3まくり差し,0,0.619,0.476,中,3,1700,1,0
2026-08-26,202608260904,3まくり差し,0,0.6482,0.593,中,3,4720,1,0
2026-08-20,202608200408,4カドまくり,1,0.5116,0.047,中,4,1820,1,0
2026-08-20,202608201106,4カドまくり,0,0.2859,-0.856,低,1,1050,0,0
2026-08-20,202608201307,4カドまくり,0,0.8536,1.415,高,1,420,0,0
2026-08-20,202608201604,4カドまくり,0,0.9631,1.852,高,5,5360,0,0
2026-08-20,202608202005,4カドまくり,0,0.9781,1.912,高,2,1740,0,0
2026-08-20,202608202311,4カドまくり,0,0.5116,0.047,中,5,95740,0,0
2026-08-21,202608210205,4カドまくり,0,0.1806,-1.278,低,6,11990,0,0
2026-08-21,202608210608,4カドまくり,0,0.5116,0.047,中,5,25850,0,0
2026-08-21,202608210706,4カドまくり,1,0.5116,0.047,中,4,1770,1,0
2026-08-21,202608211601,4カドまくり,0,0.1642,-1.343,低,1,13840,0,0
2026-08-21,202608212106,4カドまくり,0,0.7989,1.196,高,3,14490,0,0
2026-08-22,202608220306,4カドまくり,0,0.1669,-1.332,低,1,10010,0,0
