actual_combo,approved_A,approved_S,date,ex_score,head_boat,head_hit,history_adjust,history_pct,kimarite,method_hit,model,orig_avg,orig_lap,orig_straight,orig_turn,preview_comp,preview_grade,race,race_code,return_20pt,route_count,st_score,tilt,tilt_bonus,trifecta_payout,v50_grade,v50_score,venue,winner
2-3-5,1,0,2026-08-03,0.5,3,0,0.674,0.6685,まくり,0,3まくり,0.3333333333333333,0.6,0.4,0.0,0.6027666666666667,A,02,202608030102,0,2,1.0,0.0,-0.21,1580,A,60.74066666666667,01,2
1-3-4,1,1,2026-08-03,0.8,3,0,0.291,0.5726,逃げ,0,3まくり,0.7333333333333334,0.4,0.8,1.0,0.7426666666666668,S,11,202608030411,0,1,0.6,0.0,-0.21,610,S,74.34766666666668,04,1
1-6-3,0,0,2026-08-03,0.0,3,0,-1.272,0.1819,逃げ,0,3まくり,0.1333333333333333,0.19999999999999996,0.19999999999999996,0.0,0.24246666666666666,B,11,202608030611,0,1,0.6,0.0,-0.21,5730,B,22.764666666666667,06,1
1-4-5,1,1,2026-08-03,1.0,3,0,1.938,0.9845,逃げ,0,3まくり,0.7,1.0,0.5,0.4,0.68815,S,01,202608031301,0,1,0.6,0.0,-0.21,2910,S,70.543,13,1
3-4-5,1,0,2026-08-03,1.0,3,1,0.291,0.5726,まくり,1,3まくり,0.7333333333333334,0.4,0.8,1.0,0.5843166666666668,A,07,202608031907,870,1,0.0,0.0,-0.21,870,A,58.512666666666675,19,3
5-4-6,0,0,2026-08-03,0.19999999999999996,4,0,0.047,0.5116,まくり差し,0,4カドまくり,0.7333333333333333,1.0,1.0,0.19999999999999996,0.44906666666666667,B,07,202608031707,0,1,0.0,0.0,-0.04,9050,B,44.913666666666664,17,5
1-3-2,0,0,2026-08-03,0.0,4,0,0.047,0.5116,逃げ,0,4カドまくり,0.39999999999999997,0.4,0.19999999999999996,0.6,0.29125,B,10,202608031910,0,1,0.6,0.0,-0.04,3950,B,29.132,19,1
5-1-6,0,0,2026-08-03,0.0,4,0,0.643,0.6607,まくり差し,0,4カドまくり,0.26666666666666666,0.4,0.4,0.0,0.3715833333333334,B,10,202608032110,0,1,0.8,-0.5,-1.19,38460,B,36.61133333333334,21,5
1-6-3,0,0,2026-08-03,0.19999999999999996,5,0,0.0,0.5,逃げ,0,5頭展開,0.6666666666666666,0.4,1.0,0.6,0.4132766666666667,B,11,202608030611,0,1,0.4,-0.5,0,5730,B,41.327666666666666,06,1
4-5-6,1,0,2026-08-03,1.0,5,0,0.0,0.5,まくり,0,5頭展開,0.5,0.8,0.5,0.19999999999999996,0.62755,A,04,202608031304,0,1,0.0,0.0,0,7090,A,62.755,13,4
