actual_combo,approved_A,approved_S,date,ex_head,head_boat,head_hit,history_adjust,history_pct,hit_20,hit_4,hit_6,hit_8,invest_20,invest_4,invest_6,invest_8,kimarite,method_hit,model,orig_straight_head,orig_turn_head,pair_weight,payout,period,preview_comp,prior1,prior2,race_code,return_20,return_4,return_6,return_8,st_head,tickets_20,tickets_4,tickets_6,tickets_8,tilt,v53_score,winner
3-5-6,0,0,2026-07-16,0.0,3,1,1.387,0.8467,1,0,0,0,2000,400,600,800,まくり,0,3まくり差し,0.6,0.6,,2410,validation,0.41845,0.74,0.633054945054945,202607160102,2410,0,0,0,0.0,3-1-5;3-1-4;3-2-5;3-1-2;3-1-6;3-4-5;3-2-4;3-6-5;3-5-4;3-6-4;3-5-2;3-4-2;3-2-6;3-6-2;3-5-1;3-5-6;3-4-1;3-2-1;3-4-6;3-6-1,3-1-5;3-1-4;3-2-5;3-1-2,3-1-5;3-1-4;3-2-5;3-1-2;3-1-6;3-4-5,3-1-5;3-1-4;3-2-5;3-1-2;3-1-6;3-4-5;3-2-4;3-6-5,-0.5,43.002,3
2-4-6,1,1,2026-07-16,0.19999999999999996,3,0,1.097,0.7742,0,0,0,0,2000,400,600,800,まくり,0,3まくり差し,0.0,1.0,,8080,validation,0.68445,0.6652747252747253,0.669054945054945,202607160103,0,0,0,0,0.6,3-1-4;3-1-5;3-1-6;3-1-2;3-2-4;3-2-5;3-6-4;3-6-5;3-4-5;3-2-6;3-6-2;3-5-4;3-4-2;3-6-1;3-2-1;3-4-6;3-5-2;3-4-1;3-5-6;3-5-1,3-1-4;3-1-5;3-1-6;3-1-2,3-1-4;3-1-5;3-1-6;3-1-2;3-2-4;3-2-5,3-1-4;3-1-5;3-1-6;3-1-2;3-2-4;3-2-5;3-6-4;3-6-5,0,69.49199999999999,2
3-4-1,1,1,2026-07-16,0.8,3,1,0.337,0.5842,1,0,0,0,2000,400,600,800,まくり,0,3まくり差し,0.0,0.8,,2040,validation,0.7664500000000001,0.5347252747252748,0.5501098901098901,202607160107,2040,0,0,0,0.6,3-1-4;3-1-5;3-1-2;3-2-4;3-2-5;3-4-5;3-5-4;3-1-6;3-4-2;3-2-1;3-4-1;3-6-4;3-5-2;3-6-5;3-5-1;3-2-6;3-6-2;3-6-1;3-4-6;3-5-6,3-1-4;3-1-5;3-1-2;3-2-4,3-1-4;3-1-5;3-1-2;3-2-4;3-2-5;3-4-5,3-1-4;3-1-5;3-1-2;3-2-4;3-2-5;3-4-5;3-5-4;3-1-6,-0.5,76.75200000000001,3
5-2-6,1,0,2026-07-16,0.4,3,0,0.516,0.6291,0,0,0,0,2000,400,600,800,,0,3まくり,0.5,0.5,0.0,39410,validation,0.5735,0.5349999999999999,0.521,202607160303,0,0,0,0,0.8,3-5-4;3-4-1;3-1-4;3-4-6;3-4-5;3-5-1;3-5-6;3-1-6;3-1-5;3-4-2;3-2-4;3-5-2;3-6-4;3-1-2;3-2-1;3-2-6;3-2-5;3-6-1;3-6-5;3-6-2,3-5-4;3-4-1;3-1-4;3-4-6,3-5-4;3-4-1;3-1-4;3-4-6;3-4-5;3-5-1,3-5-4;3-4-1;3-1-4;3-4-6;3-4-5;3-5-1;3-5-6;3-1-6,0.5,57.966,0
2-3-1,1,0,2026-07-16,0.8,3,0,-1.233,0.1918,0,0,0,0,2000,400,600,800,抜き,0,3まくり,1.0,0.4,0.0,8220,validation,0.5890333333333334,0.3671878279118572,0.4977502623294858,202607160505,0,0,0,0,0.0,3-5-4;3-5-6;3-4-6;3-4-5;3-5-1;3-4-1;3-5-2;3-1-4;3-4-2;3-2-4;3-1-6;3-6-4;3-1-5;3-2-6;3-2-5;3-6-5;3-2-1;3-6-1;3-1-2;3-6-2,3-5-4;3-5-6;3-4-6;3-4-5,3-5-4;3-5-6;3-4-6;3-4-5;3-5-1;3-4-1,3-5-4;3-5-6;3-4-6;3-4-5;3-5-1;3-4-1;3-5-2;3-1-4,0,57.460333333333345,2
1-3-6,0,0,2026-07-16,0.0,3,0,-0.871,0.2822,0,0,0,0,2000,400,600,800,逃げ,0,3まくり差し,0.19999999999999996,0.4,,2090,validation,0.22650000000000003,0.463903462749213,0.5394039874081846,202607160512,0,0,0,0,0.0,3-1-5;3-1-4;3-1-2;3-2-5;3-1-6;3-2-4;3-4-5;3-5-4;3-6-5;3-6-4;3-4-2;3-2-1;3-5-2;3-2-6;3-4-1;3-6-2;3-5-1;3-6-1;3-4-6;3-5-6,3-1-5;3-1-4;3-1-2;3-2-5,3-1-5;3-1-4;3-1-2;3-2-5;3-1-6;3-2-4,3-1-5;3-1-4;3-1-2;3-2-5;3-1-6;3-2-4;3-4-5;3-5-4,0,21.729000000000003,1
3-2-5,0,0,2026-07-16,0.19999999999999996,3,1,-1.898,0.0254,1,0,0,0,2000,400,600,800,まくり差し,0,3まくり,0.6,0.19999999999999996,0.0,13460,validation,0.32636666666666664,0.12984260230849945,0.10028121720881425,202607160703,13460,0,0,0,0.19999999999999996,3-4-6;3-5-4;3-4-1;3-4-5;3-5-6;3-1-4;3-5-1;3-4-2;3-1-6;3-2-4;3-6-4;3-1-5;3-5-2;3-2-6;3-2-1;3-6-1;3-2-5;3-1-2;3-6-5;3-6-2,3-4-6;3-5-4;3-4-1;3-4-5,3-4-6;3-5-4;3-4-1;3-4-5;3-5-6;3-1-4,3-4-6;3-5-4;3-4-1;3-4-5;3-5-6;3-1-4;3-5-1;3-4-2,-0.5,30.688666666666663,3
5-4-1,0,0,2026-07-16,0.0,3,0,1.74,0.9351,0,0,0,0,2000,400,600,800,まくり差し,0,3まくり,0.19999999999999996,0.0,0.0,14550,validation,0.09236666666666665,0.8321878279118573,0.7577492130115424,202607160706,0,0,0,0,0.0,3-4-1;3-1-4;3-4-6;3-5-4;3-4-5;3-4-2;3-2-4;3-5-1;3-1-6;3-2-1;3-1-5;3-1-2;3-5-6;3-5-2;3-6-4;3-2-6;3-2-5;3-6-1;3-6-5;3-6-2,3-4-1;3-1-4;3-4-6;3-5-4,3-4-1;3-1-4;3-4-6;3-5-4;3-4-5;3-4-2,3-4-1;3-1-4;3-4-6;3-5-4;3-4-5;3-4-2;3-2-4;3-5-1,-0.5,10.926666666666664,5
1-3-6,1,1,2026-07-16,0.6,3,0,0.291,0.5726,0,0,0,0,2000,400,600,800,逃げ,0,3まくり,0.8,0.19999999999999996,0.0,9020,validation,0.6999666666666667,0.5,0.5,202607161106,0,0,0,0,1.0,3-5-4;3-4-5;3-5-1;3-5-6;3-5-2;3-4-1;3-4-6;3-2-4;3-4-2;3-1-4;3-2-5;3-1-5;3-2-1;3-2-6;3-1-6;3-1-2;3-6-4;3-6-5;3-6-1;3-6-2,3-5-4;3-4-5;3-5-1;3-5-6,3-5-4;3-4-5;3-5-1;3-5-6;3-5-2;3-4-1,3-5-4;3-4-5;3-5-1;3-5-6;3-5-2;3-4-1;3-4-6;3-2-4,0,70.07766666666667,1
1-5-3,0,0,2026-07-16,0.6,3,0,-1.424,0.1439,0,0,0,0,2000,400,600,800,逃げ,0,3まくり差し,0.5,0.6,,1670,validation,0.5558000000000001,0.3405494505494505,0.47243956043956037,202607161211,0,0,0,0,0.4,3-1-4;3-1-5;3-1-2;3-2-4;3-4-5;3-2-5;3-5-4;3-1-6;3-4-1;3-5-1;3-2-1;3-4-2;3-6-4;3-6-5;3-5-2;3-6-1;3-4-6;3-2-6;3-6-2;3-5-6,3-1-4;3-1-5;3-1-2;3-2-4,3-1-4;3-1-5;3-1-2;3-2-4;3-4-5;3-2-5,3-1-4;3-1-5;3-1-2;3-2-4;3-4-5;3-2-5;3-5-4;3-1-6,0,54.10600000000001,1
