actual_combo,attack4,date,gap423,gap43,guard1,head_hit,history_adjust,history_pct,hit_20,hit_4,hit_6,hit_8,innerweak,invest_20,invest_4,invest_6,invest_8,kimarite,method_hit,old_comp,old_score,payout,period,race_code,resist2,return_20,return_4,return_6,return_8,score_ABS,score_BREAK,score_HYBRID,score_OPPORTUNITY,score_REL23,score_REL3,st_gap_43,stbreak,straight_gap_43,stretchbreak,tickets_20,tickets_4,tickets_6,tickets_8,tilt,v54_formula,v54_score,v54_selected,v54_threshold,wall3,wallweak,winner
2-4-5,0.8973333333333334,2026-06-01,0.7043666666666668,0.7106666666666667,0.3886666666666667,0,0.14,0.5349,0,0,0,0,0.5263,2000,400,600,800,まくり,0,0.878,86.75,6190,fit,202606010102,0.5119999999999999,0,0,0,0,88.68333333333335,71.44266666666668,75.25250000000001,74.7316,79.03500000000001,80.28333333333335,0.20000000000000007,0.54,0.6,0.8,4-5-2;4-5-1;4-2-1;4-6-2;4-1-2;4-3-2;4-6-1;4-5-3;4-3-1;4-2-3;4-2-5;4-5-6;4-2-6;4-1-3;4-6-3;4-1-5;4-3-5;4-6-5;4-1-6;4-3-6,4-5-2;4-5-1;4-2-1;4-6-2,4-5-2;4-5-1;4-2-1;4-6-2;4-1-2;4-3-2,4-5-2;4-5-1;4-2-1;4-6-2;4-1-2;4-3-2;4-6-1;4-5-3,-0.5,BREAK,71.44266666666668,1,54.39633333333334,0.47600000000000003,0.5114000000000001,2
3-5-4,0.5313333333333333,2026-06-01,0.5784666666666667,0.5616666666666666,0.44333333333333336,0,-1.71,0.0725,0,0,0,0,0.6154999999999999,2000,400,600,800,まくり,0,0.532,50.300000000000004,4470,fit,202606010103,0.31199999999999994,0,0,0,0,50.233333333333334,57.70666666666666,55.915000000000006,53.499,52.589999999999996,51.598333333333336,0.19999999999999996,0.63,0.4,0.7,4-5-1;4-5-2;4-5-6;4-6-1;4-5-3;4-6-5;4-6-2;4-1-5;4-2-1;4-2-5;4-3-1;4-1-6;4-3-5;4-6-3;4-1-2;4-2-6;4-3-6;4-3-2;4-1-3;4-2-3,4-5-1;4-5-2;4-5-6;4-6-1,4-5-1;4-5-2;4-5-6;4-6-1;4-5-3;4-6-5,4-5-1;4-5-2;4-5-6;4-6-1;4-5-3;4-6-5;4-6-2;4-1-5,-0.5,BREAK,57.70666666666666,1,54.39633333333334,0.40800000000000003,0.6255999999999999,3
3-1-5,0.7333333333333334,2026-06-01,0.6331166666666667,0.6236666666666666,0.484,0,0.988,0.7469,0,0,0,0,0.5305,2000,400,600,800,まくり差し,0,0.716,71.398,6530,fit,202606010111,0.43199999999999994,0,0,0,0,73.13133333333334,64.91366666666667,65.65925000000001,65.66250000000001,68.12049999999999,68.19633333333334,0.8,0.81,-0.4,0.3,4-5-1;4-5-2;4-6-1;4-2-1;4-3-1;4-5-3;4-1-2;4-5-6;4-6-2;4-1-5;4-1-3;4-3-2;4-1-6;4-2-5;4-2-3;4-6-5;4-3-5;4-6-3;4-2-6;4-3-6,4-5-1;4-5-2;4-6-1;4-2-1,4-5-1;4-5-2;4-6-1;4-2-1;4-3-1;4-5-3,4-5-1;4-5-2;4-6-1;4-2-1;4-3-1;4-5-3;4-1-2;4-5-6,-0.5,BREAK,64.91366666666667,1,54.39633333333334,0.4860000000000001,0.5328999999999999,3
2-5-4,0.664,2026-06-01,0.6667000000000001,0.743,0.43566666666666665,0,0.966,0.7415,0,0,0,0,0.65255,2000,400,600,800,まくり,0,0.65935,66.86099999999999,1280,fit,202606010506,0.6140000000000001,0,0,0,0,67.326,74.77199999999999,72.3535,67.15509999999999,67.461,70.88099999999999,0.8,0.81,0.6,0.8,4-5-2;4-5-1;4-5-6;4-6-2;4-6-1;4-2-1;4-2-5;4-6-5;4-1-2;4-5-3;4-2-6;4-1-5;4-1-6;4-3-2;4-3-1;4-3-5;4-2-3;4-6-3;4-3-6;4-1-3,4-5-2;4-5-1;4-5-6;4-6-2,4-5-2;4-5-1;4-5-6;4-6-2;4-6-1;4-2-1,4-5-2;4-5-1;4-5-6;4-6-2;4-6-1;4-2-1;4-2-5;4-6-5,0,BREAK,74.77199999999999,1,54.39633333333334,0.178,0.6694,2
2-1-4,0.642,2026-06-01,0.64795,0.6699999999999999,0.47000000000000003,0,1.491,0.8728,0,0,0,0,0.635,2000,400,600,800,まくり,0,0.65135,66.586,1810,fit,202606010508,0.428,0,0,0,0,65.651,69.66599999999998,69.12975,65.67549999999999,65.9485,66.911,0.19999999999999996,0.54,1.0,1.0,4-5-1;4-5-2;4-6-1;4-2-1;4-6-2;4-1-2;4-5-6;4-3-1;4-1-6;4-5-3;4-2-6;4-1-5;4-3-2;4-2-5;4-6-5;4-1-3;4-2-3;4-6-3;4-3-6;4-3-5,4-5-1;4-5-2;4-6-1;4-2-1,4-5-1;4-5-2;4-6-1;4-2-1;4-6-2;4-1-2,4-5-1;4-5-2;4-6-1;4-2-1;4-6-2;4-1-2;4-5-6;4-3-1,0,BREAK,69.66599999999998,1,54.39633333333334,0.30200000000000005,0.6538999999999999,2
1-5-3,0.286,2026-06-01,0.3103999999999999,0.21099999999999997,0.5493333333333333,0,0.15,0.5376,0,0,0,0,0.3535999999999999,2000,400,600,800,抜き,0,0.30949999999999994,31.059999999999995,4750,fit,202606010808,0.296,0,0,0,0,28.709999999999997,26.405999999999995,27.609999999999996,30.92919999999999,29.92999999999999,25.334999999999997,-0.8,0.19,-0.4,0.3,4-5-1;4-5-2;4-5-3;4-3-1;4-6-1;4-5-6;4-2-1;4-3-2;4-3-5;4-6-2;4-1-3;4-6-3;4-1-2;4-2-3;4-1-5;4-6-5;4-3-6;4-2-5;4-1-6;4-2-6,4-5-1;4-5-2;4-5-3;4-3-1,4-5-1;4-5-2;4-5-3;4-3-1;4-6-1;4-5-6,4-5-1;4-5-2;4-5-3;4-3-1;4-6-1;4-5-6;4-2-1;4-3-2,0,BREAK,26.405999999999995,0,54.39633333333334,0.8640000000000001,0.3347999999999999,1
2-1-5,0.7606666666666667,2026-06-01,0.6866833333333333,0.7073333333333334,0.596,0,0.369,0.5923,0,0,0,0,0.5811,2000,400,600,800,差し,0,0.7431,74.639,17790,fit,202606011111,0.464,0,0,0,0,76.39566666666667,70.80133333333333,71.82275,70.22569999999999,72.6965,73.99566666666668,0.4,0.67,0.4,0.7,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-2;4-6-2;4-1-5;4-1-6;4-6-5;4-3-1;4-5-3;4-2-5;4-2-6;4-1-3;4-3-2;4-6-3;4-3-5;4-3-6;4-2-3,4-5-1;4-6-1;4-5-2;4-2-1,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-2,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-2;4-6-2;4-1-5,0,BREAK,70.80133333333333,1,54.39633333333334,0.346,0.6127,2
6-5-2,0.128,2026-06-01,0.24417499999999998,0.22649999999999998,0.277,0,-1.601,0.0999,0,0,0,0,0.4149999999999999,2000,400,600,800,まくり差し,0,0.15615,12.824000000000003,9560,fit,202606011203,0.574,0,0,0,0,10.009000000000002,16.6365,16.533375,19.808249999999997,15.817750000000002,14.441500000000003,-1.0,0.030000000000000027,0.0,0.5,4-5-1;4-5-2;4-5-6;4-6-1;4-6-2;4-2-1;4-6-5;4-5-3;4-2-6;4-1-2;4-2-5;4-1-6;4-1-5;4-3-1;4-6-3;4-3-2;4-3-6;4-3-5;4-2-3;4-1-3,4-5-1;4-5-2;4-5-6;4-6-1,4-5-1;4-5-2;4-5-6;4-6-1;4-6-2;4-2-1,4-5-1;4-5-2;4-5-6;4-6-1;4-6-2;4-2-1;4-6-5;4-5-3,-0.5,BREAK,16.6365,0,54.39633333333334,0.675,0.36034999999999995,6
1-5-6,0.838,2026-06-01,0.7193,0.741,0.24933333333333332,0,1.48,0.87,0,0,0,0,0.6228,2000,400,600,800,逃げ,0,0.81155,81.44500000000001,12090,fit,202606012010,0.4799999999999999,0,0,0,0,84.09,70.46000000000001,73.9925,75.7946,78.15500000000002,79.72500000000002,0.19999999999999996,0.51,0.6,0.8,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-6-2;4-1-2;4-1-6;4-3-1;4-1-5;4-5-3;4-6-5;4-2-6;4-2-5;4-1-3;4-3-2;4-6-3;4-2-3;4-3-6;4-3-5,4-5-1;4-6-1;4-5-2;4-2-1,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-6-2,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-6-2;4-1-2;4-1-6,-0.5,BREAK,70.46000000000001,1,54.39633333333334,0.35600000000000004,0.6006,1
2-1-5,0.42000000000000004,2026-06-01,0.51785,0.619,0.562,0,-0.971,0.2572,0,0,0,0,0.5876,2000,400,600,800,差し,0,0.4019,38.029,3850,fit,202606012310,0.76,0,0,0,0,39.83900000000001,52.51600000000001,49.68525000000001,46.46170000000001,44.73150000000001,48.79400000000001,0.4,0.5800000000000001,0.4,0.7,4-5-2;4-5-1;4-6-2;4-6-1;4-2-1;4-1-2;4-5-6;4-2-6;4-2-5;4-1-6;4-6-5;4-3-2;4-1-5;4-3-1;4-5-3;4-2-3;4-6-3;4-3-6;4-1-3;4-3-5,4-5-2;4-5-1;4-6-2;4-6-1,4-5-2;4-5-1;4-6-2;4-6-1;4-2-1;4-1-2,4-5-2;4-5-1;4-6-2;4-6-1;4-2-1;4-1-2;4-5-6;4-2-6,-0.5,BREAK,52.51600000000001,0,54.39633333333334,0.182,0.6157,2
