actual_combo,date,direct_small,head_hit,history_pct,hit_20,hit_4,hit_6,hit_8,inside,invest_20,invest_4,invest_6,invest_8,kimarite,local4,meet,method_hit,motor4,motor_edge,nst_gap_43,past_win4,payout,period,pre_attack,pre_st,pre_wall,precore,quality,race_code,return_20,return_4,return_6,return_8,score_BLEND_DIRECT,score_CORE,score_CORE_HIST,score_MOTOR_EDGE,score_ROBUST,score_START_WALL,start_order4,tickets_20,tickets_4,tickets_6,tickets_8,v55_formula,v55_score,v55_selected,v55_threshold,waku_sr4,waku_st_gap_43,waku_wr3,winner
2-4-5,2026-06-01,0.8986666666666667,0,0.5349,0,0,0,0,1,2000,400,600,800,まくり,0.42799999999999994,0.26666666666666666,0,0.5585714285714285,0.5799357142857142,0.03,0,6190,fit,0.225,0.6666666666666667,0.8666666666666667,0.5668190476190476,0.5974999999999999,202606010102,0,0,0,0,64.61006238095239,56.681904761904754,56.298876190476186,57.453466666666664,57.486404761904765,56.68590476190477,0.5,4-5-2;4-5-1;4-2-1;4-6-2;4-1-2;4-3-2;4-6-1;4-5-3;4-3-1;4-2-3;4-2-5;4-5-6;4-2-6;4-1-3;4-6-3;4-1-5;4-3-5;4-6-5;4-1-6;4-3-6,4-5-2;4-5-1;4-2-1;4-6-2,4-5-2;4-5-1;4-2-1;4-6-2;4-1-2;4-3-2,4-5-2;4-5-1;4-2-1;4-6-2;4-1-2;4-3-2;4-6-1;4-5-3,MOTOR_EDGE,57.453466666666664,0,67.67076190476189,3.5,0.03,0,2
3-5-4,2026-06-01,0.5286666666666667,0,0.0725,0,0,0,0,1,2000,400,600,800,まくり,0.718,0.7,0,0.14057142857142854,0.2770357142857143,0.04000000000000001,0,4470,fit,0.225,0.8333333333333335,0.9333333333333333,0.6282190476190478,0.8425,202606010103,0,0,0,0,57.34210238095238,62.821904761904776,56.153276190476205,48.29133333333333,58.60440476190476,52.1252380952381,0.5,4-5-1;4-5-2;4-5-6;4-6-1;4-5-3;4-6-5;4-6-2;4-1-5;4-2-1;4-2-5;4-3-1;4-1-6;4-3-5;4-6-3;4-1-2;4-2-6;4-3-6;4-3-2;4-1-3;4-2-3,4-5-1;4-5-2;4-5-6;4-6-1,4-5-1;4-5-2;4-5-6;4-6-1;4-5-3;4-6-5,4-5-1;4-5-2;4-5-6;4-6-1;4-5-3;4-6-5;4-6-2;4-1-5,MOTOR_EDGE,48.29133333333333,0,67.67076190476189,3.5,0.04000000000000001,0,3
3-1-5,2026-06-01,0.7146666666666667,0,0.7469,0,0,0,0,1,2000,400,600,800,まくり差し,0.64,0.7666666666666667,0,0.3631428571428571,0.47899285714285716,0.03,0,6530,fit,0.225,0.6666666666666667,0.8666666666666667,0.589104761904762,0.4850000000000001,202606010111,0,0,0,0,63.002348095238105,58.9104761904762,60.804019047619065,55.430723809523805,60.61497619047619,55.874476190476194,0.5,4-5-1;4-5-2;4-6-1;4-2-1;4-3-1;4-5-3;4-1-2;4-5-6;4-6-2;4-1-5;4-1-3;4-3-2;4-1-6;4-2-5;4-2-3;4-6-5;4-3-5;4-6-3;4-2-6;4-3-6,4-5-1;4-5-2;4-6-1;4-2-1,4-5-1;4-5-2;4-6-1;4-2-1;4-3-1;4-5-3,4-5-1;4-5-2;4-6-1;4-2-1;4-3-1;4-5-3;4-1-2;4-5-6,MOTOR_EDGE,55.430723809523805,0,67.67076190476189,3.5,0.03,0,3
2-5-4,2026-06-01,0.66,0,0.7415,0,0,0,0,1,2000,400,600,800,まくり,0.548,0.6111111111111112,0,0.632,0.5501428571428572,0.09,0,1280,fit,0.225,1.0,1.0,0.706411111111111,0.5325,202606010506,0,0,0,0,72.08291666666666,70.6411111111111,71.06217777777776,70.99671428571429,73.7986111111111,72.52000000000001,0.5,4-5-2;4-5-1;4-5-6;4-6-2;4-6-1;4-2-1;4-2-5;4-6-5;4-1-2;4-5-3;4-2-6;4-1-5;4-1-6;4-3-2;4-3-1;4-3-5;4-2-3;4-6-3;4-3-6;4-1-3,4-5-2;4-5-1;4-5-6;4-6-2,4-5-2;4-5-1;4-5-6;4-6-2;4-6-1;4-2-1,4-5-2;4-5-1;4-5-6;4-6-2;4-6-1;4-2-1;4-2-5;4-6-5,MOTOR_EDGE,70.99671428571429,1,67.67076190476189,3.5,0.09,0,2
2-1-4,2026-06-01,0.682,0,0.8728,0,0,0,0,1,2000,400,600,800,まくり,0.842,0.2916666666666667,0,0.36,0.3605285714285714,0.06999999999999998,0,1810,fit,0.225,1.0,1.0,0.6713666666666669,0.8200000000000001,202606010508,0,0,0,0,67.40492,67.13666666666668,69.55386666666669,65.95434285714286,67.18066666666668,69.75300000000001,0.5,4-5-1;4-5-2;4-6-1;4-2-1;4-6-2;4-1-2;4-5-6;4-3-1;4-1-6;4-5-3;4-2-6;4-1-5;4-3-2;4-2-5;4-6-5;4-1-3;4-2-3;4-6-3;4-3-6;4-3-5,4-5-1;4-5-2;4-6-1;4-2-1,4-5-1;4-5-2;4-6-1;4-2-1;4-6-2;4-1-2,4-5-1;4-5-2;4-6-1;4-2-1;4-6-2;4-1-2;4-5-6;4-3-1,MOTOR_EDGE,65.95434285714286,0,67.67076190476189,3.5,0.06999999999999998,0,2
1-5-3,2026-06-01,0.294,0,0.5376,0,0,0,0,1,2000,400,600,800,抜き,0.6140000000000001,0.513888888888889,0,0.5297142857142857,0.3991071428571428,0.03,0,4750,fit,0.225,0.6666666666666667,0.8666666666666667,0.5917126984126986,0.5375000000000001,202606010808,0,0,0,0,52.908630476190474,59.17126984126986,58.521917460317475,54.87766666666667,59.53926984126985,56.28004761904762,0.5,4-5-1;4-5-2;4-5-3;4-3-1;4-6-1;4-5-6;4-2-1;4-3-2;4-3-5;4-6-2;4-1-3;4-6-3;4-1-2;4-2-3;4-1-5;4-6-5;4-3-6;4-2-5;4-1-6;4-2-6,4-5-1;4-5-2;4-5-3;4-3-1,4-5-1;4-5-2;4-5-3;4-3-1;4-6-1;4-5-6,4-5-1;4-5-2;4-5-3;4-3-1;4-6-1;4-5-6;4-2-1;4-3-2,MOTOR_EDGE,54.87766666666667,0,67.67076190476189,3.5,0.03,0,1
2-1-5,2026-06-01,0.7713333333333334,0,0.5923,0,0,0,0,1,2000,400,600,800,差し,0.75,0.4166666666666666,0,0.22742857142857142,0.3524928571428571,0.04000000000000001,0,17790,fit,0.225,0.8333333333333335,0.9333333333333333,0.5829142857142858,0.4475,202606011111,0,0,0,0,63.51421761904762,58.29142857142858,58.404057142857155,55.69767619047619,59.672928571428564,58.62609523809525,0.5,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-2;4-6-2;4-1-5;4-1-6;4-6-5;4-3-1;4-5-3;4-2-5;4-2-6;4-1-3;4-3-2;4-6-3;4-3-5;4-3-6;4-2-3,4-5-1;4-6-1;4-5-2;4-2-1,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-2,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-2;4-6-2;4-1-5,MOTOR_EDGE,55.69767619047619,0,67.67076190476189,3.5,0.04000000000000001,0,2
6-5-2,2026-06-01,0.142,0,0.0999,0,0,0,0,1,2000,400,600,800,まくり差し,0.9560000000000001,0.22222222222222204,0,0.5571428571428572,0.42727142857142864,0.04000000000000001,0,9560,fit,0.225,0.8333333333333335,0.9333333333333333,0.6344269841269843,0.5874999999999999,202606011203,0,0,0,0,50.089514761904766,63.44269841269843,57.02837460317461,56.61673333333334,60.21219841269841,58.647809523809535,0.5,4-5-1;4-5-2;4-5-6;4-6-1;4-6-2;4-2-1;4-6-5;4-5-3;4-2-6;4-1-2;4-2-5;4-1-6;4-1-5;4-3-1;4-6-3;4-3-2;4-3-6;4-3-5;4-2-3;4-1-3,4-5-1;4-5-2;4-5-6;4-6-1,4-5-1;4-5-2;4-5-6;4-6-1;4-6-2;4-2-1,4-5-1;4-5-2;4-5-6;4-6-1;4-6-2;4-2-1;4-6-5;4-5-3,MOTOR_EDGE,56.61673333333334,0,67.67076190476189,3.5,0.04000000000000001,0,6
1-5-6,2026-06-01,0.854,0,0.87,0,0,0,0,1,2000,400,600,800,逃げ,0.48200000000000004,0.3750000000000001,0,0.39485714285714285,0.4030285714285714,0.04000000000000001,0,12090,fit,0.225,0.8333333333333335,0.9333333333333333,0.6226619047619049,0.8500000000000001,202606012010,0,0,0,0,68.04982857142856,62.26619047619049,65.23424761904764,61.592533333333336,63.15619047619047,63.914523809523814,0.5,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-6-2;4-1-2;4-1-6;4-3-1;4-1-5;4-5-3;4-6-5;4-2-6;4-2-5;4-1-3;4-3-2;4-6-3;4-2-3;4-3-6;4-3-5,4-5-1;4-6-1;4-5-2;4-2-1,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-6-2,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-6-2;4-1-2;4-1-6,MOTOR_EDGE,61.592533333333336,0,67.67076190476189,3.5,0.04000000000000001,0,1
2-1-5,2026-06-01,0.41600000000000004,0,0.2572,0,0,0,0,1,2000,400,600,800,差し,0.6,0.5333333333333333,0,0.612,0.5495428571428571,0.03,0,3850,fit,0.225,0.6666666666666667,0.8666666666666667,0.6137,0.6425000000000001,202606012310,0,0,0,0,55.61348,61.370000000000005,57.092,55.113180952380944,59.565999999999995,54.710333333333324,0.5,4-5-2;4-5-1;4-6-2;4-6-1;4-2-1;4-1-2;4-5-6;4-2-6;4-2-5;4-1-6;4-6-5;4-3-2;4-1-5;4-3-1;4-5-3;4-2-3;4-6-3;4-3-6;4-1-3;4-3-5,4-5-2;4-5-1;4-6-2;4-6-1,4-5-2;4-5-1;4-6-2;4-6-1;4-2-1;4-1-2,4-5-2;4-5-1;4-6-2;4-6-1;4-2-1;4-1-2;4-5-6;4-2-6,MOTOR_EDGE,55.113180952380944,0,67.67076190476189,3.5,0.03,0,2
3-4-1,2026-06-01,0.916,0,0.5116,0,0,0,0,1,2000,400,600,800,抜き,0.6779999999999999,0.5,0,1.0,0.97235,0.06999999999999998,0,8680,fit,0.225,1.0,1.0,0.7878000000000002,0.9175,202606012402,0,0,0,0,80.25724000000002,78.78000000000002,75.46560000000001,79.2842,77.05800000000002,75.741,0.5,4-5-1;4-5-2;4-6-1;4-5-6;4-6-2;4-2-1;4-6-5;4-5-3;4-1-2;4-1-5;4-2-5;4-1-6;4-3-1;4-2-6;4-3-2;4-3-5;4-6-3;4-1-3;4-3-6;4-2-3,4-5-1;4-5-2;4-6-1;4-5-6,4-5-1;4-5-2;4-6-1;4-5-6;4-6-2;4-2-1,4-5-1;4-5-2;4-6-1;4-5-6;4-6-2;4-2-1;4-6-5;4-5-3,MOTOR_EDGE,79.2842,1,67.67076190476189,3.5,0.06999999999999998,0,3
1-4-3,2026-06-01,0.49,0,0.5116,0,0,0,0,1,2000,400,600,800,逃げ,0.876,0.5,0,0.14285714285714285,0.5714285714285714,0.04000000000000001,0,580,fit,0.225,0.8333333333333335,0.9333333333333333,0.6136619047619047,0.8075000000000001,202606012406,0,0,0,0,56.67066857142857,61.366190476190475,60.14144761904762,56.249333333333325,58.834190476190486,56.550523809523824,0.5,4-5-1;4-6-1;4-2-1;4-5-2;4-1-2;4-1-6;4-6-2;4-3-1;4-5-6;4-1-5;4-1-3;4-2-6;4-6-5;4-5-3;4-6-3;4-2-5;4-3-2;4-3-6;4-2-3;4-3-5,4-5-1;4-6-1;4-2-1;4-5-2,4-5-1;4-6-1;4-2-1;4-5-2;4-1-2;4-1-6,4-5-1;4-6-1;4-2-1;4-5-2;4-1-2;4-1-6;4-6-2;4-3-1,MOTOR_EDGE,56.249333333333325,0,67.67076190476189,3.5,0.04000000000000001,0,1
