actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,model,odds_pre,payout100,period,race_code,score
3-5-4,A,3-1-2,0.012422332583479002,0.04404362665605578,2026-07-19,0.5267069015395097,3,0.2820460876323179,3まくり,42.4,1980,validation,202607191904,74.046
3-5-4,A,3-1-4,0.012374065715004866,0.0438724955161796,2026-07-19,0.691710273468772,3,0.2820460876323179,3まくり,55.9,1980,validation,202607191904,74.046
3-5-4,A,3-1-5,0.04315349298409969,0.15300156561772849,2026-07-19,0.4746884228250966,3,0.2820460876323179,3まくり,11.0,1980,validation,202607191904,74.046
3-5-4,A,3-1-6,0.005444977275791963,0.01930527496942332,2026-07-19,0.7829877322588844,3,0.2820460876323179,3まくり,143.8,1980,validation,202607191904,74.046
3-5-4,A,3-2-1,0.007798909693508765,0.02765118906267408,2026-07-19,0.6137741928791398,3,0.2820460876323179,3まくり,78.7,1980,validation,202607191904,74.046
3-5-4,A,3-2-4,0.006596684882170005,0.023388677139778668,2026-07-19,0.7902828488839666,3,0.2820460876323179,3まくり,119.8,1980,validation,202607191904,74.046
3-5-4,A,3-2-5,0.013498998206158906,0.047860965984242,2026-07-19,0.5372601286051244,3,0.2820460876323179,3まくり,39.8,1980,validation,202607191904,74.046
3-5-4,A,3-2-6,0.002657811145147514,0.009423322150854653,2026-07-19,1.0580746168832253,3,0.2820460876323179,3まくり,398.1,1980,validation,202607191904,74.046
3-5-4,A,3-4-1,0.009830951552019641,0.03485583379137493,2026-07-19,0.9280418265106541,3,0.2820460876323179,3まくり,94.4,1980,validation,202607191904,74.046
3-5-4,A,3-4-2,0.006798171653890932,0.024103052486773698,2026-07-19,0.845692553744032,3,0.2820460876323179,3まくり,124.4,1980,validation,202607191904,74.046
3-5-4,A,3-4-5,0.016170083472230493,0.05733135179421529,2026-07-19,0.692079572611465,3,0.2820460876323179,3まくり,42.8,1980,validation,202607191904,74.046
3-5-4,A,3-4-6,0.0048621312568498855,0.017238782844555097,2026-07-19,1.578734019099158,3,0.2820460876323179,3まくり,324.7,1980,validation,202607191904,74.046
3-5-4,A,3-5-1,0.05869704466075571,0.20811153649922134,2026-07-19,0.48131576621819677,3,0.2820460876323179,3まくり,8.2,1980,validation,202607191904,74.046
3-5-4,A,3-5-2,0.02845743392955536,0.10089639664370441,2026-07-19,0.5008508371601744,3,0.2820460876323179,3まくり,17.6,1980,validation,202607191904,74.046
3-5-4,A,3-5-4,0.029276511301137807,0.10380045171661226,2026-07-19,0.600168481673325,3,0.2820460876323179,3まくり,20.5,1980,validation,202607191904,74.046
3-5-4,A,3-5-6,0.014856751132194316,0.052674905923750785,2026-07-19,0.6076411213067475,3,0.2820460876323179,3まくり,40.9,1980,validation,202607191904,74.046
3-5-4,A,3-6-1,0.0020923386052071357,0.0074184280405079,2026-07-19,0.989048458681413,3,0.2820460876323179,3まくり,472.7,1980,validation,202607191904,74.046
3-5-4,A,3-6-2,0.0013986804101103834,0.004959049146371202,2026-07-19,0.9263460356161068,3,0.2820460876323179,3まくり,662.3,1980,validation,202607191904,74.046
3-5-4,A,3-6-4,0.0022379627424845253,0.00793474130866863,2026-07-19,1.3306926466812987,3,0.2820460876323179,3まくり,594.6,1980,validation,202607191904,74.046
3-5-4,A,3-6-5,0.0034207544305210383,0.01212835270730795,2026-07-19,0.718358430409418,3,0.2820460876323179,3まくり,210.0,1980,validation,202607191904,74.046
3-5-6,low,3-1-2,0.017728597909567392,0.116316530011223,2026-07-19,0.5407222362418055,3,0.1524168397033235,3まくり,30.5,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-1-4,0.027163763773763835,0.17822022702109286,2026-07-19,0.581304544758546,3,0.1524168397033235,3まくり,21.4,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-1-5,0.014464818273855479,0.09490301925962363,2026-07-19,0.5453236489243516,3,0.1524168397033235,3まくり,37.7,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-1-6,0.01317823315628457,0.0864617924235652,2026-07-19,0.5692996723514935,3,0.1524168397033235,3まくり,43.2,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-2-1,0.007542127325899457,0.04948355667641492,2026-07-19,0.6373097590385041,3,0.1524168397033235,3まくり,84.5,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-2-4,0.0058160324264764605,0.03815872601608364,2026-07-19,0.7700426932654834,3,0.1524168397033235,3まくり,132.4,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-2-5,0.0037067112629858875,0.02431956514910643,2026-07-19,0.6130900428978658,3,0.1524168397033235,3まくり,165.4,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-2-6,0.0028297501027860924,0.018565862592966415,2026-07-19,0.7258309013646327,3,0.1524168397033235,3まくり,256.5,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-4-1,0.015350963505130717,0.10071697809120748,2026-07-19,0.7245654774421699,3,0.1524168397033235,3まくり,47.2,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-4-2,0.006933855332641803,0.045492711606791095,2026-07-19,0.7668843997901834,3,0.1524168397033235,3まくり,110.6,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-4-5,0.005473006030846066,0.0359081453302612,2026-07-19,0.8160251991991484,3,0.1524168397033235,3まくり,149.1,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-4-6,0.006268985207419699,0.04113052875011816,2026-07-19,0.83377503258682,3,0.1524168397033235,3まくり,133.0,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-5-1,0.006345094372612794,0.041629877544787044,2026-07-19,0.6643313808125595,3,0.1524168397033235,3まくり,104.7,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-5-2,0.0034643584411821237,0.02272949923332246,2026-07-19,0.6429849266834021,3,0.1524168397033235,3まくり,185.6,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-5-4,0.004081335107987381,0.026777455272866325,2026-07-19,0.9762553578305816,3,0.1524168397033235,3まくり,239.2,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-5-6,0.002379487326593801,0.015611708858584313,2026-07-19,0.774999022271601,3,0.1524168397033235,3まくり,325.7,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-6-1,0.003975361863245237,0.026082169601359034,2026-07-19,0.6189638421072833,3,0.1524168397033235,3まくり,155.7,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-6-2,0.0016504354934406104,0.010828432715526394,2026-07-19,0.6588538489814917,3,0.1524168397033235,3まくり,399.2,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-6-4,0.002608676353422853,0.017115407710201785,2026-07-19,0.8052983903016346,3,0.1524168397033235,3まくり,308.7,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-6-5,0.0014552464371812574,0.009547806134898657,2026-07-19,0.6548608967315659,3,0.1524168397033235,3まくり,450.0,36750,validation,202607191905,42.29500000000001
3-5-6,preA,3-1-2,0.019064033075074597,0.09719452652082003,2026-07-20,0.6538963344750586,3,0.19614307263476297,3まくり,34.3,5990,validation,202607201803,52.881
3-5-6,preA,3-1-4,0.010363030560813478,0.05283403803972432,2026-07-20,0.8280061418089969,3,0.19614307263476297,3まくり,79.9,5990,validation,202607201803,52.881
3-5-6,preA,3-1-5,0.037339761761149,0.19037002561226918,2026-07-20,0.6385099261156479,3,0.19614307263476297,3まくり,17.1,5990,validation,202607201803,52.881
3-5-6,preA,3-1-6,0.008742130775140215,0.044570173484632276,2026-07-20,0.8532319636536849,3,0.19614307263476297,3まくり,97.6,5990,validation,202607201803,52.881
3-5-6,preA,3-2-1,0.009346171219056301,0.0476497644984881,2026-07-20,0.7551706344997491,3,0.19614307263476297,3まくり,80.8,5990,validation,202607201803,52.881
