actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,model,odds_pre,payout100,period,race_code,score
3-5-4,A,3-1-2,0.009388112496550503,0.033285739133488965,2026-07-19,0.3980559698537413,3,0.2820460876323179,3まくり,42.4,1980,validation,202607191904,74.046
3-5-4,A,3-1-4,0.018927897273180505,0.06710923534544953,2026-07-19,1.0580694575707903,3,0.2820460876323179,3まくり,55.9,1980,validation,202607191904,74.046
3-5-4,A,3-1-5,0.017271095908735337,0.061235013233902236,2026-07-19,0.18998205499608872,3,0.2820460876323179,3まくり,11.0,1980,validation,202607191904,74.046
3-5-4,A,3-1-6,0.009896935276295132,0.03508978039502897,2026-07-19,1.42317929273124,3,0.2820460876323179,3まくり,143.8,1980,validation,202607191904,74.046
3-5-4,A,3-2-1,0.009483165631667874,0.03362275191007208,2026-07-19,0.7463251352122617,3,0.2820460876323179,3まくり,78.7,1980,validation,202607191904,74.046
3-5-4,A,3-2-4,0.012123203332483882,0.0429830579613924,2026-07-19,1.452359759231569,3,0.2820460876323179,3まくり,119.8,1980,validation,202607191904,74.046
3-5-4,A,3-2-5,0.011062032113472373,0.0392206543488492,2026-07-19,0.4402688781162004,3,0.2820460876323179,3まくり,39.8,1980,validation,202607191904,74.046
3-5-4,A,3-2-6,0.006338926981232364,0.02247479138762578,2026-07-19,2.5235268312286046,3,0.2820460876323179,3まくり,398.1,1980,validation,202607191904,74.046
3-5-4,A,3-4-1,0.02122241175570253,0.07524448197050894,2026-07-19,2.003395669738319,3,0.2820460876323179,3まくり,94.4,1980,validation,202607191904,74.046
3-5-4,A,3-4-2,0.013456580214403782,0.047710572152825266,2026-07-19,1.6739985786718306,3,0.2820460876323179,3まくり,124.4,1980,validation,202607191904,74.046
3-5-4,A,3-4-5,0.02475576294723277,0.08777204872809645,2026-07-19,1.0595466541415623,3,0.2820460876323179,3まくり,42.8,1980,validation,202607191904,74.046
3-5-4,A,3-4-6,0.014185908346450058,0.05029641951617195,2026-07-19,4.606164440092334,3,0.2820460876323179,3まくり,324.7,1980,validation,202607191904,74.046
3-5-4,A,3-5-1,0.026401393727864597,0.09360666531308916,2026-07-19,0.21649142856848969,3,0.2820460876323179,3まくり,8.2,1980,validation,202607191904,74.046
3-5-4,A,3-5-2,0.016740438200931806,0.05935355580168531,2026-07-19,0.2946317123363998,3,0.2820460876323179,3まくり,17.6,1980,validation,202607191904,74.046
3-5-4,A,3-5-4,0.03375133123848793,0.11966601459293057,2026-07-19,0.6919022903890026,3,0.2820460876323179,3まくり,20.5,1980,validation,202607191904,74.046
3-5-4,A,3-5-6,0.017647746917425246,0.06257043685864302,2026-07-19,0.7217928489226926,3,0.2820460876323179,3まくり,40.9,1980,validation,202607191904,74.046
3-5-4,A,3-6-1,0.004754436637235784,0.01685694943385913,2026-07-19,2.247422198421355,3,0.2820460876323179,3まくり,472.7,1980,validation,202607191904,74.046
3-5-4,A,3-6-2,0.003014664813770391,0.010688553913573092,2026-07-19,1.9966125061601299,3,0.2820460876323179,3まくり,662.3,1980,validation,202607191904,74.046
3-5-4,A,3-6-4,0.006078033889036155,0.02154978975265782,2026-07-19,3.6139989504208976,3,0.2820460876323179,3まくり,594.6,1980,validation,202607191904,74.046
3-5-4,A,3-6-5,0.005546009930158926,0.01966348825015023,2026-07-19,1.1646620853333745,3,0.2820460876323179,3まくり,210.0,1980,validation,202607191904,74.046
3-5-6,low,3-1-2,0.008332145860261037,0.05466683259198525,2026-07-19,0.25413044873796165,3,0.1524168397033235,3まくり,30.5,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-1-4,0.019460732841351587,0.12768098905102307,2026-07-19,0.41645968280492396,3,0.1524168397033235,3まくり,21.4,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-1-5,0.0072290742564494965,0.04742962962964429,2026-07-19,0.27253609946814605,3,0.1524168397033235,3まくり,37.7,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-1-6,0.008528708175386892,0.05595646906200037,2026-07-19,0.3684401931767138,3,0.1524168397033235,3まくり,43.2,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-2-1,0.007579651360056286,0.04972975016940342,2026-07-19,0.6404805399247562,3,0.1524168397033235,3まくり,84.5,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-2-4,0.008847524749491487,0.058048210202448935,2026-07-19,1.171412276832673,3,0.1524168397033235,3まくり,132.4,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-2-5,0.003286588121899656,0.021563156199124307,2026-07-19,0.5436016753622032,3,0.1524168397033235,3まくり,165.4,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-2-6,0.003877446819607292,0.025439753423274414,2026-07-19,0.9945651092292703,3,0.1524168397033235,3まくり,256.5,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-4-1,0.020964055371597866,0.1375442202607271,2026-07-19,0.9895034135394193,3,0.1524168397033235,3まくり,47.2,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-4-2,0.010477207078946418,0.06874048234657078,2026-07-19,1.1587791029314738,3,0.1524168397033235,3まくり,110.6,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-4-5,0.009090156274764144,0.05964010467910213,2026-07-19,1.3553423005673337,3,0.1524168397033235,3まくり,149.1,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-4-6,0.010724373188857288,0.07036212802818952,2026-07-19,1.4263416341180193,3,0.1524168397033235,3まくり,133.0,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-5-1,0.0071496373163417145,0.046908447454089376,2026-07-19,0.7485670270209775,3,0.1524168397033235,3まくり,104.7,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-5-2,0.003573174625562221,0.02344343730336712,2026-07-19,0.6631812105043482,3,0.1524168397033235,3まくり,185.6,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-5-4,0.008345580832328873,0.054754978836809555,2026-07-19,1.9962629350930663,3,0.1524168397033235,3まくり,239.2,36750,validation,202607191905,42.29500000000001
3-5-6,low,3-5-6,0.0036574688144216877,0.023996487668559992,2026-07-19,1.1912375928571437,3,0.1524168397033235,3まくり,325.7,36750,validation,202607191905,42.29500000000001
