date,head,head_hit,month,period,score
2026-06-01,3,0,2026-06,calibration,56.888
2026-06-01,3,0,2026-06,calibration,28.733
2026-06-01,3,0,2026-06,calibration,52.827999999999996
2026-06-01,3,0,2026-06,calibration,63.63100000000001
2026-06-01,3,0,2026-06,calibration,55.68000000000001
2026-06-01,3,0,2026-06,calibration,64.733
2026-06-01,3,0,2026-06,calibration,62.80200000000001
2026-06-01,3,0,2026-06,calibration,44.087
2026-06-01,3,1,2026-06,calibration,42.861000000000004
2026-06-01,3,1,2026-06,calibration,62.423000000000016
2026-06-01,3,0,2026-06,calibration,46.313
2026-06-01,3,1,2026-06,calibration,76.39600000000002
2026-06-01,3,0,2026-06,calibration,49.51800000000001
2026-06-01,3,0,2026-06,calibration,81.504
2026-06-01,3,0,2026-06,calibration,64.52
2026-06-01,3,0,2026-06,calibration,50.159
2026-06-01,3,0,2026-06,calibration,65.60799999999999
2026-06-01,3,0,2026-06,calibration,29.877
2026-06-01,3,1,2026-06,calibration,30.735
2026-06-01,3,0,2026-06,calibration,50.47200000000001
2026-06-01,3,0,2026-06,calibration,48.641000000000005
2026-06-02,3,0,2026-06,calibration,76.44
2026-06-02,3,0,2026-06,calibration,60.403000000000006
2026-06-02,3,0,2026-06,calibration,65.54333333333334
2026-06-02,3,0,2026-06,calibration,57.535000000000004
2026-06-02,3,0,2026-06,calibration,46.815000000000005
2026-06-02,3,0,2026-06,calibration,44.23700000000001
2026-06-02,3,0,2026-06,calibration,66.63000000000001
2026-06-02,3,0,2026-06,calibration,67.38799999999999
2026-06-02,3,0,2026-06,calibration,71.203
2026-06-02,3,0,2026-06,calibration,61.93899999999999
2026-06-02,3,0,2026-06,calibration,60.98800000000001
2026-06-02,3,0,2026-06,calibration,39.28900000000001
2026-06-02,3,1,2026-06,calibration,56.15000000000001
2026-06-02,3,0,2026-06,calibration,19.87
2026-06-02,3,0,2026-06,calibration,45.262
2026-06-02,3,0,2026-06,calibration,62.231
2026-06-02,3,0,2026-06,calibration,51.48700000000001
2026-06-03,3,0,2026-06,calibration,46.367000000000004
2026-06-03,3,0,2026-06,calibration,50.032000000000004
2026-06-03,3,0,2026-06,calibration,64.37966666666667
2026-06-03,3,1,2026-06,calibration,67.62200000000001
2026-06-03,3,0,2026-06,calibration,88.77533333333334
2026-06-03,3,0,2026-06,calibration,21.427666666666664
2026-06-03,3,0,2026-06,calibration,72.55
2026-06-03,3,0,2026-06,calibration,20.63
2026-06-03,3,0,2026-06,calibration,50.732000000000006
2026-06-03,3,0,2026-06,calibration,78.72699999999999
2026-06-03,3,0,2026-06,calibration,50.72800000000001
2026-06-03,3,0,2026-06,calibration,26.423000000000002
2026-06-03,3,0,2026-06,calibration,28.298
2026-06-03,3,1,2026-06,calibration,32.63100000000001
2026-06-03,3,0,2026-06,calibration,19.349999999999998
2026-06-03,3,0,2026-06,calibration,73.01
2026-06-04,3,0,2026-06,calibration,48.905
2026-06-04,3,0,2026-06,calibration,41.815333333333335
2026-06-04,3,0,2026-06,calibration,53.35
2026-06-04,3,1,2026-06,calibration,79.95
2026-06-04,3,1,2026-06,calibration,62.53000000000001
2026-06-04,3,0,2026-06,calibration,38.96666666666667
2026-06-04,3,1,2026-06,calibration,87.492
2026-06-04,3,0,2026-06,calibration,85.801
2026-06-04,3,0,2026-06,calibration,69.715
2026-06-04,3,0,2026-06,calibration,64.636
2026-06-04,3,0,2026-06,calibration,46.62600000000001
2026-06-04,3,1,2026-06,calibration,61.272000000000006
2026-06-04,3,0,2026-06,calibration,56.696
2026-06-04,3,0,2026-06,calibration,70.78
2026-06-04,3,0,2026-06,calibration,80.822
2026-06-04,3,0,2026-06,calibration,30.447999999999993
2026-06-04,3,1,2026-06,calibration,79.71500000000002
2026-06-04,3,0,2026-06,calibration,48.66400000000001
2026-06-04,3,0,2026-06,calibration,52.54400000000002
2026-06-04,3,1,2026-06,calibration,28.582000000000004
2026-06-04,3,0,2026-06,calibration,57.884
2026-06-05,3,1,2026-06,calibration,55.715
2026-06-05,3,1,2026-06,calibration,69.15
2026-06-05,3,1,2026-06,calibration,41.61300000000001
2026-06-05,3,0,2026-06,calibration,39.49
2026-06-05,3,0,2026-06,calibration,45.20166666666667
2026-06-05,3,0,2026-06,calibration,81.70033333333333
2026-06-05,3,0,2026-06,calibration,57.69233333333334
2026-06-05,3,0,2026-06,calibration,60.76833333333333
2026-06-05,3,0,2026-06,calibration,51.50533333333333
2026-06-05,3,0,2026-06,calibration,66.333
2026-06-05,3,0,2026-06,calibration,55.21666666666667
2026-06-05,3,0,2026-06,calibration,34.64600000000001
2026-06-05,3,0,2026-06,calibration,42.842000000000006
2026-06-05,3,1,2026-06,calibration,67.925
2026-06-05,3,1,2026-06,calibration,75.881
2026-06-05,3,0,2026-06,calibration,63.725
2026-06-05,3,1,2026-06,calibration,88.275
2026-06-05,3,1,2026-06,calibration,52.08766666666667
2026-06-05,3,0,2026-06,calibration,81.69
2026-06-05,3,0,2026-06,calibration,44.764
2026-06-05,3,0,2026-06,calibration,32.532
2026-06-05,3,0,2026-06,calibration,50.43000000000001
2026-06-06,3,0,2026-06,calibration,78.06
2026-06-06,3,0,2026-06,calibration,42.35700000000001
2026-06-06,3,1,2026-06,calibration,47.137666666666675
2026-06-06,3,0,2026-06,calibration,51.831
2026-06-06,3,0,2026-06,calibration,63.93200000000001
2026-06-06,3,0,2026-06,calibration,46.422000000000004
2026-06-06,3,0,2026-06,calibration,38.07366666666667
2026-06-06,3,1,2026-06,calibration,67.22766666666668
2026-06-06,3,0,2026-06,calibration,22.164999999999996
2026-06-06,3,0,2026-06,calibration,71.76900000000002
2026-06-06,3,0,2026-06,calibration,44.6
2026-06-06,3,0,2026-06,calibration,47.85
2026-06-06,3,0,2026-06,calibration,40.25
2026-06-06,3,0,2026-06,calibration,64.01
2026-06-06,3,0,2026-06,calibration,76.20599999999999
2026-06-06,3,1,2026-06,calibration,82.12599999999999
2026-06-06,3,0,2026-06,calibration,42.19200000000001
2026-06-06,3,0,2026-06,calibration,52.404
2026-06-06,3,1,2026-06,calibration,88.76399999999998
2026-06-06,3,0,2026-06,calibration,45.21
2026-06-07,3,1,2026-06,calibration,54.19666666666667
2026-06-07,3,1,2026-06,calibration,43.373
2026-06-07,3,0,2026-06,calibration,44.16533333333334
2026-06-07,3,0,2026-06,calibration,68.85600000000001
2026-06-07,3,0,2026-06,calibration,48.76
2026-06-07,3,0,2026-06,calibration,42.36000000000001
2026-06-07,3,0,2026-06,calibration,74.79700000000001
2026-06-07,3,1,2026-06,calibration,55.649666666666675
2026-06-07,3,0,2026-06,calibration,72.10600000000001
2026-06-07,3,0,2026-06,calibration,52.82533333333334
2026-06-07,3,0,2026-06,calibration,91.403
