actual_combo,date,flat_invest,flat_return,head,head_ev,head_hit,head_prob,kelly_invest,kelly_raw,kelly_return,kelly_total,model,payout100,race_code,score,synthetic_odds,winner
3-5-4,2026-07-19,2000,1980,3,0.5695905454347657,1,0.2820460876323179,0,0.0,0,0,3まくり,1980,202607191904,74.046,2.019494580535709,3
3-5-6,2026-07-19,2000,36750,3,0.6362528320764201,1,0.1524168397033235,0,0.0,0,0,3まくり,36750,202607191905,42.29500000000001,4.174426089104552,3
1-3-6,2026-07-19,2000,0,5,0.8431328584167264,0,0.1,0,0.0,0,0,5頭展開,4760,202607190911,82.56800000000001,8.431328584167263,1
4-1-6,2026-07-19,2000,0,5,1.267726008893444,0,0.1,0,0.02292712561460761,0,0,5頭展開,4340,202607191606,60.66166666666667,12.677260088934437,0
1-2-6,2026-07-19,2000,0,5,0.5236709694469267,0,0.1,0,0.0,0,0,5頭展開,5320,202607191910,55.55000000000001,5.236709694469267,1
1-4-6,2026-07-19,2000,0,5,1.7269010956006223,0,0.1,0,0.04468010363790822,0,0,5頭展開,2160,202607192211,48.78666666666667,17.269010956006223,1
3-5-6,2026-07-20,2000,5990,3,0.7621648323544435,1,0.1955774230968681,0,0.0,0,0,3まくり,5990,202607201803,52.881,3.896998029148532,3
1-3-4,2026-07-20,2000,0,3,0.7387031659456275,0,0.17160609112522213,0,0.0,0,0,3まくり,700,202607201806,37.874,4.304644206402853,1
3-2-5,2026-07-20,2000,5570,3,0.31987706816082906,1,0.19508286860160562,0,0.0,0,0,3まくり,5570,202607201903,52.797333333333334,1.6396984033184159,3
5-4-6,2026-07-20,2000,1140,5,0.0549241883272047,1,0.02,0,0.0,0,0,5頭展開,1140,202607200501,71.869,2.746209416360235,5
1-2-5,2026-07-20,2000,0,5,0.19895843542788988,0,0.02,0,0.0,0,0,5頭展開,3910,202607200506,78.97966666666667,9.947921771394494,1
1-4-6,2026-07-20,2000,0,5,0.23363655991560714,0,0.02,0,0.0,0,0,5頭展開,1860,202607200510,37.669000000000004,11.681827995780356,1
5-1-4,2026-07-20,2000,4050,5,0.06661529475347024,1,0.02,0,0.0,0,0,5頭展開,4050,202607200908,59.912000000000006,3.3307647376735114,5
1-4-2,2026-07-20,2000,0,5,0.08745484815989056,0,0.02,0,0.0,0,0,5頭展開,4530,202607201004,53.92633333333333,4.372742407994528,1
3-4-6,2026-07-20,2000,0,5,0.264585773038965,0,0.02,0,0.0,0,0,5頭展開,2000,202607201010,40.520999999999994,13.22928865194825,3
2-1-3,2026-07-20,2000,0,5,0.0781566646176177,0,0.02,0,0.0,0,0,5頭展開,23300,202607201206,41.696000000000005,3.9078332308808843,2
1-2-5,2026-07-20,2000,0,5,0.5445279194706847,0,0.02,0,0.0,0,0,5頭展開,760,202607202011,46.905333333333346,27.226395973534235,1
1-2-3,2026-07-20,2000,0,5,0.35043458401959654,0,0.02,0,0.0,0,0,5頭展開,500,202607202211,41.18666666666666,17.521729200979827,1
1-2-5,2026-07-21,2000,0,3,0.23270943598383773,0,0.15115950052200422,0,0.0,0,0,3まくり,8510,202607211905,45.57533333333333,1.5394959309882235,1
1-5-4,2026-07-21,2000,0,3,0.3605433408124813,0,0.20144534936355768,0,0.0,0,0,3まくり,7650,202607212303,52.647666666666666,1.7897823998001172,1
1-3-2,2026-07-21,2000,0,3,1.2603083199917755,0,0.15191846046178692,0,0.035678456346861565,0,0,3まくり,770,202607212305,45.75433333333333,8.295952421850599,1
4-2-6,2026-07-21,2000,0,5,0.922588489263662,0,0.10088313816297594,0,0.0,0,0,5頭展開,8220,202607210510,54.22100000000001,9.14512084044439,4
5-3-6,2026-07-21,2000,28400,5,1.6043081736120433,1,0.08980565494983511,0,0.03583374121471009,0,0,5頭展開,28400,202607210904,48.72,17.86422218632223,5
1-4-2,2026-07-21,2000,0,5,0.3952790547039664,0,0.12634113716814896,0,0.0,0,0,5頭展開,2770,202607211502,64.59100000000001,3.1286646896163735,1
