actual_combo,coverage,date,head,head_hit,head_prob,invest,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
3-5-4,0.5310619207174117,2026-07-19,3,1,0.2820460876323179,2000,3まくり,1980,202607191904,0,74.046,1.4464330034954047,0.14978393702885015,9.656796530971173,0,13,3
3-5-6,0.5264202014458234,2026-07-19,3,1,0.1524168397033235,2000,3まくり,36750,202607191905,36750,42.29500000000001,1.2084440683766373,0.08023530346035933,15.061251297861364,1,9,3
1-3-6,0.7990256029316065,2026-07-19,5,0,0.1,2000,5頭展開,4760,202607190911,0,82.56800000000001,6.717493777993425,0.07990256029316066,84.07107048068416,0,2,1
4-1-6,0.6094131388105922,2026-07-19,5,0,0.1,2000,5頭展開,4340,202607191606,0,60.66166666666667,21.707296004433296,0.06094131388105922,356.2,0,1,0
1-2-6,0.8095414878446423,2026-07-19,5,0,0.1,2000,5頭展開,5320,202607191910,0,55.55000000000001,1.9671858154624808,0.08095414878446423,24.3,0,1,1
1-4-6,0.5016726847287168,2026-07-19,5,0,0.1,2000,5頭展開,2160,202607192211,0,48.78666666666667,9.411379565510728,0.05016726847287169,187.6,0,1,1
3-5-6,0.519834146238264,2026-07-20,3,1,0.1955774230968681,2000,3まくり,5990,202607201803,11980,52.881,1.4141142751801454,0.10166782275904016,13.909162572820065,1,12,3
1-3-4,0.5082965247127675,2026-07-20,3,0,0.17160609112522213,2000,3まくり,700,202607201806,0,37.874,1.4112355148507392,0.08722677973849291,16.178924856353092,0,12,1
1-2-5,0.7194677450050566,2026-07-20,5,0,0.02,2000,5頭展開,3910,202607200506,0,78.97966666666667,2.601595365938285,0.014389354900101133,180.8,0,1,1
1-4-6,0.5859229010085015,2026-07-20,5,0,0.02,2000,5頭展開,1860,202607200510,0,37.669000000000004,1.5116810846019342,0.011718458020170032,129.0,0,1,1
3-4-6,0.5281683363681037,2026-07-20,5,0,0.02,2000,5頭展開,2000,202607201010,0,40.520999999999994,4.953162658460077,0.010563366727362074,468.90000000000003,0,1,3
2-1-3,0.5427415824180962,2026-07-20,5,0,0.02,2000,5頭展開,23300,202607201206,0,41.696000000000005,1.443692609232136,0.010854831648361925,133.0,0,1,2
1-2-5,0.7988361553841126,2026-07-20,5,0,0.02,2000,5頭展開,760,202607202011,0,46.905333333333346,3.8008624273176075,0.01597672310768225,237.9,0,1,1
1-2-3,0.8083091824279979,2026-07-20,5,0,0.02,2000,5頭展開,500,202607202211,0,41.18666666666666,2.260032474068682,0.016166183648559956,139.8,0,1,1
1-5-4,0.5318500402406521,2026-07-21,3,0,0.20144534936355768,2000,3まくり,7650,202607212303,0,52.647666666666666,1.2755803622369717,0.10713871716530037,11.905876754795615,0,12,1
1-3-2,0.5221534308051651,2026-07-21,3,0,0.15191846046178692,2000,3まくり,770,202607212305,0,45.75433333333333,2.403217692185538,0.07932474533276086,30.2959395848576,0,11,1
4-2-6,0.696027560833615,2026-07-21,5,0,0.10088313816297594,2000,5頭展開,8220,202607210510,0,54.22100000000001,7.997766938210624,0.07021744458481673,113.89999999999999,0,1,4
5-3-6,0.8233747215299357,2026-07-21,5,1,0.08980565494983511,2000,5頭展開,28400,202607210904,0,48.72,17.646665469388378,0.07394370613613398,238.65000000000003,0,2,5
1-4-2,0.6974756299758312,2026-07-21,5,0,0.12634113716814896,2000,5頭展開,2770,202607211502,0,64.59100000000001,3.4631106645619516,0.0881198642382176,39.3,0,1,1
4-1-6,0.9096110560764104,2026-07-21,5,0,0.143186630118075,2000,5頭展開,11640,202607211604,0,72.43766666666666,2.422052040509699,0.13024414183772454,18.596245530393325,0,2,4
1-3-2,0.8244494088902048,2026-07-21,5,0,0.10005972314725352,2000,5頭展開,960,202607211611,0,37.56966666666666,19.05615548817073,0.0824941796024707,231.0,0,1,1
3-2-1,0.9206376177244975,2026-07-21,5,0,0.1268490221207732,2000,5頭展開,10350,202607212204,0,58.45733333333334,6.882437506390337,0.11678198153595072,58.93407027240426,0,2,3
1-3-4,0.5014589717157303,2026-07-22,3,0,0.1521945309314546,2000,3まくり,620,202607220511,0,46.32033333333334,2.400583833186375,0.07631931298164513,31.454473833690272,0,11,1
1-2-4,0.7134785519462472,2026-07-22,5,0,0.12674544840230198,2000,5頭展開,790,202607220507,0,47.230333333333334,16.7024503657951,0.09043015899185221,184.7,0,1,1
