actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_return,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
3-5-4,0.5034375993094561,2026-07-19,3,1,0.2820460876323179,2000,0,0,0,3まくり,1980,202607191904,0,74.046,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12,3
1-3-6,0.5188983916337976,2026-07-19,5,0,0.1,2000,0,0,0,5頭展開,4760,202607190911,0,82.56800000000001,1.77625957531689,0.05188983916337976,34.231356349442116,0,10,1
4-1-6,0.525092473265887,2026-07-19,5,0,0.1,2000,0,0,0,5頭展開,4340,202607191606,0,60.66166666666667,2.4118873942059817,0.05250924732658871,45.93262171908324,0,9,0
1-4-6,0.5928443423560102,2026-07-19,5,0,0.1,2000,0,0,0,5頭展開,2160,202607192211,0,48.78666666666667,2.325492134430362,0.05928443423560103,39.22601546956951,0,12,1
3-5-6,0.505656484721322,2026-07-20,3,1,0.1955774230968681,2000,0,0,0,3まくり,5990,202607201803,0,52.881,1.4057203248530752,0.098894992254017,14.214272055782242,0,11,3
1-3-4,0.5275185673866553,2026-07-20,3,0,0.17160609112522213,2000,0,0,0,3まくり,700,202607201806,0,37.874,1.5822597947926904,0.09052539934520099,17.47862816665465,0,11,1
1-3-2,0.5389150960377626,2026-07-21,3,0,0.15191846046178692,2000,0,0,0,3まくり,770,202607212305,0,45.75433333333333,2.445589721005476,0.08187115170967293,29.87120212596855,0,12,1
4-2-6,0.5804305879512769,2026-07-21,5,0,0.10088313816297594,2000,0,0,0,5頭展開,8220,202607210510,0,54.22100000000001,1.5011362125609446,0.05855565919830602,25.63605692623424,0,11,4
5-3-6,0.5202616844512766,2026-07-21,5,1,0.08980565494983511,2000,0,0,0,5頭展開,28400,202607210904,0,48.72,2.895006724049817,0.046722441317451346,61.9618034164773,0,8,5
1-3-2,0.586607066428881,2026-07-21,5,0,0.10005972314725352,2000,0,0,0,5頭展開,960,202607211611,0,37.56966666666666,3.8339557989796678,0.058695740663096393,65.31914847085625,0,11,1
3-2-1,0.5171345654160833,2026-07-21,5,0,0.1268490221207732,2000,0,0,0,5頭展開,10350,202607212204,0,58.45733333333334,1.7184701748202034,0.06559801392788119,26.196984815874135,0,8,3
1-3-4,0.538848854996314,2026-07-22,3,0,0.1521945309314546,2000,0,0,0,3まくり,620,202607220511,0,46.32033333333334,2.1135429541025887,0.0820098487291154,25.77181871269849,0,13,1
1-2-4,0.5280278806354255,2026-07-22,5,0,0.12674544840230198,2000,0,0,0,5頭展開,790,202607220507,0,47.230333333333334,2.6709593682350374,0.06692513050005419,39.90966245830293,0,9,1
1-3-4,0.5636474051668267,2026-07-22,5,0,0.11947253244793239,2000,0,0,0,5頭展開,2450,202607221312,0,44.163,3.563190471461455,0.06734038290298659,52.913130544486776,0,11,1
3-6-5,0.5290072570360351,2026-07-22,5,0,0.11588615289964405,2000,0,0,0,5頭展開,19960,202607222204,0,43.090666666666664,1.6521518239433601,0.061304615873899265,26.949876455335097,0,10,3
3-5-4,0.5568711176908449,2026-07-22,5,0,0.1168022305940944,2000,0,0,0,5頭展開,32930,202607222210,0,43.36266666666666,3.3879049057624018,0.06504378869971715,52.08652468574812,0,9,3
5-1-4,0.5206923651026387,2026-07-22,5,1,0.13651349169481664,2000,0,0,0,5頭展開,14240,202607222310,0,61.643000000000015,1.8976610907934102,0.0710815328589935,26.69696353563246,0,9,5
4-6-1,0.5076914640839028,2026-07-23,3,0,0.2087293449979883,2000,0,0,0,3まくり,59990,202607230510,0,54.64300000000001,2.0741520350556044,0.10597010675930271,19.572991841621622,0,12,4
3-1-4,0.5235770359437988,2026-07-23,3,1,0.24174704281840745,2000,0,0,0,3まくり,1230,202607231305,0,68.373,1.312611977981379,0.12657320012704038,10.370378379182341,0,10,3
3-4-6,0.5182784347438962,2026-07-23,3,1,0.17911790929404647,2000,0,0,0,3まくり,1520,202607231908,0,29.80833333333333,2.2740105603738385,0.09283294966351759,24.49572666403707,0,13,3
4-3-2,0.5430219269215796,2026-07-23,3,0,0.3147700326188799,2000,0,0,0,3まくり,4300,202607232404,0,87.59366666666666,1.4489736881522441,0.17092702964987264,8.477147769550115,0,12,4
1-3-4,0.5636275519380166,2026-07-23,3,0,0.1756177039615463,2000,0,0,0,3まくり,650,202607232412,0,28.367666666666672,1.5529281694003454,0.09898297656082167,15.688840883120179,0,14,1
1-2-4,0.5475058055893812,2026-07-23,5,0,0.15261618823431383,2000,0,0,0,5頭展開,1350,202607230304,0,43.793000000000006,2.68135303408422,0.08355824908520863,32.089626858383625,0,8,1
3-4-1,0.5121506636734401,2026-07-23,5,0,0.15798842291848583,2000,0,0,0,5頭展開,1490,202607230904,0,50.44266666666667,3.559175824973561,0.08091387565042266,43.98721228421308,0,11,3
1-2-4,0.5253924467970542,2026-07-23,5,0,0.15744383063568784,2000,0,0,0,5頭展開,1780,202607230911,0,50.94799999999999,2.2456981447460036,0.08271979941078504,27.148254235892267,0,9,1
1-5-4,0.5248009117743704,2026-07-23,5,0,0.21541340942580994,2000,0,0,0,5頭展開,1570,202607232107,0,65.86533333333333,1.835895926218147,0.11304915367509082,16.239802480031013,0,12,1
1-2-5,0.5368852850251493,2026-07-23,5,0,0.14862986943165407,2000,0,0,0,5頭展開,1670,202607232210,0,40.99466666666667,3.0162719109995364,0.07979718981306433,37.7992247354269,0,12,1
1-3-2,0.5197419903856509,2026-07-24,3,0,0.16152058341690928,2000,0,0,0,3まくり,1160,202607240310,0,42.47000000000001,1.3155087826616167,0.08394902951335599,15.670327462836529,0,10,1
3-1-6,0.5309316863112282,2026-07-24,3,1,0.20478510482096335,2000,0,0,0,3まくり,4300,202607241204,0,53.576,2.076177569594236,0.10872690103401571,19.095343929141276,0,10,3
1-3-4,0.5122242385065541,2026-07-24,3,0,0.24788319083432608,2000,0,0,0,3まくり,470,202607241707,0,67.86600000000001,1.6786107421527687,0.1269717786636875,13.22034518078963,0,11,1
1-2-4,0.5415479500633497,2026-07-24,3,0,0.2589446879330621,2000,0,1000,0,3まくり差し,18200,202607241406,0,69.554,2.2832994308616903,0.14023096492994355,16.2824197352017,0,8,1
3-1-5,0.5682310594988593,2026-07-24,5,0,0.13694513971209218,2000,0,0,0,5頭展開,8480,202607240109,0,48.23900000000001,1.8993616409944634,0.07781648183182145,24.40821785157805,0,9,3
2-1-4,0.5203099673892935,2026-07-24,5,0,0.13095983880449275,2000,0,0,0,5頭展開,2030,202607241304,0,51.05900000000001,1.4542753204613983,0.06813970945767275,21.342552412331166,0,9,2
