actual_combo,approved_A,approved_S,date,grade,head,head_hit,history_adjust_online,history_pct_online,invest6,kimarite,model,payout100,preview_comp,production_buy,race_code,ranked_others,return6,route_hit,score,ticket6_hit,tickets6,tilt,tilt_bonus,winner
1-6-4,0,0,2026-06-01,B,3,0,0.0,0.5,0,逃げ,3まくり差し,2390,0.536,0,202606010105,6-1-4-5-2,0,0,53.55,0,3-6-1;3-6-4;3-6-5;3-1-6;3-1-4;3-1-5,0,-0.05,1
1-2-5,0,0,2026-06-01,B,3,0,0.0,0.5,0,逃げ,3まくり差し,1830,0.271,0,202606010110,6-1-2-4-5,0,0,26.87,0,3-6-1;3-6-2;3-6-4;3-1-6;3-1-2;3-1-4,-0.5,-0.23,1
1-5-6,0,0,2026-06-01,B,3,0,0.0,0.5,0,逃げ,3まくり,7130,0.539,0,202606010512,6-1-2-4-5,0,0,53.69,0,3-6-1;3-6-2;3-6-4;3-1-6;3-1-2;3-1-4,0,-0.21,1
1-6-3,1,0,2026-06-01,A,3,0,0.0,0.5,600,逃げ,3まくり差し,8000,0.647,1,202606010806,5-1-4-2-6,0,0,64.47,0,3-5-1;3-5-4;3-5-2;3-1-5;3-1-4;3-1-2,-0.5,-0.23,1
1-3-4,0,0,2026-06-01,B,3,0,0.0,0.5,0,逃げ,3まくり,1940,0.527,0,202606010903,1-5-6-4-2,0,0,52.65,0,3-1-5;3-1-6;3-1-4;3-5-1;3-5-6;3-5-4,-0.5,-0.05,1
1-6-3,1,0,2026-06-01,A,3,0,0.0,0.5,600,逃げ,3まくり差し,9260,0.649,1,202606010911,1-6-4-2-5,0,0,64.85,0,3-1-6;3-1-4;3-1-2;3-6-1;3-6-4;3-6-2,0,-0.05,1
1-3-4,1,0,2026-06-01,A,3,0,0.0,0.5,600,逃げ,3まくり差し,910,0.617,1,202606010912,1-5-2-6-4,0,0,61.47,0,3-1-5;3-1-2;3-1-6;3-5-1;3-5-2;3-5-6,-0.5,-0.23,1
2-1-5,0,0,2026-06-01,B,3,0,0.0,0.5,0,まくり,3まくり差し,7690,0.415,0,202606011104,5-1-2-4-6,0,0,41.45,0,3-5-1;3-5-2;3-5-4;3-1-5;3-1-2;3-1-4,0,-0.05,2
3-1-2,0,0,2026-06-01,B,3,1,0.0,0.5,0,まくり,3まくり差し,2800,0.415,0,202606011107,2-6-5-4-1,0,0,41.45,0,3-2-6;3-2-5;3-2-4;3-6-2;3-6-5;3-6-4,0,-0.05,3
3-2-1,1,0,2026-06-01,A,3,1,0.0,0.5,600,まくり差し,3まくり差し,6060,0.619,1,202606011201,4-5-2-1-6,0,1,61.67,0,3-4-5;3-4-2;3-4-1;3-5-4;3-5-2;3-5-1,-0.5,-0.23,3
