venue_code,venue,all10_races,all10_course_coverage_pct,all10_frame4_win_pct,all10_course4_win_pct,all10_frame5_win_pct,all10_course5_win_pct,all10_frame6_win_pct,all10_course6_win_pct,all10_frame456_win_pct,all10_course456_win_pct,all10_course45_win_pct,all10_outer_attack_pct,all10_course4_attack_pct,all10_course5_attack_pct,all10_frame456_lift_pt,all10_course456_lift_pt,all10_outer_attack_lift_pt,all10_course4_attack_lift_pt,prior7_races,prior7_course_coverage_pct,prior7_frame4_win_pct,prior7_course4_win_pct,prior7_frame5_win_pct,prior7_course5_win_pct,prior7_frame6_win_pct,prior7_course6_win_pct,prior7_frame456_win_pct,prior7_course456_win_pct,prior7_course45_win_pct,prior7_outer_attack_pct,prior7_course4_attack_pct,prior7_course5_attack_pct,prior7_frame456_lift_pt,prior7_course456_lift_pt,prior7_outer_attack_lift_pt,prior7_course4_attack_lift_pt,recent3_races,recent3_course_coverage_pct,recent3_frame4_win_pct,recent3_course4_win_pct,recent3_frame5_win_pct,recent3_course5_win_pct,recent3_frame6_win_pct,recent3_course6_win_pct,recent3_frame456_win_pct,recent3_course456_win_pct,recent3_course45_win_pct,recent3_outer_attack_pct,recent3_course4_attack_pct,recent3_course5_attack_pct,recent3_frame456_lift_pt,recent3_course456_lift_pt,recent3_outer_attack_lift_pt,recent3_course4_attack_lift_pt,stable_label
01,桐生,2029,100.0,11.434,12.518,8.28,9.069,4.14,2.514,23.854,24.101,21.587,19.862,10.399,7.689,5.033,5.638,5.775,2.747,1404,100.0,12.393,13.889,8.974,9.829,4.131,2.279,25.499,25.997,23.718,21.296,11.325,8.405,6.621,7.461,7.135,3.66,625,100.0,9.28,9.44,6.72,7.36,4.16,3.04,20.16,19.84,16.8,16.64,8.32,6.08,1.467,1.545,2.72,0.697,平均圏/時系列不一致
02,戸田,1816,100.0,13.326,14.097,7.599,7.599,3.194,2.313,24.119,24.009,21.696,18.557,10.738,6.112,5.298,5.547,4.47,3.086,1355,100.0,13.137,14.096,7.601,7.306,3.1,2.066,23.838,23.469,21.402,18.007,10.627,5.978,4.96,4.932,3.846,2.963,461,100.0,13.883,14.1,7.592,8.46,3.471,3.037,24.946,25.597,22.56,20.174,11.063,6.508,6.252,7.302,6.253,3.44,ダッシュ側強め・時系列一致
04,平和島,1647,100.0,12.265,12.69,8.197,7.711,3.036,2.611,23.497,23.012,20.401,15.543,7.832,5.829,4.676,4.549,1.456,0.181,1073,100.0,13.514,13.42,8.295,8.015,3.169,2.516,24.977,23.952,21.435,15.564,7.642,6.151,6.099,5.415,1.403,-0.023,574,100.0,9.93,11.324,8.014,7.143,2.787,2.787,20.732,21.254,18.467,15.505,8.188,5.226,2.038,2.96,1.585,0.565,ダッシュ側強め・時系列一致
03,江戸川,1645,100.0,12.158,12.036,6.565,6.444,2.553,2.553,21.277,21.033,18.48,14.894,8.693,4.802,2.456,2.571,0.806,1.041,1186,100.0,12.226,12.057,6.408,6.239,2.698,2.698,21.332,20.995,18.297,14.587,8.432,4.637,2.455,2.458,0.426,0.767,459,100.0,11.983,11.983,6.972,6.972,2.179,2.179,21.133,21.133,18.954,15.686,9.368,5.229,2.439,2.838,1.766,1.745,ダッシュ側強め・時系列一致
14,鳴門,1687,100.0,11.678,11.44,6.165,7.172,2.905,2.015,20.747,20.628,18.613,16.005,8.654,6.283,1.926,2.166,1.917,1.003,1243,100.0,12.631,12.148,6.034,7.321,2.977,2.172,21.641,21.641,19.469,16.895,9.01,6.516,2.764,3.105,2.733,1.346,444,100.0,9.009,9.459,6.532,6.757,2.703,1.577,18.243,17.793,16.216,13.514,7.658,5.631,-0.45,-0.502,-0.407,0.035,平均圏/時系列不一致
07,蒲郡,2131,100.0,10.418,11.45,6.71,6.617,4.13,2.159,21.258,20.225,18.067,16.847,9.432,5.443,2.437,1.763,2.759,1.78,1595,100.0,10.408,11.473,6.207,6.583,4.013,1.818,20.627,19.875,18.056,16.426,9.216,5.517,1.75,1.338,2.265,1.552,536,100.0,10.448,11.381,8.209,6.716,4.478,3.172,23.134,21.269,18.097,18.097,10.075,5.224,4.441,2.974,4.177,2.452,平均圏/時系列不一致
05,多摩川,1884,100.0,10.616,11.2,6.476,6.529,3.185,2.389,20.276,20.117,17.728,15.605,8.546,5.361,1.455,1.655,1.518,0.894,1255,100.0,10.279,11.235,6.773,6.375,3.108,2.311,20.159,19.92,17.61,16.175,8.924,5.498,1.282,1.384,2.014,1.26,629,100.0,11.288,11.129,5.882,6.836,3.339,2.544,20.509,20.509,17.965,14.467,7.79,5.087,1.815,2.214,0.547,0.167,平均圏/時系列不一致
06,浜名湖,2026,100.0,9.872,10.316,6.417,6.663,4.097,2.172,20.385,19.151,16.979,14.462,7.256,5.38,1.564,0.689,0.375,-0.396,1414,100.0,9.477,9.901,6.153,6.577,4.102,2.192,19.731,18.67,16.478,13.861,6.648,5.375,0.854,0.134,-0.3,-1.017,612,100.0,10.784,11.275,7.026,6.863,4.085,2.124,21.895,20.261,18.137,15.85,8.66,5.392,3.202,1.967,1.929,1.037,平均圏/時系列不一致
15,丸亀,2016,100.0,9.474,9.921,6.151,6.647,3.671,2.381,19.296,18.948,16.567,13.542,6.796,5.159,0.475,0.486,-0.546,-0.856,1476,100.0,9.621,9.892,6.369,6.978,3.93,2.507,19.919,19.377,16.87,14.295,7.114,5.42,1.041,0.84,0.134,-0.551,540,100.0,9.074,10.0,5.556,5.741,2.963,2.037,17.593,17.778,15.741,11.481,5.926,4.444,-1.101,-0.517,-2.439,-1.697,平均圏/時系列不一致
21,芦屋,1985,100.0,9.622,9.924,5.894,7.003,3.023,1.914,18.539,18.841,16.927,15.466,7.859,5.995,-0.282,0.379,1.379,0.207,1377,100.0,9.368,9.441,5.592,6.972,3.195,2.033,18.155,18.446,16.412,15.396,7.771,5.882,-0.722,-0.091,1.235,0.106,608,100.0,10.197,11.02,6.579,7.072,2.632,1.645,19.408,19.737,18.092,15.625,8.059,6.25,0.714,1.442,1.705,0.436,平均圏/時系列不一致
