actual_combo,actual_rank20,actual_second_rank,actual_third_rank,approved_A,approved_A_wind_v83,approved_S,approved_S_wind_v83,date,entry_confirmed_same,entry_course_preview,entry_gate_keep,entry_source_type,entry_status,grade,has_orig,has_stt,has_tkz,head,head_hit,history_adjust_online,history_pct_online,kimarite,model,payout100,period_v88,period_v89,preview_comp,production_buy,race_code,ranked_others,relative_deg,relative_wind,route_hit,score,score_v88,score_v89,score_wind_v83,ticket20_hit,ticket6_hit,tickets20_display,tickets6,tilt,tilt_bonus,valid_payout,valid_result,venue_code_v83,venue_dash_adj_v88,venue_dash_diff_pt_v88,venue_dash_feature_v88,venue_dash_global_rate_v88,venue_dash_shrunk_rate_v88,venue_dash_venue_n_v88,venue_dash_window_days_v88,venue_strength_bucket_v89,venue_v83,wind_adjust_points,wind_bin,wind_bucket_n_v89,wind_bucket_rate_v89,wind_cell,wind_cell_n_v89,wind_cell_shrunk_rate_v89,wind_class_old_only,wind_code,wind_interaction_adj_v89,wind_interaction_cell_v89,wind_interaction_lift_pt_v89,wind_old_head_rate,wind_old_lift_pt,wind_old_model_base,wind_old_n,wind_source_type,wind_speed,winner
4-5-1,6,2,3,0,0,0,0,2025-11-01,1,4,1,backfill,same,B,1,1,1,4,1,2.0,1.0,まくり,4カドまくり,2550,prior7,prior7,0.349,0,202511010110,2-5-1-6-3,315,追い,1,36.86,36.86,36.86,34.86,1,1,4-2-5;4-5-2;4-2-1;4-1-2;4-2-6;4-5-1;4-1-5;4-2-3;4-6-2;4-5-6;4-6-5;4-5-3;4-3-2;4-1-6;4-6-1;4-3-5;4-1-3;4-3-1;4-6-3;4-3-6,4-2-5;4-2-1;4-2-6;4-5-2;4-5-1;4-5-6,0,-0.04,1,1,1,0.0,0.0,4attack,0.0,0.0,0,180,neutral,桐生,-2.0,0-2m,0,0.0,追い_0-2m,0,0.0,unfavorable,2,0.0,neutral|追い_0-2m,0.0,15.0,-8.5714,23.5714,100,backfill,2.0,4
1-5-4,0,1,0,0,0,0,0,2025-11-01,0,5,0,backfill,changed,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,680,prior7,prior7,0.345,0,202511010804,5-1-6-2-3,90,右横,0,36.46,36.46,36.46,36.46,0,0,4-5-1;4-1-5;4-5-6;4-6-5;4-5-2;4-1-6;4-6-1;4-5-3;4-2-5;4-1-2;4-2-1;4-1-3;4-3-5;4-6-2;4-2-6;4-3-1;4-6-3;4-3-6;4-2-3;4-3-2,4-5-1;4-5-6;4-5-2;4-1-5;4-1-6;4-1-2,0,-0.04,1,1,8,0.0,0.0,4attack,0.0,0.0,0,180,neutral,常滑,0.0,3-4m,0,0.0,右横_3-4m,0,0.0,neutral,1,0.0,neutral|右横_3-4m,0.0,31.25,7.6786,23.5714,32,backfill,3.0,1
1-4-2,0,0,2,0,0,0,0,2025-11-01,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,420,prior7,prior7,0.377,0,202511011104,1-2-6-3-5,0,追い,0,38.51,38.51,38.51,38.51,0,0,4-1-2;4-2-1;4-1-6;4-6-1;4-1-3;4-2-6;4-6-2;4-1-5;4-3-1;4-2-3;4-3-2;4-2-5;4-5-1;4-6-3;4-3-6;4-5-2;4-6-5;4-5-6;4-3-5;4-5-3,4-1-2;4-1-6;4-1-3;4-2-1;4-2-6;4-2-3,-0.5,-1.19,1,1,11,0.0,0.0,4attack,0.0,0.0,0,180,neutral,びわこ,0.0,3-4m,0,0.0,追い_3-4m,0,0.0,neutral,1,0.0,neutral|追い_3-4m,0.0,22.2222,-1.3492,23.5714,81,backfill,4.0,1
6-2-1,0,3,2,1,0,0,0,2025-11-01,1,4,1,backfill,same,A,1,1,1,4,0,2.0,1.0,まくり差し,4カドまくり,15720,prior7,prior7,0.551,0,202511011204,6-1-2-3-5,0,追い,0,55.91,55.91,55.91,53.91,0,0,4-6-1;4-1-6;4-6-2;4-2-6;4-6-3;4-1-2;4-2-1;4-6-5;4-3-6;4-1-3;4-3-1;4-1-5;4-5-6;4-2-3;4-3-2;4-5-1;4-2-5;4-5-2;4-3-5;4-5-3,4-6-1;4-6-2;4-6-3;4-1-6;4-1-2;4-1-3,-0.5,-1.19,1,1,12,0.0,0.0,4attack,0.0,0.0,0,180,neutral,住之江,-2.0,0-2m,0,0.0,追い_0-2m,0,0.0,unfavorable,1,0.0,neutral|追い_0-2m,0.0,15.0,-8.5714,23.5714,100,backfill,1.0,6
1-4-2,0,0,2,1,1,0,0,2025-11-01,1,4,1,backfill,same,A,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,550,prior7,prior7,0.629,0,202511012005,1-2-6-5-3,0,追い,0,64.86,64.86,64.86,62.86,0,0,4-1-2;4-2-1;4-1-6;4-6-1;4-1-5;4-2-6;4-6-2;4-1-3;4-5-1;4-2-5;4-5-2;4-2-3;4-3-1;4-6-5;4-5-6;4-3-2;4-6-3;4-3-6;4-5-3;4-3-5,4-1-2;4-1-6;4-1-5;4-2-1;4-2-6;4-2-5,0,-0.04,1,1,20,0.0,0.0,4attack,0.0,0.0,0,180,neutral,若松,-2.0,0-2m,0,0.0,追い_0-2m,0,0.0,unfavorable,1,0.0,neutral|追い_0-2m,0.0,15.0,-8.5714,23.5714,100,backfill,1.0,1
1-3-2,0,3,2,0,0,0,0,2025-11-02,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,920,prior7,prior7,0.503,0,202511020506,1-2-3-6-5,,missing,0,51.11,51.11,51.11,51.11,0,0,4-1-2;4-2-1;4-1-3;4-3-1;4-1-6;4-2-3;4-3-2;4-1-5;4-6-1;4-2-6;4-6-2;4-2-5;4-5-1;4-3-6;4-6-3;4-5-2;4-3-5;4-5-3;4-6-5;4-5-6,4-1-2;4-1-3;4-1-6;4-2-1;4-2-3;4-2-6,-0.5,-1.19,1,1,5,0.0,0.0,4attack,0.0,0.0,12,180,neutral,多摩川,0.0,0-2m,5,0.2,missing,0,0.0,neutral,0,0.0,neutral|missing,0.0,0,0,0,0,backfill,1.0,1
4-6-5,5,1,4,0,0,0,0,2025-11-02,1,4,1,backfill,same,B,1,1,1,4,1,-2.0,0.0,まくり,4カドまくり,1730,prior7,prior7,0.371,0,202511021105,6-2-1-5-3,0,追い,1,35.06,35.06,35.06,35.06,1,1,4-6-2;4-2-6;4-6-1;4-1-6;4-6-5;4-2-1;4-1-2;4-6-3;4-5-6;4-2-5;4-5-2;4-2-3;4-3-6;4-1-5;4-5-1;4-3-2;4-1-3;4-3-1;4-5-3;4-3-5,4-6-2;4-6-1;4-6-5;4-2-6;4-2-1;4-2-5,0,-0.04,1,1,11,0.0,0.0,4attack,0.0,0.0,12,180,neutral,びわこ,0.0,3-4m,5,0.2,追い_3-4m,1,0.0,neutral,1,0.0,neutral|追い_3-4m,0.0,22.2222,-1.3492,23.5714,81,backfill,4.0,4
1-4-6,0,0,2,0,0,0,0,2025-11-02,1,4,1,backfill,same,B,1,1,1,4,0,-2.0,0.0,逃げ,4カドまくり,2420,prior7,prior7,0.175,0,202511021107,2-6-1-5-3,0,追い,0,14.31,14.31,14.31,14.31,0,0,4-2-6;4-6-2;4-2-1;4-1-2;4-2-5;4-6-1;4-1-6;4-2-3;4-5-2;4-6-5;4-5-6;4-6-3;4-3-2;4-1-5;4-5-1;4-3-6;4-1-3;4-3-1;4-5-3;4-3-5,4-2-6;4-2-1;4-2-5;4-6-2;4-6-1;4-6-5,-0.5,-1.19,1,1,11,0.0,0.0,4attack,0.0,0.0,12,180,neutral,びわこ,0.0,5m+,5,0.2,追い_5m+,0,0.0,neutral,1,0.0,neutral|追い_5m+,0.0,19.3548,-4.2166,23.5714,31,backfill,5.0,1
1-2-5,0,4,3,0,0,0,0,2025-11-02,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,910,prior7,prior7,0.351,0,202511021901,1-6-5-2-3,0,追い,0,37.06,37.06,37.06,37.06,0,0,4-1-6;4-6-1;4-1-5;4-5-1;4-1-2;4-6-5;4-5-6;4-1-3;4-2-1;4-6-2;4-2-6;4-6-3;4-3-1;4-5-2;4-2-5;4-3-6;4-5-3;4-3-5;4-2-3;4-3-2,4-1-6;4-1-5;4-1-2;4-6-1;4-6-5;4-6-2,0,-0.04,1,1,19,0.0,0.0,4attack,0.0,0.0,12,180,neutral,下関,0.0,5m+,5,0.2,追い_5m+,0,0.0,neutral,1,0.0,neutral|追い_5m+,0.0,19.3548,-4.2166,23.5714,31,backfill,5.0,1
1-4-5,0,0,1,0,0,0,0,2025-11-02,0,3,0,backfill,changed,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,900,prior7,prior7,0.325,0,202511022006,5-6-1-2-3,0,追い,0,34.46,34.46,34.46,34.46,0,0,4-5-6;4-6-5;4-5-1;4-1-5;4-5-2;4-6-1;4-1-6;4-5-3;4-2-5;4-6-2;4-2-6;4-6-3;4-3-5;4-1-2;4-2-1;4-3-6;4-1-3;4-3-1;4-2-3;4-3-2,4-5-6;4-5-1;4-5-2;4-6-5;4-6-1;4-6-2,0,-0.04,1,1,20,0.0,0.0,4attack,0.0,0.0,12,180,neutral,若松,0.0,5m+,5,0.2,追い_5m+,0,0.0,neutral,1,0.0,neutral|追い_5m+,0.0,19.3548,-4.2166,23.5714,31,backfill,7.0,1
