actual_combo,actual_pair_rank20_v93,actual_rank20,actual_second_rank,actual_second_rank_v93,actual_third_rank,actual_third_rank_v93,approved_A,approved_A_wind_v83,approved_S,approved_S_wind_v83,date,delta_CORR20_v91,delta_CORR25_v91,delta_CORR32_v91,delta_CORR35_v91,delta_RAW20_v91,delta_RAW25_v91,delta_RAW32_v91,delta_RAW35_v91,entry_confirmed_same,entry_course_preview,entry_gate_keep,entry_source_type,entry_status,grade,has_orig,has_stt,has_tkz,head,head_hit,history_adjust_online,history_pct_online,kimarite,model,opp_direct_b1_v93,opp_direct_b2_v93,opp_direct_b3_v93,opp_direct_b5_v93,opp_direct_b6_v93,opp_grade_b1_v93,opp_grade_b2_v93,opp_grade_b3_v93,opp_grade_b5_v93,opp_grade_b6_v93,opp_local_b1_v93,opp_local_b2_v93,opp_local_b3_v93,opp_local_b5_v93,opp_local_b6_v93,opp_motor_b1_v93,opp_motor_b2_v93,opp_motor_b3_v93,opp_motor_b5_v93,opp_motor_b6_v93,opp_national_b1_v93,opp_national_b2_v93,opp_national_b3_v93,opp_national_b5_v93,opp_national_b6_v93,opp_nst_b1_v93,opp_nst_b2_v93,opp_nst_b3_v93,opp_nst_b5_v93,opp_nst_b6_v93,opp_score_b1_v93,opp_score_b2_v93,opp_score_b3_v93,opp_score_b5_v93,opp_score_b6_v93,opp_waku_b1_v93,opp_waku_b2_v93,opp_waku_b3_v93,opp_waku_b5_v93,opp_waku_b6_v93,payout100,period_v90,period_v91,period_v94,preview_comp,production_buy,race_code,rank2_v94,rank3_v94,rank_b1_v93,rank_b2_v93,rank_b3_v93,rank_b5_v93,rank_b6_v93,ranked_others,ranked_others_v93,relative_deg,relative_wind,result_join_v93,route_hit,score,score2_b1_v94,score2_b2_v94,score2_b3_v94,score2_b5_v94,score2_b6_v94,score3_b1_v94,score3_b2_v94,score3_b3_v94,score3_b5_v94,score3_b6_v94,score_BASE_v91,score_CORR20_v91,score_CORR25_v91,score_CORR32_v91,score_CORR35_v91,score_RAW20_v91,score_RAW25_v91,score_RAW32_v91,score_RAW35_v91,score_wind_v83,second,st5_combo_corr_v90,st5_combo_raw_v90,st_bias1_v90,st_bias2_v90,st_bias3_v90,st_bias4_v90,st_bias5_v90,st_bias6_v90,st_corr_rank_b1,st_corr_rank_b2,st_corr_rank_b3,st_corr_rank_b4,st_corr_rank_b5,st_corr_rank_b6,st_corr_strength_b1,st_corr_strength_b2,st_corr_strength_b3,st_corr_strength_b4,st_corr_strength_b5,st_corr_strength_b6,st_raw_b1,st_raw_b2,st_raw_b3,st_raw_b4,st_raw_b5,st_raw_b6,st_raw_rank_b1,st_raw_rank_b2,st_raw_rank_b3,st_raw_rank_b4,st_raw_rank_b5,st_raw_rank_b6,st_raw_strength_b1,st_raw_strength_b2,st_raw_strength_b3,st_raw_strength_b4,st_raw_strength_b5,st_raw_strength_b6,st_source_v90,third,ticket20_hit,ticket6_hit,tickets20_display,tickets6,tilt,tilt_bonus,v91_avg,v91_base_comp_recalc,v91_ex,v91_st_corr,v91_st_raw,v91_straight,valid_payout,valid_result,venue_code_v83,venue_v83,wind_adjust_points,wind_bin,wind_cell,wind_class_old_only,wind_code,wind_old_head_rate,wind_old_lift_pt,wind_old_model_base,wind_old_n,wind_source_type,wind_speed,winner
4-5-1,7,6,2,2,3,4,0,0,0,0,2025-11-01,6.0,3.0,,,6.0,3.0,,,1,4,1,backfill,same,B,1,1,1,4,1,2.0,1.0,まくり,4カドまくり,0.253333,0.593333,0.326667,0.586667,0.843333,0.72,1.0,0.15,0.72,0.38,0.794545,0.923636,0,0.783636,0.5,0.796286,0.660857,0.510857,0.551886,0.552229,0.48,0.752,0,0.67,0.524,0.214286,0.571429,0,0.642857,0.428571,0.470218,0.647345,0.169646,0.562469,0.48461,0,0,0,0,0,2550,prior7,prior7,prior7,0.349,0,202511010110,2-5-1-6-3,1-6-5-2-3,4,1,5,2,3,2-5-1-6-3,2-5-6-1-3,315,追い,official_realtime,1,36.86,0.641935,1.400715,-1.408479,0.959675,-0.109569,0.795048,0.511424,-0.125527,0.517847,0.570281,36.86,42.86,39.86,,,42.86,39.86,,,34.86,5,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4,5,6,3,2,1.0,0.4,0.2,0.0,0.6,0.8,0.03,0.08,0.09,0.18,0.05,0.04,1,4,5,6,3,2,1.0,0.4,0.2,0.0,0.6,0.8,backfill,1,1,1,4-2-5;4-5-2;4-2-1;4-1-2;4-2-6;4-5-1;4-1-5;4-2-3;4-6-2;4-5-6;4-6-5;4-5-3;4-3-2;4-1-6;4-6-1;4-3-5;4-1-3;4-3-1;4-6-3;4-3-6,4-2-5;4-2-1;4-2-6;4-5-2;4-5-1;4-5-6,0,-0.04,0.53333,0.349,0.4,0.0,0.0,0.6,1,1,1,桐生,-2.0,0-2m,追い_0-2m,unfavorable,2,15.0,-8.5714,23.5714,100,backfill,2.0,4
1-5-4,0,0,1,1,0,0,0,0,0,0,2025-11-01,0.0,0.0,,,0.0,0.0,,,0,5,0,backfill,changed,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,0.566667,0.253333,0.333333,0.766667,0.526667,0.72,0.38,0.15,1.0,0.38,0.605455,0.303636,0,0.738182,0.385455,0.694686,0.8388,0.554686,0.7272,0.493314,0.598,0.036,0,0.574,0.282,0.785714,0.285714,0.071429,0.785714,0.285714,0.568067,0.305841,0.184725,0.660453,0.349594,0,0,0,0,0,680,prior7,prior7,prior7,0.345,0,202511010804,5-1-6-2-3,6-5-1-2-3,2,4,5,1,3,5-1-6-2-3,5-1-6-2-3,90,右横,official_realtime,0,36.46,1.238942,-0.704451,-1.334771,1.252817,-0.629056,0.049919,-0.044142,-0.206955,0.187058,0.383002,36.46,36.46,36.46,,,36.46,36.46,,,36.46,5,,,0.0,0.0,0.0,0.0,0.0,0.0,3,1,4,6,2,5,0.6,1.0,0.4,0.0,0.8,0.2,-0.05,-0.18,0.01,0.14,-0.11,0.05,3,1,4,6,2,5,0.6,1.0,0.4,0.0,0.8,0.2,backfill,4,0,0,4-5-1;4-1-5;4-5-6;4-6-5;4-5-2;4-1-6;4-6-1;4-5-3;4-2-5;4-1-2;4-2-1;4-1-3;4-3-5;4-6-2;4-2-6;4-3-1;4-6-3;4-3-6;4-2-3;4-3-2,4-5-1;4-5-6;4-5-2;4-1-5;4-1-6;4-1-2,0,-0.04,0.26667,0.345,1.0,0.0,0.0,0.0,1,1,8,常滑,0.0,3-4m,右横_3-4m,neutral,1,31.25,7.6786,23.5714,32,backfill,3.0,1
1-4-2,0,0,0,0,2,2,0,0,0,0,2025-11-01,2.0,1.0,,,2.0,1.0,,,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,0.793333,0.693333,0.55,0.413333,0.186667,1.0,0.38,0.38,0.38,0.38,0,0.441818,0,0,0.454545,0.720114,0.5236,0.821086,0.233543,0.450229,0.766,0.43,0.062,0.056,0.286,0.714286,0.428571,0.142857,0.285714,0.571429,0.635045,0.430229,0.324022,0.211257,0.313071,0,0,0,0,0,420,prior7,prior7,prior7,0.377,0,202511011104,1-2-6-3-5,2-6-1-5-3,1,2,3,5,4,1-2-6-3-5,1-2-3-6-5,0,追い,official_realtime,0,38.51,1.523986,-0.037883,-0.892696,-0.930354,-0.333412,-0.077062,0.220332,-0.199376,-0.142044,-0.000898,38.51,40.51,39.51,,,40.51,39.51,,,38.51,4,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,2,4,5,6,1.0,0.6,0.8,0.4,0.2,0.0,0.08,0.21,0.17,0.22,0.23,0.23,1,3,2,4,5,6,1.0,0.6,0.8,0.4,0.2,0.0,backfill,2,0,0,4-1-2;4-2-1;4-1-6;4-6-1;4-1-3;4-2-6;4-6-2;4-1-5;4-3-1;4-2-3;4-3-2;4-2-5;4-5-1;4-6-3;4-3-6;4-5-2;4-6-5;4-5-6;4-3-5;4-5-3,4-1-2;4-1-6;4-1-3;4-2-1;4-2-6;4-2-3,-0.5,-1.19,0.66667,0.377,0.0,0.4,0.4,0.6,1,1,11,びわこ,0.0,3-4m,追い_3-4m,neutral,1,22.2222,-1.3492,23.5714,81,backfill,4.0,1
6-2-1,18,0,3,5,2,2,1,0,0,0,2025-11-01,-3.0,-1.5,,,-3.0,-1.5,,,1,4,1,backfill,same,A,1,1,1,4,0,2.0,1.0,まくり差し,4カドまくり,0.5,0.16,0.35,0.55,0.85,0.38,0.38,0.38,0.38,1.0,0.330909,0.418182,0.636364,0,0.729091,0.456514,0.495771,0.469029,0.661657,0.536343,0.44,0.214,0.168,0,0.814,0.571429,0.428571,0.357143,0.357143,0.785714,0.389909,0.286567,0.318507,0.304425,0.68788,0,0,0,0,0,15720,prior7,prior7,prior7,0.551,0,202511011204,6-1-2-3-5,6-1-2-3-5,2,5,3,4,1,6-1-2-3-5,6-1-3-5-2,0,追い,official_realtime,0,55.91,0.323274,-0.342912,-0.409467,-0.865485,1.360075,0.024356,-0.088791,-0.125985,-0.154646,0.357471,55.91,52.91,54.41,,,52.91,54.41,,,53.91,2,,,0.0,0.0,0.0,0.0,0.0,0.0,5,6,4,2,1,3,0.2,0.0,0.4,0.8,1.0,0.6,0.23,0.26,0.22,0.12,-0.03,0.18,5,6,4,2,1,3,0.2,0.0,0.4,0.8,1.0,0.6,backfill,1,0,0,4-6-1;4-1-6;4-6-2;4-2-6;4-6-3;4-1-2;4-2-1;4-6-5;4-3-6;4-1-3;4-3-1;4-1-5;4-5-6;4-2-3;4-3-2;4-5-1;4-2-5;4-5-2;4-3-5;4-5-3,4-6-1;4-6-2;4-6-3;4-1-6;4-1-2;4-1-3,-0.5,-1.19,0.8,0.551,0.2,0.8,0.8,0.5,1,1,12,住之江,-2.0,0-2m,追い_0-2m,unfavorable,1,15.0,-8.5714,23.5714,100,backfill,1.0,6
1-4-2,0,0,0,0,2,2,1,1,0,0,2025-11-01,-2.0,-1.0,,,-2.0,-1.0,,,1,4,1,backfill,same,A,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,0.656667,0.473333,0.243333,0.496667,0.42,1.0,0.72,0.38,0.38,0.38,0.763636,0.818182,0,0.22,0,0.817543,0.567543,0.627371,0.572286,0.641429,0.74,0.646,0.198,0.244,0.496,0.571429,0.642857,0.428571,0.5,0.357143,0.670302,0.542934,0.287445,0.356449,0.371826,0,0,0,0,0,550,prior7,prior7,prior7,0.629,0,202511012005,1-2-5-6-3,1-6-2-5-3,1,2,5,4,3,1-2-6-5-3,1-2-6-5-3,0,追い,official_realtime,0,64.86,1.618014,0.969629,-0.45585,-0.321969,-0.327289,0.547191,0.280514,-0.523193,0.014406,0.328066,64.86,62.86,63.86,,,62.86,63.86,,,62.86,4,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4,5,2,3,6,1.0,0.4,0.2,0.8,0.6,0.0,0.07,0.11,0.19,0.09,0.09,0.19,1,4,5,2,3,6,1.0,0.4,0.2,0.8,0.6,0.0,backfill,2,0,0,4-1-2;4-2-1;4-1-6;4-6-1;4-1-5;4-2-6;4-6-2;4-1-3;4-5-1;4-2-5;4-5-2;4-2-3;4-3-1;4-6-5;4-5-6;4-3-2;4-6-3;4-3-6;4-5-3;4-3-5,4-1-2;4-1-6;4-1-5;4-2-1;4-2-6;4-2-5,0,-0.04,0.8,0.629,0.4,0.8,0.8,0.6,1,1,20,若松,-2.0,0-2m,追い_0-2m,unfavorable,1,15.0,-8.5714,23.5714,100,backfill,1.0,1
1-3-2,10,0,3,3,2,2,0,0,0,0,2025-11-02,-6.0,-3.0,,,-10.0,-8.0,,,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,0.556667,0.37,0.683333,0.38,0.44,0.72,0.38,0.38,0.15,0.15,0.621818,0.523636,0,0,0,0.69,0.398114,0.562514,0.645714,0.752,0.56,0.396,0.064,0,0,0.571429,0.642857,0.571429,0.214286,1,0.540274,0.370067,0.343016,0.221457,0.32104,0,0,0,0,0,920,prior7,prior7,prior7,0.503,0,202511020506,1-2-3-6-5,1-5-2-3-6,1,2,3,5,4,1-2-3-6-5,1-2-3-6-5,,missing,official_realtime,0,51.11,0.992704,0.122047,-0.563096,-1.229682,-0.699378,0.302069,-0.125122,-0.834319,0.080649,-0.964433,51.11,45.11,48.11,,,41.11,43.11,,,51.11,3,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,3,4,6,1,2,5,0.6,0.4,0.0,1.0,0.8,0.2,0.03,0.17,0.22,0.04,0.05,0.21,1,4,6,2,3,5,1.0,0.4,0.0,0.8,0.6,0.2,backfill,2,0,0,4-1-2;4-2-1;4-1-3;4-3-1;4-1-6;4-2-3;4-3-2;4-1-5;4-6-1;4-2-6;4-6-2;4-2-5;4-5-1;4-3-6;4-6-3;4-5-2;4-3-5;4-5-3;4-6-5;4-5-6,4-1-2;4-1-3;4-1-6;4-2-1;4-2-3;4-2-6,-0.5,-1.19,0.6,0.503,0.0,1.0,0.8,0.4,1,1,5,多摩川,0.0,0-2m,missing,neutral,0,0,0,0,0,backfill,1.0,1
4-6-5,2,5,1,1,4,3,0,0,0,0,2025-11-02,6.0,3.0,,,6.0,3.0,,,1,4,1,backfill,same,B,1,1,1,4,1,-2.0,0.0,まくり,4カドまくり,0.456667,0.436667,0.36,0.543333,0.866667,0.38,0.72,0.15,0.38,0.72,0.403636,0.690909,0,0.065455,0.727273,0.639429,0.484229,0.192743,0.440629,0.638629,0.248,0.512,0,0.542,0.612,0.357143,0.642857,0.142857,0.571429,0.5,0.363257,0.486529,0.134423,0.393152,0.599229,0,0,0,0,0,1730,prior7,prior7,prior7,0.371,0,202511021105,2-6-5-1-3,6-1-5-2-3,4,2,5,3,1,6-2-1-5-3,6-2-5-1-3,0,追い,official_realtime,1,35.06,-0.092922,0.715848,-1.348153,0.107755,0.528228,0.196409,0.032476,-0.409217,0.115739,0.633023,35.06,41.06,38.06,,,41.06,38.06,,,35.06,6,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,2,1,4,5,6,3,0.8,1.0,0.4,0.2,0.0,0.6,-0.01,-0.01,0.11,0.19,0.28,0.09,1,2,4,5,6,3,1.0,0.8,0.4,0.2,0.0,0.6,backfill,5,1,1,4-6-2;4-2-6;4-6-1;4-1-6;4-6-5;4-2-1;4-1-2;4-6-3;4-5-6;4-2-5;4-5-2;4-2-3;4-3-6;4-1-5;4-5-1;4-3-2;4-1-3;4-3-1;4-5-3;4-3-5,4-6-2;4-6-1;4-6-5;4-2-6;4-2-1;4-2-5,0,-0.04,0.73333,0.371,0.0,0.2,0.2,0.8,1,1,11,びわこ,0.0,3-4m,追い_3-4m,neutral,1,22.2222,-1.3492,23.5714,81,backfill,4.0,4
1-4-6,0,0,0,0,2,2,0,0,0,0,2025-11-02,-2.0,-1.0,,,-2.0,-1.0,,,1,4,1,backfill,same,B,1,1,1,4,0,-2.0,0.0,逃げ,4カドまくり,0.59,0.516667,0.29,0.54,0.653333,0.38,0.72,0.38,0.38,0.38,0.116364,0.401818,0.263636,0,0.689091,0.520629,0.572629,0.357943,0.587314,0.693543,0.308,0.584,0.092,0,0.506,0.5,0.428571,0.428571,0.285714,0.285714,0.368336,0.487224,0.250993,0.283558,0.473284,0,0,0,0,0,2420,prior7,prior7,prior7,0.175,0,202511021107,2-1-6-3-5,6-2-5-1-3,3,1,5,4,2,2-6-1-5-3,2-6-1-5-3,0,追い,official_realtime,0,14.31,0.005272,0.554223,-0.592161,-0.945479,-0.167603,-0.119787,0.262391,-0.56074,-0.082789,0.875693,14.31,12.31,13.31,,,12.31,13.31,,,14.31,4,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,1,3,6,5,4,2,1.0,0.6,0.0,0.2,0.4,0.8,0.02,0.13,0.28,0.26,0.25,0.05,1,3,6,5,4,2,1.0,0.6,0.0,0.2,0.4,0.8,backfill,6,0,0,4-2-6;4-6-2;4-2-1;4-1-2;4-2-5;4-6-1;4-1-6;4-2-3;4-5-2;4-6-5;4-5-6;4-6-3;4-3-2;4-1-5;4-5-1;4-3-6;4-1-3;4-3-1;4-5-3;4-3-5,4-2-6;4-2-1;4-2-5;4-6-2;4-6-1;4-6-5,-0.5,-1.19,0.6,0.175,0.0,0.2,0.2,0.0,1,1,11,びわこ,0.0,5m+,追い_5m+,neutral,1,19.3548,-4.2166,23.5714,31,backfill,5.0,1
1-2-5,20,0,4,5,3,4,0,0,0,0,2025-11-02,-8.0,-4.0,,,-12.0,-9.0,,,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,0.706667,0.506667,0.406667,0.463333,0.546667,0.72,0.72,0.72,0.72,0.72,0.745455,0,0.934545,0.525455,0.847273,0.7396,0.6952,0.682914,0.466057,0.7024,0.708,0.704,0.564,0.65,0.722,0.642857,0.5,0.285714,0.714286,0.785714,0.620146,0.503344,0.512133,0.507652,0.608684,0,0,0,0,0,910,prior7,prior7,prior7,0.351,0,202511021901,1-6-5-2-3,3-1-6-5-2,1,5,3,4,2,1-6-5-2-3,1-6-3-5-2,0,追い,official_realtime,0,37.06,1.317634,0.700628,0.603338,0.90411,1.018533,0.468901,0.098248,0.54373,0.211796,0.427772,37.06,29.06,33.06,,,25.06,28.06,,,37.06,2,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,1,3,6,2,5,4,1.0,0.6,0.0,0.8,0.2,0.4,-0.02,0.08,0.18,0.08,0.16,0.09,1,2,6,3,5,4,1.0,0.8,0.0,0.6,0.2,0.4,backfill,5,0,0,4-1-6;4-6-1;4-1-5;4-5-1;4-1-2;4-6-5;4-5-6;4-1-3;4-2-1;4-6-2;4-2-6;4-6-3;4-3-1;4-5-2;4-2-5;4-3-6;4-5-3;4-3-5;4-2-3;4-3-2,4-1-6;4-1-5;4-1-2;4-6-1;4-6-5;4-6-2,0,-0.04,0.2,0.351,0.2,0.8,0.6,0.0,1,1,19,下関,0.0,5m+,追い_5m+,neutral,1,19.3548,-4.2166,23.5714,31,backfill,5.0,1
1-4-5,0,0,0,0,1,1,0,0,0,0,2025-11-02,0.0,0.0,,,0.0,0.0,,,0,3,0,backfill,changed,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,0.291667,0.5,0.479167,0.833333,0.375,0.38,1.0,0.15,0.72,0.38,0.630909,0,0,0.672727,0.54,0.4252,0.0,0.890171,0.523143,0.874229,0.326,0,0,0.42,0.388,0.357143,0.285714,0.285714,0.5,0.571429,0.33014,0.275714,0.287293,0.532752,0.445267,0,0,0,0,0,900,prior7,prior7,prior7,0.325,0,202511022006,5-1-6-2-3,5-1-6-3-2,3,5,4,1,2,5-6-1-2-3,5-6-1-3-2,0,追い,official_realtime,0,34.46,0.056236,-0.393907,-1.077265,0.405127,-0.076054,0.332023,-0.668592,-0.376877,0.389611,0.306465,34.46,34.46,34.46,,,34.46,34.46,,,34.46,4,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,3,0,5,4,1,2,0.5,0.5,0.0,0.25,1.0,0.75,0.17,,0.54,0.2,-0.02,0.01,3,0,5,4,1,2,0.5,0.5,0.0,0.25,1.0,0.75,backfill,5,0,0,4-5-6;4-6-5;4-5-1;4-1-5;4-5-2;4-6-1;4-1-6;4-5-3;4-2-5;4-6-2;4-2-6;4-6-3;4-3-5;4-1-2;4-2-1;4-3-6;4-1-3;4-3-1;4-2-3;4-3-2,4-5-6;4-5-1;4-5-2;4-6-5;4-6-1;4-6-2,0,-0.04,0.66667,0.325,0.25,0.25,0.25,0.25,1,1,20,若松,0.0,5m+,追い_5m+,neutral,1,19.3548,-4.2166,23.5714,31,backfill,7.0,1
