actual_combo,actual_rank20,actual_second_rank,actual_second_rank_v97,actual_third_rank,actual_third_rank_v97,approved_A,approved_A_wind_v83,approved_S,approved_S_wind_v83,date,entry_confirmed_same,entry_course_preview,entry_gate_keep,entry_source_type,entry_status,grade,group_v97,has_orig,has_stt,has_tkz,head,head_hit,head_v97,history_adjust_online,history_pct_online,kimarite,model,opp_direct_b1_v97,opp_direct_b2_v97,opp_direct_b3_v97,opp_direct_b4_v97,opp_direct_b5_v97,opp_direct_b6_v97,opp_grade_b1_v97,opp_grade_b2_v97,opp_grade_b3_v97,opp_grade_b4_v97,opp_grade_b5_v97,opp_grade_b6_v97,opp_local_b1_v97,opp_local_b2_v97,opp_local_b3_v97,opp_local_b4_v97,opp_local_b5_v97,opp_local_b6_v97,opp_motor_b1_v97,opp_motor_b2_v97,opp_motor_b3_v97,opp_motor_b4_v97,opp_motor_b5_v97,opp_motor_b6_v97,opp_national_b1_v97,opp_national_b2_v97,opp_national_b3_v97,opp_national_b4_v97,opp_national_b5_v97,opp_national_b6_v97,opp_nst_b1_v97,opp_nst_b2_v97,opp_nst_b3_v97,opp_nst_b4_v97,opp_nst_b5_v97,opp_nst_b6_v97,opp_score_b1_v97,opp_score_b2_v97,opp_score_b3_v97,opp_score_b4_v97,opp_score_b5_v97,opp_score_b6_v97,opp_waku_b1_v97,opp_waku_b2_v97,opp_waku_b3_v97,opp_waku_b4_v97,opp_waku_b5_v97,opp_waku_b6_v97,payout100,period_v90,preview_comp,production_buy,race_code,rank2_v98,rank3_v98,ranked_others,ranked_others_v97,relative_deg,relative_wind,result_join_v97,route_hit,score,score_wind_v83,second,st5_combo_corr_v90,st5_combo_raw_v90,st_bias1_v90,st_bias2_v90,st_bias3_v90,st_bias4_v90,st_bias5_v90,st_bias6_v90,st_corr_rank_b1,st_corr_rank_b2,st_corr_rank_b3,st_corr_rank_b4,st_corr_rank_b5,st_corr_rank_b6,st_corr_strength_b1,st_corr_strength_b2,st_corr_strength_b3,st_corr_strength_b4,st_corr_strength_b5,st_corr_strength_b6,st_raw_b1,st_raw_b2,st_raw_b3,st_raw_b4,st_raw_b5,st_raw_b6,st_raw_rank_b1,st_raw_rank_b2,st_raw_rank_b3,st_raw_rank_b4,st_raw_rank_b5,st_raw_rank_b6,st_raw_strength_b1,st_raw_strength_b2,st_raw_strength_b3,st_raw_strength_b4,st_raw_strength_b5,st_raw_strength_b6,st_source_v90,third,ticket20_hit,ticket6_hit,tickets20_display,tickets4_v98,tickets6,tickets6_v98,tilt,tilt_bonus,v98_lambda,v98_parameter_test_pass,valid_payout,valid_result,venue_code_v83,venue_v83,wind_adjust_points,wind_bin,wind_cell,wind_class_old_only,wind_code,wind_old_head_rate,wind_old_lift_pt,wind_old_model_base,wind_old_n,wind_source_type,wind_speed,winner
1-2-3,0,3,4,0,0,0,0,0,0,2025-11-01,1,3,1,backfill,same,B,3HEAD,1,1,1,3,0,3,2.0,1.0,逃げ,3まくり,0.68,0.286667,,0.373333,0.56,0.653333,0.38,0.38,,0.15,1.0,0.38,0.605455,0.565455,,0.072727,0.843636,0.236364,0.506457,0.720114,,0.5976,0.5008,0.619886,0.398,0.412,,0.294,0.678,0.332,0.428571,0.5,,0.642857,0.642857,0.428571,0.431926,0.403336,,0.312327,0.600104,0.404341,0,0,,0,0,0,1650,prior7,0.30567,0,202511010807,5-1-2-6-4,5-1-2-6-4,5-1-2-6-4,5-1-6-2-4,90,右横,official_realtime,0,32.5167,34.5167,2,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,4,5,2,1.0,0.6,0.0,0.4,0.2,0.8,0.05,0.12,0.16,0.14,0.15,0.05,1,3,6,4,5,2,1.0,0.6,0.0,0.4,0.2,0.8,backfill,3,0,0,3-5-1;3-1-5;3-5-2;3-2-5;3-5-6;3-1-2;3-2-1;3-5-4;3-6-5;3-1-6;3-6-1;3-1-4;3-4-5;3-2-6;3-6-2;3-4-1;3-2-4;3-4-2;3-6-4;3-4-6,1-5;5-1;5-2;1-2,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6,1-5;5-1;5-2;5-6;1-2;1-6,-0.5,-0.05,0.2,1,1,1,8,常滑,2.0,3-4m,右横_3-4m,favorable,1,30.7692,5.8214,24.9478,65,backfill,3.0,1
6-1-4,0,3,3,2,2,0,0,0,0,2025-11-01,0,4,0,backfill,changed,B,3HEAD,1,1,1,3,0,3,2.0,1.0,逃げ,3まくり,0.493333,0.396667,,0.76,0.21,0.643333,0.38,0.15,,0.72,0.72,1.0,0.454545,0,,0.454545,0.532727,0.749091,0.563486,0.554686,,0.6324,0.447143,0.466686,0.522,0,,0.394,0.516,0.838,0.428571,0.071429,,0.5,0.5,0.571429,0.419508,0.196125,,0.515732,0.414672,0.625712,0,0,,0,0,0,1450,prior7,0.40567,0,202511010808,6-4-1-5-2,6-4-5-1-2,6-4-1-5-2,6-4-1-5-2,90,右横,official_realtime,0,42.3567,44.3567,1,,,0.0,0.0,0.0,0.0,0.0,0.0,2,6,4,5,3,1,0.8,0.0,0.4,0.2,0.6,1.0,0.2,0.36,0.22,0.24,0.21,0.18,2,6,4,5,3,1,0.8,0.0,0.4,0.2,0.6,1.0,backfill,4,0,0,3-6-4;3-4-6;3-6-1;3-1-6;3-6-5;3-4-1;3-1-4;3-6-2;3-5-6;3-4-5;3-5-4;3-4-2;3-2-6;3-1-5;3-5-1;3-2-4;3-1-2;3-2-1;3-5-2;3-2-5,4-6;6-4;6-5;4-5,3-6-4;3-6-1;3-6-5;3-4-6;3-4-1;3-4-5,4-6;6-4;6-5;6-1;4-5;4-1,0,-0.21,0.2,1,1,1,8,常滑,2.0,3-4m,右横_3-4m,favorable,1,30.7692,5.8214,24.9478,65,backfill,4.0,6
1-3-5,0,0,0,2,2,0,0,0,0,2025-11-01,1,3,1,backfill,same,B,3HEAD,1,1,1,3,0,3,2.0,1.0,逃げ,3まくり,0.413333,0.59,,0.183333,0.616667,0.856667,0.38,0.38,,0.15,1.0,1.0,0.441818,0.596364,,0,0.778182,0.818182,0.7272,0.718343,,0.346743,0.482457,0.471543,0.308,0.386,,0,0.752,0.908,0.285714,0.357143,,1,0.785714,0.642857,0.378404,0.44231,,0.205946,0.628867,0.690194,0,0,,0,0,0,5480,prior7,0.315,0,202511010906,6-5-2-1-4,6-5-2-1-4,6-5-2-1-4,6-5-2-1-4,270,左横,official_realtime,0,33.45,33.45,3,,,0.0,0.0,0.0,0.0,0.0,0.0,3,4,6,5,1,2,0.6,0.4,0.0,0.2,1.0,0.8,0.07,0.11,0.21,0.12,-0.01,0.0,3,4,6,5,1,2,0.6,0.4,0.0,0.2,1.0,0.8,backfill,5,0,0,3-6-5;3-5-6;3-6-2;3-2-6;3-6-1;3-5-2;3-2-5;3-6-4;3-1-6;3-5-1;3-1-5;3-5-4;3-4-6;3-2-1;3-1-2;3-4-5;3-2-4;3-4-2;3-1-4;3-4-1,6-5;5-6;6-2;5-2,3-6-5;3-6-2;3-6-1;3-5-6;3-5-2;3-5-1,6-5;5-6;6-2;5-2;6-1;5-1,-0.5,-0.05,0.2,1,1,1,9,津,0.0,3-4m,左横_3-4m,neutral,1,25.974,1.0262,24.9478,77,backfill,3.0,1
3-1-5,5,1,1,4,4,1,1,0,0,2025-11-01,1,3,1,backfill,same,A,3HEAD,1,1,1,3,1,3,2.0,1.0,まくり,3まくり,0.9,0.34,,0.32,0.39,0.55,1.0,0.38,,0.72,0.38,0.72,0.78,0.412727,,0.692727,0.303636,0.567273,0.734286,0.506457,,0.276,0.653314,0.6788,0.72,0.164,,0.578,0.262,0.616,0.571429,0.428571,,0.642857,0.5,0.642857,0.697457,0.310847,,0.442815,0.361134,0.549875,0,0,,0,0,0,5100,prior7,0.617,1,202511010911,1-6-4-5-2,1-6-4-5-2,1-6-4-5-2,1-6-4-5-2,270,左横,official_realtime,1,63.49,63.49,1,,,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,6,4,3,1.0,0.2,0.8,0.0,0.4,0.6,0.01,0.11,0.04,0.2,0.07,0.06,1,5,2,6,4,3,1.0,0.2,0.8,0.0,0.4,0.6,backfill,5,1,1,3-1-6;3-6-1;3-1-4;3-4-1;3-1-5;3-6-4;3-4-6;3-1-2;3-5-1;3-6-5;3-5-6;3-6-2;3-2-1;3-4-5;3-5-4;3-2-6;3-4-2;3-2-4;3-5-2;3-2-5,1-6;6-1;1-4;6-4,3-1-6;3-1-4;3-1-5;3-6-1;3-6-4;3-6-5,1-6;6-1;1-4;1-5;6-4;6-5,0,-0.21,0.2,1,1,1,9,津,0.0,5m+,左横_5m+,neutral,1,28.0,3.0522,24.9478,25,backfill,7.0,3
6-5-1,0,4,4,1,1,0,0,0,0,2025-11-01,1,3,1,backfill,same,B,3HEAD,1,1,1,3,0,3,2.0,1.0,まくり差し,3まくり,0.263333,0.89,,0.163333,0.73,0.386667,0.72,0.38,,0.15,0.38,0.38,0.750909,0.054545,,0,0,0.689091,0.845886,0.771486,,0.316286,0.3884,0.693543,0.576,0.164,,0,0,0.506,0.571429,0.5,,0.285714,0.571429,0.285714,0.527342,0.432676,,0.132883,0.309657,0.425284,0,0,,0,0,0,66170,prior7,0.36167,0,202511011101,1-2-6-5-4,1-6-2-5-4,1-6-2-5-4,1-2-6-5-4,0,追い,official_realtime,0,41.1667,41.1667,5,,,0.0,0.0,0.0,0.0,0.0,0.0,3,1,6,4,2,5,0.6,1.0,0.0,0.4,0.8,0.2,0.16,0.01,0.35,0.17,0.08,0.27,3,1,6,4,2,5,0.6,1.0,0.0,0.4,0.8,0.2,backfill,1,0,0,3-1-6;3-6-1;3-1-2;3-2-1;3-1-5;3-6-2;3-2-6;3-1-4;3-5-1;3-6-5;3-5-6;3-6-4;3-4-1;3-2-5;3-5-2;3-4-6;3-2-4;3-4-2;3-5-4;3-4-5,1-6;1-2;2-1;2-6,3-1-6;3-1-2;3-1-5;3-6-1;3-6-2;3-6-5,1-6;1-2;2-1;2-6;1-5;2-5,2.5,3.0,0.2,1,1,1,11,びわこ,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,2.0,6
1-2-5,0,4,3,5,4,0,0,0,0,2025-11-01,1,3,1,backfill,same,B,3HEAD,1,1,1,3,0,3,2.0,1.0,逃げ,3まくり,0.61,0.79,,0.39,0.77,0.26,0.38,0.38,,0.72,0.38,0.72,0,0.501818,,0.434545,0.470909,0.667273,0.712229,0.615429,,0.507371,0.659886,0.423486,0.426,0.306,,0.546,0.318,0.524,0.428571,0.285714,,0.642857,0.142857,0.857143,0.41119,0.431623,,0.468014,0.42253,0.464077,0,0,,0,0,0,4420,prior7,0.242,0,202511011209,4-6-2-1-5,4-6-2-5-1,4-6-1-2-5,4-6-2-5-1,0,追い,official_realtime,0,26.15,26.15,2,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4,6,2,5,3,1.0,0.4,0.0,0.8,0.2,0.6,-0.02,0.05,0.09,-0.02,0.05,-0.02,1,4,6,2,5,3,1.0,0.4,0.0,0.8,0.2,0.6,backfill,5,0,0,3-4-6;3-6-4;3-4-1;3-1-4;3-4-2;3-6-1;3-1-6;3-4-5;3-2-4;3-6-2;3-2-6;3-6-5;3-5-4;3-1-2;3-2-1;3-5-6;3-1-5;3-5-1;3-2-5;3-5-2,4-6;6-4;4-2;6-2,3-4-6;3-4-1;3-4-2;3-6-4;3-6-1;3-6-2,4-6;6-4;4-2;4-5;6-2;6-5,-0.5,-0.05,0.2,1,1,1,12,住之江,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,1.0,1
1-3-6,0,0,0,5,5,0,0,0,0,2025-11-01,1,3,1,backfill,same,B,3HEAD,1,1,1,3,0,3,2.0,1.0,逃げ,3まくり,0.66,0.12,,0.82,0.463333,0.336667,1.0,0.38,,0.38,0.38,0.38,0.678182,0.154545,,0,0.509091,0.501818,0.557143,0.668743,,0.0,0.325714,0.0,0.624,0.168,,0.426,0.362,0.368,0.642857,0.428571,,0.5,0.357143,0.5,0.604186,0.278941,,0.33434,0.341222,0.276465,0,0,,0,0,0,710,prior7,0.417,0,202511011706,1-4-5-2-6,1-5-4-2-6,1-4-5-2-6,1-5-4-2-6,45,右横,official_realtime,0,43.65,45.65,3,,,0.0,0.0,0.0,0.0,0.0,0.0,4,3,5,1,2,6,0.4,0.6,0.2,1.0,0.8,0.0,0.13,0.07,0.17,-0.04,-0.03,0.29,4,3,5,1,2,6,0.4,0.6,0.2,1.0,0.8,0.0,backfill,6,0,0,3-1-4;3-4-1;3-1-5;3-5-1;3-1-2;3-4-5;3-5-4;3-1-6;3-2-1;3-4-2;3-2-4;3-4-6;3-6-1;3-5-2;3-2-5;3-6-4;3-5-6;3-6-5;3-2-6;3-6-2,1-5;4-1;1-4;4-5,3-1-4;3-1-5;3-1-2;3-4-1;3-4-5;3-4-2,1-5;4-1;1-4;1-2;4-5;4-2,-0.5,-0.05,0.2,1,1,1,17,宮島,2.0,3-4m,右横_3-4m,favorable,4,30.7692,5.8214,24.9478,65,backfill,3.0,1
5-3-6,0,0,0,4,2,0,0,0,0,2025-11-02,1,3,1,backfill,same,B,3HEAD,1,1,1,3,0,3,2.0,1.0,まくり,3まくり,0.52,0.46,,0.4,0.32,0.9,0.38,0.38,,0.38,0.72,0.38,0.636364,0.569091,,0.42,0.434545,0,0.469029,0.455029,,0.341771,0.507371,0.661657,0.168,0.152,,0.494,0.546,0,0.357143,0.142857,,0.428571,0.642857,0.357143,0.349107,0.308219,,0.356933,0.455414,0.367425,0,0,,0,0,0,23280,prior7,0.366,0,202511021203,5-1-4-6-2,5-4-6-1-2,5-1-4-6-2,5-6-4-1-2,0,追い,official_realtime,0,38.55,38.55,3,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,6,2,5,4,3,1,0.0,0.8,0.2,0.4,0.6,1.0,-0.02,-0.14,-0.01,-0.04,-0.08,-0.17,5,2,6,4,3,1,0.2,0.8,0.0,0.4,0.6,1.0,backfill,6,0,0,3-5-1;3-1-5;3-5-4;3-4-5;3-5-6;3-1-4;3-4-1;3-5-2;3-6-5;3-1-6;3-6-1;3-1-2;3-2-5;3-4-6;3-6-4;3-2-1;3-4-2;3-2-4;3-6-2;3-2-6,1-5;5-4;5-6;1-4,3-5-1;3-5-4;3-5-6;3-1-5;3-1-4;3-1-6,1-5;5-4;5-6;5-1;1-4;1-6,-0.5,-0.05,0.2,1,1,1,12,住之江,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,1.0,5
1-3-2,0,0,0,5,5,1,1,1,1,2025-11-02,1,3,1,backfill,same,S,3HEAD,1,1,1,3,0,3,2.0,1.0,逃げ,3まくり,0.31,0.2,,0.36,0.53,0.66,1.0,0.38,,0.38,0.38,0.38,0.743636,0,,0,0.069091,0,0.553943,0.661657,,0.4088,0.670514,0.734286,0.766,0,,0.204,0.306,0,0.785714,0.357143,,0.428571,0.5,0.142857,0.585715,0.241425,,0.272427,0.378855,0.317286,0,0,,0,0,0,950,prior7,0.792,1,202511021208,1-5-6-4-2,1-5-6-4-2,1-5-6-4-2,1-5-6-4-2,0,追い,official_realtime,0,81.15,81.15,3,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,6,5,2,4,3,1,0.0,0.2,0.8,0.4,0.6,1.0,0.14,0.16,0.1,0.13,0.11,0.08,5,6,2,4,3,1,0.2,0.0,0.8,0.4,0.6,1.0,backfill,2,0,0,3-1-5;3-5-1;3-1-6;3-6-1;3-1-4;3-5-6;3-6-5;3-1-2;3-4-1;3-5-4;3-4-5;3-5-2;3-2-1;3-6-4;3-4-6;3-2-5;3-6-2;3-2-6;3-4-2;3-2-4,1-5;5-1;1-6;5-6,3-1-5;3-1-6;3-1-4;3-5-1;3-5-6;3-5-4,1-5;5-1;1-6;1-4;5-6;5-4,-0.5,-0.05,0.2,1,1,1,12,住之江,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,2.0,1
3-2-1,16,5,5,2,2,0,0,0,0,2025-11-02,1,3,1,backfill,same,B,3HEAD,1,1,1,3,1,3,-2.0,0.0,まくり差し,3まくり,0.5,0.33,,0.5,0.5,0.71,0.72,0.38,,0.38,0.38,0.72,0.414545,0.2,,0.418182,0.312727,0.636364,0.575657,0.4072,,0.495771,0.619486,0.641257,0.27,0.358,,0.214,0.212,0.694,0.571429,0.357143,,0.428571,0.5,0.5,0.438954,0.305587,,0.347767,0.366411,0.579783,0,0,,0,0,0,4210,prior7,0.439,0,202511021210,6-1-5-4-2,6-1-5-4-2,6-1-5-4-2,6-1-5-4-2,,missing,official_realtime,0,41.85,41.85,2,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,5,3,4,1,2,6,0.2,0.6,0.4,1.0,0.8,0.0,0.1,0.07,0.11,0.03,0.05,0.13,4,3,5,1,2,6,0.4,0.6,0.2,1.0,0.8,0.0,backfill,1,1,0,3-6-1;3-1-6;3-6-5;3-5-6;3-6-4;3-1-5;3-5-1;3-6-2;3-4-6;3-1-4;3-4-1;3-1-2;3-2-6;3-5-4;3-4-5;3-2-1;3-5-2;3-2-5;3-4-2;3-2-4,1-6;6-1;6-5;1-5,3-6-1;3-6-5;3-6-4;3-1-6;3-1-5;3-1-4,1-6;6-1;6-5;6-4;1-5;1-4,-0.5,-0.05,0.2,1,1,1,12,住之江,0.0,0-2m,missing,neutral,0,0,0,0,0,backfill,2.0,3
