combo,odds,pair_prob,combo_prob,market_share,train_pair_count,ev,stake,date,race_code,venue,race,day_cat,score3,p3,composite_odds,tickets,actual_combo,hit,payout100,return
3-1-5,34.9,0.13354200353784493,0.02020758745181156,0.05875153966105388,87,0.7052448020682234,900,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-1-4,15.5,0.10848593251646059,0.016416100631562253,0.13228572478521164,70,0.2544495597892149,800,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-1-2,68.2,0.1026572816787931,0.015534108685898043,0.03006493745118446,67,1.0594262123782465,700,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-1-6,167.7,0.06732490707118187,0.010187610723845735,0.012226766453015984,44,1.7084623183889296,500,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-2-4,68.6,0.0568536138222101,0.008603093729518965,0.02988963169345161,37,0.590172229845001,500,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-4-2,23.2,0.056041289146707446,0.00848017268981154,0.08838054888667157,36,0.19674000640362774,400,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-2-1,112.7,0.04907717482573293,0.007426362312272727,0.018193688856883588,32,0.8369510325931364,400,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-4-6,84.8,0.04457013232524425,0.006744356253768101,0.024179584129372413,29,0.5719214103195349,400,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-5-2,127.7,0.04141748527827466,0.006267297431685361,0.016056607158737513,27,0.8003338820262206,400,2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,3-4-5,0,0,0
3-1-5,5.8,0.1363729285595906,0.02010310495358248,0.29053352581647934,87,0.11659800873077839,2900,2026-08-04,202608041003,10,03R,初日,66.94,0.1474,5.01,3,3-1-2,0,0,0
3-4-1,46.4,0.05693211225315493,0.00839251778151994,0.03631669072705992,37,0.38941282506252517,1300,2026-08-04,202608041003,10,03R,初日,66.94,0.1474,5.01,3,3-1-2,0,0,0
3-2-6,178.5,0.03370308769515158,0.004968263982828268,0.009440305040535463,22,0.8868351209348458,800,2026-08-04,202608041003,10,03R,初日,66.94,0.1474,5.01,3,3-1-2,0,0,0
3-1-5,12.0,0.1343639225583754,0.019840371456803674,0.12604615946698647,87,0.23808445748164409,1500,2026-08-04,202608042108,21,08R,3日目以降,66.98,0.1477,5.04,5,3-1-6,0,0,0
3-1-4,11.7,0.10844919831784833,0.016013765733014152,0.1292781122738323,70,0.18736105907626557,1200,2026-08-04,202608042108,21,08R,3日目以降,66.98,0.1477,5.04,5,3-1-6,0,0,0
3-1-2,61.9,0.10258852449305901,0.015148370145739087,0.024435442869205782,67,0.9376841120212495,1200,2026-08-04,202608042108,21,08R,3日目以降,66.98,0.1477,5.04,5,3-1-6,0,0,0
3-2-4,123.1,0.0566386222497545,0.008363341013273122,0.012287196698650187,37,1.0295272787339214,700,2026-08-04,202608042108,21,08R,3日目以降,66.98,0.1477,5.04,5,3-1-6,0,0,0
3-2-5,183.3,0.03368857153466207,0.004974503277145765,0.008251794400457379,22,0.9118264507008187,400,2026-08-04,202608042108,21,08R,3日目以降,66.98,0.1477,5.04,5,3-1-6,0,0,0
3-1-5,6.8,0.13669250107021783,0.019820504526550764,0.3166985251240837,87,0.1347794307805452,2600,2026-08-05,202608051004,10,04R,2日目,66.3,0.145,5.0,3,1-2-3,0,0,0
3-1-4,19.7,0.10820540161713878,0.015689855959604065,0.109317257403237,70,0.30909016240420006,2000,2026-08-05,202608051004,10,04R,2日目,66.3,0.145,5.0,3,1-2-3,0,0,0
3-6-2,474.3,0.01837606693919927,0.002664542056784085,0.004540480646940267,12,1.2637922975326916,400,2026-08-05,202608051004,10,04R,2日目,66.3,0.145,5.0,3,1-2-3,0,0,0
3-1-5,24.9,0.13344797170500897,0.022281230808838644,0.051052683347608534,87,0.5548026471400822,900,2026-08-05,202608051709,17,09R,3日目以降,71.32,0.167,5.05,10,3-1-2,0,0,0
3-1-4,23.2,0.10753946397228505,0.01795539930064994,0.05479361273083847,70,0.4165652637750786,800,2026-08-05,202608051709,17,09R,3日目以降,71.32,0.167,5.05,10,3-1-2,0,0,0
3-1-2,64.9,0.10252930979011382,0.017118875520673784,0.019587239065569372,67,1.1110150212917287,700,2026-08-05,202608051709,17,09R,3日目以降,71.32,0.167,5.05,10,3-1-2,1,4900,34300
