combo,odds,pair_prob,combo_prob,market_share,train_pair_count,ev,stake,date,race_code,venue,race,day_cat,score3,p3,actual_combo,hit,payout100,return,composite_odds,tickets
3-1-5,96.5,0.133193575217297,0.017999782070291247,0.030223970916191934,87,1.7369789697831053,2200,2026-08-03,202608030102,01,02R,3日目以降,60.19,0.1351,2-3-5,0,0,0,39.64,3
3-1-4,111.5,0.10718971561355972,0.01448562003139332,0.026157965860201988,70,1.615146633500355,1800,2026-08-03,202608030102,01,02R,3日目以降,60.19,0.1351,2-3-5,0,0,0,39.64,3
3-4-1,169.7,0.05669846568526678,0.007662231638348236,0.01718687798121698,37,1.3002807090276955,1000,2026-08-03,202608030102,01,02R,3日目以降,60.19,0.1351,2-3-5,0,0,0,39.64,3
3-5-2,194.9,0.041459669368057075,0.005610479923216491,0.019510429509673254,27,1.0934825370348942,2400,2026-08-03,202608030411,04,11R,初日,60.4,0.1353,1-3-4,0,0,0,36.26,4
3-4-2,134.9,0.05530611492472776,0.007484233524914633,0.028188159462085374,36,1.009623102510984,900,2026-08-03,202608030411,04,11R,初日,60.4,0.1353,1-3-4,0,0,0,36.26,4
3-2-4,127.3,0.05685338668279513,0.007693616215773358,0.029871034653851665,37,0.9793973442679484,900,2026-08-03,202608030411,04,11R,初日,60.4,0.1353,1-3-4,0,0,0,36.26,4
3-2-1,139.3,0.04918837000368782,0.006656357046929523,0.02729779405194054,32,0.9272305366372826,800,2026-08-03,202608030411,04,11R,初日,60.4,0.1353,1-3-4,0,0,0,36.26,4
3-1-5,82.9,0.13314701714088018,0.01805386325534147,0.026412028409563044,87,1.496665263867808,2600,2026-08-03,202608030501,05,01R,3日目以降,60.55,0.1356,1-3-6,0,0,0,26.32,4
3-1-4,92.9,0.10715809426932386,0.014529935571852755,0.023568968300891023,70,1.3498310146251211,1900,2026-08-03,202608030501,05,01R,3日目以降,60.55,0.1356,1-3-6,0,0,0,26.32,4
3-4-2,137.1,0.05515689174605066,0.007478913178499827,0.015970511707897712,36,1.0253589967723262,300,2026-08-03,202608030501,05,01R,3日目以降,60.55,0.1356,1-3-6,0,0,0,26.32,4
3-4-1,127.0,0.056699121923919245,0.007688029487204213,0.017240607520888,37,0.976379744874935,200,2026-08-03,202608030501,05,01R,3日目以降,60.55,0.1356,1-3-6,0,0,0,26.32,4
3-4-6,279.6,0.04433876525101023,0.006047784172336044,0.005236404926462604,29,1.6909604545851582,1800,2026-08-03,202608031307,13,07R,3日目以降,61.6,0.1364,2-3-5,0,0,0,28.55,7
3-6-1,383.5,0.03058097988809185,0.004171229512024242,0.0038177283375200625,20,1.5996665178612968,1600,2026-08-03,202608031307,13,07R,3日目以降,61.6,0.1364,2-3-5,0,0,0,28.55,7
