combo,odds,pair_prob,combo_prob,ev,train_pair_count,stake,date,race_code,venue,race,score3,composite_odds,tickets,actual_combo,hit,payout100,return
3-1-5,24.9,0.13344797170500897,0.022281230808838644,0.5548026471400822,87,900,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-1-4,23.2,0.10753946397228505,0.01795539930064994,0.4165652637750786,70,800,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-1-2,64.9,0.10252930979011382,0.017118875520673784,1.1110150212917287,67,700,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,1,4900,34300
3-1-6,180.2,0.0672617337353987,0.011230400843213523,2.023718231947077,44,500,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-4-1,26.0,0.057085713125240384,0.009531354682874423,0.24781522175473497,37,500,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-2-4,30.1,0.05700437191665662,0.009517773492995185,0.2864849821391551,37,500,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-2-1,88.7,0.04903000412270272,0.008186327783468622,0.7261272743936668,32,400,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-6-1,267.6,0.030592371515665653,0.005107875991079616,1.3668676152129056,20,300,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-6-4,241.9,0.02143823038680954,0.0035794486291441485,0.8658686233899695,14,200,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-6-2,327.0,0.018368091577481354,0.003066840827378311,1.0028569505527078,12,200,2026-08-05,202608051709,17,09R,71.32,5.05,10,3-1-2,0,0,0
3-1-5,11.0,0.13420515960643797,0.021860516934044238,0.2404656862744866,87,1400,2026-08-06,202608061209,12,09R,70.27,5.22,5,5-3-4,0,0,0
3-1-4,24.9,0.10748019099079589,0.017507318959411235,0.4359322420893397,70,1100,2026-08-06,202608061209,12,09R,70.27,5.22,5,5-3-4,0,0,0
3-1-2,38.6,0.1026835492213893,0.016725999754291596,0.6456235905156557,67,1100,2026-08-06,202608061209,12,09R,70.27,5.22,5,5-3-4,0,0,0
3-4-1,43.0,0.05684176016205878,0.009258885904442966,0.39813209389104753,37,700,2026-08-06,202608061209,12,09R,70.27,5.22,5,5-3-4,0,0,0
3-2-4,87.4,0.05666232597279134,0.009229658085300019,0.8066721166552216,37,700,2026-08-06,202608061209,12,09R,70.27,5.22,5,5-3-4,0,0,0
