combo,odds,pair_prob_model,second_prob,third_prob_cond,combo_prob,model_ev,stake,date,race_code,venue,race,score3,composite_odds,actual_combo,hit,payout100,return
3-4-5,5.3,0.09031048272694513,0.2836145216646732,0.3184268640296289,0.015078750799935694,0.07991737923965918,2900,2026-08-05,202608051709,17,09R,71.32,5.04,3-1-2,0,0,0
3-1-6,180.2,0.03214615367960102,0.21381391799604949,0.1503464039239717,0.0053673042804644085,0.9671882313396863,1100,2026-08-05,202608051709,17,09R,71.32,5.04,3-1-2,0,0,0
3-6-4,241.9,0.03083105287330914,0.08927916606602068,0.3453331189329212,0.0051477275853112426,1.2452353028867895,1000,2026-08-05,202608051709,17,09R,71.32,5.04,3-1-2,0,0,0
3-5-6,9.4,0.09214698060004883,0.25943293438781384,0.3551861324680649,0.015009710772191365,0.14109128125859885,2600,2026-08-06,202608061209,12,09R,70.27,5.07,5-3-4,0,0,0
3-1-5,11.0,0.08525378943223916,0.24124873694544935,0.35338543327386024,0.013886887158737095,0.15275575874610806,2400,2026-08-06,202608061209,12,09R,70.27,5.07,5-3-4,0,0,0
3-1-6,10.5,0.13159527621401773,0.4052830194003261,0.3246997034534821,0.020980814785795953,0.2202985552508575,2000,2026-08-06,202608061407,14,07R,69.61,5.2,3-6-1,0,0,0
3-1-2,20.7,0.0996916133394906,0.4052830194003261,0.24598023743259345,0.015894273224301616,0.3290114557430434,1600,2026-08-06,202608061407,14,07R,69.61,5.2,3-6-1,0,0,0
3-1-4,20.5,0.08943303824014703,0.4052830194003261,0.22066811082407534,0.014258703389899166,0.2923034194929329,1400,2026-08-06,202608061407,14,07R,69.61,5.2,3-6-1,0,0,0
3-1-6,12.9,0.13096576395649512,0.40174736603158173,0.32599034873622484,0.015450310634006365,0.1993090071786821,1500,2026-08-06,202608061703,17,03R,82.35,5.0,3-5-4,0,0,0
3-1-5,15.6,0.10629384909754469,0.40174736603158173,0.2645788325820382,0.012539712192163452,0.19561951019774984,1200,2026-08-06,202608061703,17,03R,82.35,5.0,3-5-4,0,0,0
3-1-4,29.3,0.0848888881552861,0.40174736603158173,0.2112991778734223,0.010014523275031438,0.29342553195842114,1000,2026-08-06,202608061703,17,03R,82.35,5.0,3-5-4,0,0,0
3-1-2,56.3,0.07959886482225585,0.40174736603158173,0.1981316408083146,0.009390447934367527,0.5286822187048917,900,2026-08-06,202608061703,17,03R,82.35,5.0,3-5-4,0,0,0
3-2-1,154.3,0.02821642115443548,0.10162285009143456,0.27765823462978967,0.0033287514129325705,0.5136263430154957,400,2026-08-06,202608061703,17,03R,82.35,5.0,3-5-4,0,0,0
